solution,mismatches,mismatch_pct,total_nodes,human_unsolved,algorithm_cost,human_cost,cost_diff,IdHash,IdHashAnc,FullMap,StructId,StructAnc,OptIDU,FlatSeq,Moved,Comment,BottomUp,GreedyAnchor,NormImport,NormNoPunct,NormNoLit,NormNoId,NormNoPunctLit,APTED:bottom_up_expansion,APTED:flow_control_arm,APTED:flow_control_container,APTED:greedy_anchor_block,APTED:impl,APTED:impl_method,APTED:semantic_node
c-microsoft-terminal-add-function,4261,38.86,10966,false,0,12,-12,25,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust-zed-workspace-tasks,1791,43.95,4075,false,431,1977,-1546,19,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,538,0
cpp-nextcloud-add-test-case,1621,30.63,5292,false,0,1592,-1592,18,1802,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpp-opencv-add-test-case,875,7.68,11397,false,0,583,-583,18,5092,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpp-ladybird-refactor-variables-if-changes,874,6.90,12658,false,311,711,-400,46,4765,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,296,0,723,0,0,0
c-nginx-add-typedef,803,7.21,11141,false,123,149,-26,32,3853,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,316,0,692,0,0,0
rust-turbopack-module-rule,642,16.36,3925,false,140,424,-284,29,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,35,0,4,335,121
c-ffmpeg-added-typedef-to-enum,422,17.03,2478,false,0,6,-6,25,792,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
c-linux-small-change,352,2.96,11898,false,66,76,-10,68,4691,0,0,0,0,0,0,2,1,5,0,0,0,0,0,33,392,0,443,0,0,0
csharp-jellyfin-sql-query-fix,329,26.34,1249,false,18,41,-23,14,216,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,66,0,20,0,0,0
c-htop-remove-function-declaration,327,28.02,1167,false,0,27,-27,21,245,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust-firefox-webrenderer-borders,270,5.49,4916,false,50,32,18,73,1449,0,1,170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,470,0
kotlin-nextcloud-change-function-fingerprint,214,8.49,2521,false,18,89,-71,48,975,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,54
cpp-tensorflow-switch-to-primitive-types,167,3.63,4603,false,16,15,1,20,1926,0,0,0,0,0,0,3,3,1,0,0,0,0,0,131,0,0,62,0,0,0
kotlin-remove-function,130,17.31,751,false,123,225,-102,12,71,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277
kotlin-refactor-function,129,48.68,265,false,34,162,-128,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
c-cpython-autogenerated-code,127,0.22,57917,false,223,146,77,222,26646,0,0,0,0,0,154,9,1,0,0,0,0,0,0,2122,80,0,0,0,0,0
cpp-optimize-algorithm,127,43.05,295,false,0,97,-97,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
python-api-change,126,29.03,434,false,106,231,-125,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197
javascript-fix-promises,120,51.06,235,false,0,52,-52,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust-data-structure,108,34.18,316,false,38,145,-107,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
typescript-add-error-handling,107,57.84,185,false,0,57,-57,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript-add-array-method,105,68.63,153,false,0,57,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
typescript-add-generics,99,44.39,223,false,0,46,-46,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,31,0,0,0
rust-hash-optimization,96,16.75,573,false,128,177,-49,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,93,168
java-refactor-constants,90,50.00,180,false,0,16,-16,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
typescript-async-await,90,45.92,196,false,5,54,-49,1,8,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go-user-slices-library,89,0.77,11588,false,71,71,0,36,5289,0,0,0,0,0,0,16,2,0,22,0,0,0,0,99,0,0,0,0,0,275
c-freeciv-add-parameter-to-function,88,34.65,254,false,0,9,-9,11,29,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript-refactor-arrow-func,88,51.16,172,false,0,26,-26,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-add-logging,81,30.22,268,false,32,60,-28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82,0,0,0
java-add-interface,78,42.16,185,false,0,23,-23,2,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0
cpp-add-const-correctness,75,31.51,238,false,0,6,-6,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,0,0,0
cpp-laydbird-change-function-signature,75,1.05,7121,false,174,192,-18,32,3225,0,0,0,0,0,26,11,3,0,0,0,0,0,0,350,0,0,0,0,0,0
javascript-add-event-listener,74,50.68,146,false,0,49,-49,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
typescript-add-type-annotations,71,40.34,176,false,0,40,-40,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0
cpp-add-templates,69,30.80,224,false,7,23,-16,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49,0,0,0
javascript-add-destructuring,68,50.75,134,false,0,31,-31,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-add-exception-handling,65,19.64,331,false,0,40,-40,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-fix-array-index,62,34.83,178,false,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,0,2,0,0,0
cpp-add-memory-management,53,27.04,196,false,0,26,-26,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust-sniffnet-protocol,51,5.70,895,false,67,65,2,9,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,315
