solution,mismatches,mismatch_pct,total_nodes,human_unsolved,algorithm_cost,human_cost,cost_diff,IdHash,IdHashAnc,FullMap,StructId,StructAnc,OptIDU,FlatSeq,Moved,Comment,BottomUp,GreedyAnchor,NormImport,NormNoPunct,NormNoLit,NormNoId,NormNoPunctLit,APTED:bottom_up_expansion,APTED:final_pass,APTED:flow_control_arm,APTED:flow_control_container,APTED:greedy_anchor_block,APTED:impl,APTED:impl_method,APTED:semantic_node
c-linux-small-change,359,3.02,11898,false,378,76,302,0,0,0,62,3425,0,0,0,1,1,1,0,0,0,0,0,33,557,1438,0,592,0,0,0
rust-turbopack-module-rule,208,5.30,3925,false,692,424,268,12,33,0,13,563,0,0,6,0,0,0,0,0,0,0,0,0,685,193,35,0,4,335,415
typescript-refactor-interface,138,42.33,326,false,62,48,14,0,0,0,6,120,0,0,0,0,4,0,0,0,0,0,0,54,41,0,0,0,0,0,0
css-add-property,125,48.64,257,false,38,5,33,0,0,0,4,96,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
kotlin-nextcloud-change-function-fingerprint,123,4.88,2521,false,107,89,18,4,25,0,40,450,0,0,0,0,0,2,0,0,0,0,0,0,610,0,0,40,0,0,133
rust-zed-workspace-tasks,117,2.87,4075,false,2068,1977,91,6,47,0,12,703,0,0,0,0,0,0,0,0,0,0,0,0,1676,0,0,0,4,621,0
cpp-ladybird-refactor-variables-if-changes,95,0.75,12658,false,685,711,-26,1,4,0,36,3479,0,0,8,2,0,5,0,0,0,0,0,0,821,1442,0,862,0,0,0
c-htop-remove-function-declaration,92,7.88,1167,false,94,27,67,0,0,0,21,241,0,0,0,2,1,0,0,0,0,0,0,3,357,0,0,0,0,0,0
go-user-slices-library,89,0.77,11588,false,71,71,0,5,27,0,18,3049,0,0,0,11,5,0,22,0,0,0,0,184,0,0,0,0,0,0,2418
kotlin-remove-function,89,11.85,751,false,179,225,-46,8,9,0,8,98,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,267
