solution,mismatches,mismatch_pct,total_nodes,human_unsolved,algorithm_cost,human_cost,cost_diff,IdHash,IdHashAnc,FullMap,StructId,StructAnc,OptIDU,FlatSeq,Moved,Comment,BottomUp,GreedyAnchor,NormImport,NormNoPunct,NormNoLit,NormNoId,NormNoPunctLit,APTED:bottom_up_expansion,APTED:final_pass,APTED:flow_control_arm,APTED:flow_control_container,APTED:greedy_anchor_block,APTED:impl,APTED:impl_method,APTED:semantic_node
rust-turbopack-module-rule,172,4.38,3925,false,677,424,253,29,886,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,685,193,35,0,4,335,121
c-cpython-autogenerated-code,127,0.22,57917,false,223,146,77,222,26646,0,0,0,0,0,154,9,1,0,0,0,0,0,0,2122,0,80,0,0,0,0,0
rust-zed-workspace-tasks,117,2.87,4075,false,2068,1977,91,19,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1676,0,0,0,4,538,0
go-user-slices-library,89,0.77,11588,false,71,71,0,36,5289,0,0,0,0,0,0,16,2,0,22,0,0,0,0,99,0,0,0,0,0,0,275
cpp-laydbird-change-function-signature,75,1.05,7121,false,174,192,-18,32,3225,0,0,0,0,0,26,11,3,0,0,0,0,0,0,350,0,0,0,0,0,0,0
kotlin-remove-function,66,8.79,751,false,172,225,-53,12,71,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,277
kotlin-refactor-function,64,24.15,265,false,100,162,-62,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,78
c-nginx-add-typedef,62,0.56,11141,false,150,149,1,32,3853,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,741,316,0,692,0,0,0
cpp-ladybird-refactor-variables-if-changes,62,0.49,12658,false,665,711,-46,46,4765,0,0,0,0,0,8,4,0,5,0,0,0,0,0,0,821,288,0,723,0,0,0
kotlin-nextcloud-change-function-fingerprint,31,1.23,2521,false,92,89,3,48,975,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,220,0,0,6,0,0,54
rust-next-font-imports-generator,22,0.46,4761,false,43,29,14,28,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,55,0,0,0,0,16,307,0
kotlin-nextcloud-remove-function,20,0.14,14174,false,243,228,15,96,6578,0,1,65,0,0,0,4,1,0,0,0,0,0,0,12,0,0,0,0,0,0,442
rust-firefox-webrenderer-borders,18,0.37,4916,false,50,32,18,73,1449,0,1,170,0,0,0,1,0,0,0,0,0,0,0,0,252,0,0,0,56,470,0
c-postgres-real-logic-change,17,0.11,15327,false,477,49,428,62,6404,0,0,0,0,0,46,35,1,0,0,0,0,0,0,404,0,948,0,0,0,0,0
rust-algorithm-change,14,3.80,368,false,117,77,40,6,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,126
cpp-godot-small-bugfix,11,0.09,11658,false,20,9,11,45,5648,0,0,0,0,0,0,4,3,0,0,0,0,0,0,46,0,93,0,0,0,0,0
csharp-sonarr-change-type,11,1.84,598,false,13,2,11,6,177,0,1,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpp-tensorflow-switch-to-primitive-types,6,0.13,4603,false,27,15,12,20,1926,0,0,0,0,0,0,3,3,1,0,0,0,0,0,131,169,0,0,62,0,0,0
java-add-exception-handling,6,1.81,331,false,41,40,1,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0
json-apache-string-change-version,6,0.07,8620,false,7,1,6,5,3777,0,1,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
typescript-async-await,6,3.06,196,false,73,54,19,1,8,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0
rust-error-handling,5,1.66,301,false,67,60,7,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,146
c-linux-small-bugfix,4,0.01,47986,false,48,44,4,156,23424,0,0,0,0,0,28,15,1,0,0,0,0,0,0,252,0,141,0,0,0,0,0
kotlin-nextcloud-a-few-small-removals,4,0.06,6892,false,208,208,0,67,1899,0,0,0,0,0,0,1,1,0,0,0,0,0,0,33,0,0,0,0,0,0,1549
javascript-fix-promises,3,1.28,235,false,55,52,3,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0
c-linux-small-change-struct-to-char,2,0.01,22754,false,38,38,0,69,10706,0,0,0,0,0,0,20,1,0,0,0,0,0,0,275,0,325,0,0,0,0,0
go-prometheus-single-comment-change,1,0.23,426,false,2,1,1,2,195,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust-sniffnet-protocol,1,0.11,895,false,67,65,2,12,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,41,0,310
c-ffmpeg-added-typedef-to-enum,0,0.00,2478,false,6,6,0,25,792,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,422,0,0,0,0,0,0
c-freeciv-add-parameter-to-function,0,0.00,254,false,10,9,1,11,29,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0
c-htop-remove-function-declaration,0,0.00,1167,false,27,27,0,21,245,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0
c-linux-small-change,0,0.00,11898,false,76,76,0,68,4691,0,0,0,0,0,0,2,1,5,0,0,0,0,0,33,352,392,0,443,0,0,0
c-microsoft-terminal-add-function,0,0.00,10966,false,12,12,0,25,1203,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4260,0,0,0,0,0,0
cpp-add-const-correctness,0,0.00,238,false,6,6,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75,0,0,40,0,0,0
cpp-add-memory-management,0,0.00,196,false,26,26,0,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
cpp-add-templates,0,0.00,224,false,23,23,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,69,0,0,49,0,0,0
cpp-fix-segfault,0,0.00,340,false,0,0,0,2,87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,50,28,0,0,0,0,0
cpp-libreoffice-add-const,0,0.00,12024,false,2,2,0,65,5856,0,0,0,0,0,0,5,1,0,0,0,0,0,0,86,0,0,0,0,0,0,0
cpp-libreoffice-remove-return-value,0,0.00,6863,false,7,7,0,37,3348,0,0,0,0,0,0,7,1,0,0,0,0,0,0,42,0,0,0,0,0,0,0
cpp-nextcloud-add-test-case,0,0.00,5292,false,1592,1592,0,18,1802,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1621,0,0,0,0,0,0
cpp-ollama-add-function-argument,0,0.00,8816,false,12,12,0,76,4166,0,0,0,0,0,0,9,1,0,0,0,0,0,0,162,0,0,0,0,0,0,0
cpp-opencv-add-test-case,0,0.00,11397,false,583,583,0,18,5092,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,875,0,0,0,0,0,0
cpp-optimize-algorithm,0,0.00,295,false,97,97,0,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,17,0,0,0,0,0
cpp-whitespace-only-change,0,0.00,1856,false,0,0,0,1,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
