metric,language,p50,p90,p99,p999,p9999,max
bytes,All languages,1508.0,14040.0,90613.0,462047.0,3151774.0,23949786
ast_nodes,All languages,224.0,2890.0,18639.0,70530.0,196725.0,583259
lines_of_code,All languages,42.0,381.0,2253.0,7813.0,20322.0,65563
bytes,Rust,599.0,9898.0,74771.0,256462.0,1164390.0,8121838
ast_nodes,Rust,162.0,2426.0,16030.0,54344.0,154692.0,262379
lines_of_code,Rust,25.0,292.0,1960.0,5861.0,14624.0,22274
bytes,TypeScript,1137.0,11031.0,52776.0,350160.0,1144037.0,8388704
ast_nodes,TypeScript,260.0,2799.0,12934.0,100299.0,116365.0,356697
lines_of_code,TypeScript,39.0,335.0,1474.0,7423.0,14742.0,30004
bytes,Kotlin,3095.0,12749.0,47450.0,126119.0,181646.0,190944
ast_nodes,Kotlin,589.0,2572.0,9538.0,27710.0,37589.0,43011
lines_of_code,Kotlin,85.0,333.0,1165.0,3303.0,4800.0,4882
bytes,Vimscript,2209.0,19483.0,105372.0,246952.0,394918.0,394918
ast_nodes,Vimscript,325.0,2958.0,18715.0,50740.0,67322.0,67322
lines_of_code,Vimscript,64.0,443.0,2911.0,7626.0,11237.0,11237
bytes,CSharp,1493.0,8691.0,39011.0,175599.0,637717.0,1332867
ast_nodes,CSharp,312.0,1854.0,7615.0,16916.0,28369.0,66462
lines_of_code,CSharp,46.0,218.0,861.0,1867.0,3389.0,7869
bytes,LUA,2181.0,21240.0,124225.0,451880.0,491738.0,491738
ast_nodes,LUA,605.0,4335.0,23038.0,58419.0,69685.0,69685
lines_of_code,LUA,73.0,621.0,3404.0,10970.0,13710.0,13710
bytes,CPP,5647.0,34704.0,153474.0,446117.0,1488440.0,7245869
ast_nodes,CPP,1112.0,7821.0,34723.0,93734.0,175519.0,284711
lines_of_code,CPP,156.0,922.0,3950.0,10196.0,21425.0,25526
bytes,Java,4261.0,17556.0,78324.0,892469.0,909406.0,909406
ast_nodes,Java,707.0,3415.0,13797.0,34052.0,57662.0,57662
lines_of_code,Java,120.0,463.0,1876.0,3765.0,8603.0,8603
bytes,ShellScript,1317.0,7556.0,34995.0,143477.0,166169.0,166169
ast_nodes,ShellScript,220.0,1422.0,7051.0,30337.0,36278.0,36278
lines_of_code,ShellScript,42.0,250.0,1036.0,4288.0,4820.0,4820
bytes,SQL,531.0,9411.0,80014.0,265432.0,3685858.0,3685858
ast_nodes,SQL,0.0,0.0,0.0,0.0,0.0,0
