case,file,problematic,oracle_records,oracle_resolved,all_oracle_scored,all_tp,all_fp,all_fn,statement_oracle_scored,statement_tp,statement_fp,statement_fn,codediff_ms
Chart-1,source_org_jfree_chart_renderer_category_AbstractCategoryItemRenderer.json,false,6934,4696,244,244,0,0,34,34,0,0,25.423
Chart-10,source_org_jfree_chart_imagemap_StandardToolTipTagFragmentGenerator.json,false,48,32,25,25,0,0,6,6,0,0,0.797
Chart-11,source_org_jfree_chart_util_ShapeUtilities.json,false,2371,1813,196,196,0,0,37,37,0,0,5.534
Chart-12,source_org_jfree_chart_plot_MultiplePiePlot.json,false,2011,1569,133,133,0,0,17,17,0,0,18.167
Chart-13,source_org_jfree_chart_block_BorderArrangement.json,false,2775,2379,504,504,1,0,55,55,0,0,15.455
Chart-14,source_org_jfree_chart_plot_CategoryPlot.json,false,14080,9668,393,393,0,0,39,39,0,0,60.034
Chart-14,source_org_jfree_chart_plot_XYPlot.json,false,18017,12604,428,428,0,0,39,39,0,0,72.571
Chart-15,source_org_jfree_chart_plot_PiePlot.json,false,10378,7280,302,302,0,0,26,26,0,0,39.273
Chart-16,source_org_jfree_data_category_DefaultIntervalCategoryDataset.json,false,2442,1664,351,351,0,0,63,63,0,0,20.325
Chart-17,source_org_jfree_data_time_TimeSeries.json,false,3261,2322,78,78,0,0,6,6,0,0,11.035
Chart-18,source_org_jfree_data_DefaultKeyedValues.json,false,1489,1075,88,88,0,0,15,15,0,0,6.672
Chart-18,source_org_jfree_data_DefaultKeyedValues2D.json,false,1833,1201,83,83,0,0,11,11,0,0,10.773
Chart-19,source_org_jfree_chart_plot_CategoryPlot.json,false,13311,9340,288,288,1,0,18,18,0,0,57.143
Chart-2,source_org_jfree_data_general_DatasetUtilities.json,false,8446,6601,638,638,4,0,102,102,0,0,209.898
Chart-20,source_org_jfree_chart_plot_ValueMarker.json,false,292,182,51,51,0,0,11,11,0,0,0.664
Chart-21,source_org_jfree_data_statistics_DefaultBoxAndWhiskerCategoryDataset.json,false,2458,1542,336,335,0,1,47,46,0,1,43.868
Chart-22,source_org_jfree_data_KeyedObjects2D.json,false,1488,1032,318,305,2,13,62,59,0,3,49.931
Chart-23,source_org_jfree_chart_renderer_category_MinMaxCategoryRenderer.json,false,1864,1378,38,38,0,0,2,2,0,0,6.160
Chart-24,source_org_jfree_chart_renderer_GrayPaintScale.json,false,323,228,86,86,0,0,9,9,0,0,0.869
Chart-25,source_org_jfree_chart_renderer_category_StatisticalBarRenderer.json,false,2034,1618,1243,1229,20,14,192,190,2,2,69.806
Chart-26,source_org_jfree_chart_axis_Axis.json,false,4495,3086,817,817,0,0,80,80,0,0,46.111
Chart-3,source_org_jfree_data_time_TimeSeries.json,false,4222,3049,187,187,0,0,28,28,0,0,18.678
Chart-4,source_org_jfree_chart_plot_XYPlot.json,false,20715,14581,669,669,0,0,77,77,0,0,92.320
Chart-5,source_org_jfree_data_xy_XYSeries.json,false,2136,1474,185,184,7,1,33,33,0,0,9.771
Chart-6,source_org_jfree_chart_util_ShapeList.json,false,357,240,44,43,1,1,12,11,0,1,1.906
Chart-7,source_org_jfree_data_time_TimePeriodValues.json,false,1859,1387,419,419,0,0,61,61,0,0,6.590
Chart-8,source_org_jfree_data_time_Week.json,false,1856,1374,58,58,0,0,6,6,0,0,5.710
Chart-9,source_org_jfree_data_time_TimeSeries.json,false,3281,2339,224,224,0,0,38,38,0,0,25.530
Cli-1,src_java_org_apache_commons_cli_CommandLine.json,true,678,388,185,156,19,29,39,33,3,6,8.265
Cli-10,src_java_org_apache_commons_cli_Parser.json,false,1226,840,47,47,0,0,7,7,0,0,3.871
Cli-11,src_java_org_apache_commons_cli_HelpFormatter.json,false,3004,2059,161,161,0,0,21,21,0,0,17.180
Cli-12,src_java_org_apache_commons_cli_GnuParser.json,false,328,205,199,197,1,2,41,40,1,1,91.467
Cli-13,src_java_org_apache_commons_cli2_WriteableCommandLine.json,true,191,91,16,16,0,0,2,2,0,0,0.525
Cli-13,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl.json,true,880,718,12,12,2,0,2,2,0,0,3.061
Cli-13,src_java_org_apache_commons_cli2_option_ArgumentImpl.json,true,1266,1050,196,196,0,0,38,38,0,0,4.581
Cli-14,src_java_org_apache_commons_cli2_option_GroupImpl.json,true,1863,1537,159,149,5,10,31,25,1,6,14.474
Cli-15,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl.json,false,1066,872,88,47,32,41,14,8,6,6,12.760
Cli-16,src_java_org_apache_commons_cli2_Option.json,false,348,139,23,23,0,0,2,2,0,0,0.706
Cli-16,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl.json,false,1134,930,59,59,0,0,10,10,0,0,4.462
Cli-16,src_java_org_apache_commons_cli2_option_GroupImpl.json,false,1867,1541,214,214,0,0,33,33,0,0,30.742
Cli-16,src_java_org_apache_commons_cli2_option_OptionImpl.json,false,571,498,11,11,0,0,2,2,0,0,2.309
Cli-17,src_java_org_apache_commons_cli_PosixParser.json,false,858,510,127,127,0,0,23,23,0,0,9.495
Cli-18,src_java_org_apache_commons_cli_PosixParser.json,false,827,489,250,245,3,5,52,51,1,1,9.485
Cli-19,src_java_org_apache_commons_cli_PosixParser.json,false,834,493,62,54,0,8,14,10,0,4,4.164
Cli-2,src_java_org_apache_commons_cli_PosixParser.json,false,864,519,136,135,1,1,24,24,0,0,7.656
Cli-20,src_java_org_apache_commons_cli_PosixParser.json,true,819,483,206,170,8,36,38,35,2,3,27.881
