case,file,problematic,oracle_records,oracle_resolved,all_oracle_scored,all_tp,all_fp,all_fn,statement_oracle_scored,statement_tp,statement_fp,statement_fn,codediff_ms
Chart-1,source_org_jfree_chart_renderer_category_AbstractCategoryItemRenderer.json,false,6934,4696,244,244,0,0,34,34,0,0,26.507
Chart-10,source_org_jfree_chart_imagemap_StandardToolTipTagFragmentGenerator.json,false,48,32,25,25,0,0,6,6,0,0,0.177
Chart-11,source_org_jfree_chart_util_ShapeUtilities.json,false,2371,1813,196,196,0,0,37,37,0,0,8.245
Chart-12,source_org_jfree_chart_plot_MultiplePiePlot.json,false,2011,1569,133,133,0,0,17,17,0,0,8.485
Chart-13,source_org_jfree_chart_block_BorderArrangement.json,false,2775,2379,504,504,1,0,55,55,0,0,13.859
Chart-14,source_org_jfree_chart_plot_CategoryPlot.json,false,14080,9668,393,393,0,0,39,39,0,0,65.736
Chart-14,source_org_jfree_chart_plot_XYPlot.json,false,18017,12604,428,428,0,0,39,39,0,0,83.061
Chart-15,source_org_jfree_chart_plot_PiePlot.json,false,10378,7280,302,302,0,0,26,26,0,0,39.611
Chart-16,source_org_jfree_data_category_DefaultIntervalCategoryDataset.json,false,2442,1664,351,351,0,0,63,63,0,0,13.291
Chart-17,source_org_jfree_data_time_TimeSeries.json,false,3261,2322,78,78,0,0,6,6,0,0,13.622
Chart-18,source_org_jfree_data_DefaultKeyedValues.json,false,1489,1075,88,88,0,0,15,15,0,0,5.399
Chart-18,source_org_jfree_data_DefaultKeyedValues2D.json,false,1833,1201,83,83,0,0,11,11,0,0,6.354
Chart-19,source_org_jfree_chart_plot_CategoryPlot.json,false,13311,9340,288,288,1,0,18,18,0,0,52.236
Chart-2,source_org_jfree_data_general_DatasetUtilities.json,false,8446,6601,638,638,4,0,102,102,0,0,41.084
Chart-20,source_org_jfree_chart_plot_ValueMarker.json,false,292,182,51,51,0,0,11,11,0,0,0.788
Chart-21,source_org_jfree_data_statistics_DefaultBoxAndWhiskerCategoryDataset.json,false,2458,1542,336,336,0,0,47,47,0,0,6.450
Chart-22,source_org_jfree_data_KeyedObjects2D.json,false,1488,1032,318,316,2,2,62,62,0,0,4.972
Chart-23,source_org_jfree_chart_renderer_category_MinMaxCategoryRenderer.json,false,1864,1378,38,38,0,0,2,2,0,0,8.339
Chart-24,source_org_jfree_chart_renderer_GrayPaintScale.json,false,323,228,86,86,0,0,9,9,0,0,1.020
Chart-25,source_org_jfree_chart_renderer_category_StatisticalBarRenderer.json,false,2034,1618,1243,1241,16,2,192,192,0,0,8.239
Chart-26,source_org_jfree_chart_axis_Axis.json,false,4495,3086,817,817,0,0,80,80,0,0,15.848
Chart-3,source_org_jfree_data_time_TimeSeries.json,false,4222,3049,187,187,0,0,28,28,0,0,16.293
Chart-4,source_org_jfree_chart_plot_XYPlot.json,false,20715,14581,669,669,0,0,77,77,0,0,88.873
Chart-5,source_org_jfree_data_xy_XYSeries.json,false,2136,1474,185,184,7,1,33,33,0,0,7.657
Chart-6,source_org_jfree_chart_util_ShapeList.json,false,357,240,44,44,0,0,12,12,0,0,1.175
Chart-7,source_org_jfree_data_time_TimePeriodValues.json,false,1859,1387,419,419,0,0,61,61,0,0,7.250
Chart-8,source_org_jfree_data_time_Week.json,false,1856,1374,58,58,0,0,6,6,0,0,8.519
Chart-9,source_org_jfree_data_time_TimeSeries.json,false,3281,2339,224,224,0,0,38,38,0,0,12.518
Cli-1,src_java_org_apache_commons_cli_CommandLine.json,true,678,388,185,161,4,24,39,35,0,4,1.818
Cli-10,src_java_org_apache_commons_cli_Parser.json,false,1226,840,47,47,0,0,7,7,0,0,4.782
Cli-11,src_java_org_apache_commons_cli_HelpFormatter.json,false,3004,2059,161,161,0,0,21,21,0,0,9.943
Cli-12,src_java_org_apache_commons_cli_GnuParser.json,false,328,205,199,199,0,0,41,41,0,0,1.572
Cli-13,src_java_org_apache_commons_cli2_WriteableCommandLine.json,true,191,91,16,16,0,0,2,2,0,0,0.301
Cli-13,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl.json,true,880,718,12,12,2,0,2,2,0,0,3.405
Cli-13,src_java_org_apache_commons_cli2_option_ArgumentImpl.json,true,1266,1050,196,196,0,0,38,38,0,0,5.584
Cli-14,src_java_org_apache_commons_cli2_option_GroupImpl.json,true,1863,1537,159,159,0,0,31,31,0,0,8.537
Cli-15,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl.json,false,1066,872,88,49,31,39,14,8,6,6,4.495
Cli-16,src_java_org_apache_commons_cli2_Option.json,false,348,139,23,23,0,0,2,2,0,0,0.483
Cli-16,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl.json,false,1134,930,59,59,0,0,10,10,0,0,4.755
Cli-16,src_java_org_apache_commons_cli2_option_GroupImpl.json,false,1867,1541,214,214,0,0,33,33,0,0,8.574
Cli-16,src_java_org_apache_commons_cli2_option_OptionImpl.json,false,571,498,11,11,0,0,2,2,0,0,4.456
Cli-17,src_java_org_apache_commons_cli_PosixParser.json,false,858,510,127,127,0,0,23,23,0,0,3.850
Cli-18,src_java_org_apache_commons_cli_PosixParser.json,false,827,489,250,244,0,6,52,51,0,1,2.615
Cli-19,src_java_org_apache_commons_cli_PosixParser.json,false,834,493,62,62,0,0,14,14,0,0,3.127
Cli-2,src_java_org_apache_commons_cli_PosixParser.json,false,864,519,136,135,0,1,24,24,0,0,2.784
Cli-20,src_java_org_apache_commons_cli_PosixParser.json,true,819,483,206,184,3,22,38,36,3,2,3.532
Cli-21,src_java_org_apache_commons_cli2_WriteableCommandLine.json,false,259,117,20,20,0,0,2,2,0,0,0.379
Cli-21,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl.json,false,1190,965,85,85,0,0,18,18,0,0,4.810
Cli-21,src_java_org_apache_commons_cli2_option_GroupImpl.json,false,1940,1585,34,34,0,0,7,7,0,0,8.738
Cli-22,src_java_org_apache_commons_cli_PosixParser.json,true,753,445,383,376,3,7,76,75,0,1,2.542
Cli-23,src_java_org_apache_commons_cli_HelpFormatter.json,true,2990,2045,199,198,0,1,26,26,0,0,10.177
Cli-24,src_java_org_apache_commons_cli_HelpFormatter.json,false,3024,2070,224,224,0,0,29,29,0,0,10.241
Cli-25,src_java_org_apache_commons_cli_HelpFormatter.json,false,3029,2075,229,229,0,0,30,30,0,0,10.213
Cli-26,src_java_org_apache_commons_cli_OptionBuilder.json,false,776,492,102,98,0,4,15,14,0,1,1.786
Cli-27,src_java_org_apache_commons_cli_OptionGroup.json,false,406,280,73,73,0,0,14,14,0,0,1.351
Cli-28,src_java_org_apache_commons_cli_Parser.json,false,1195,807,146,146,0,0,28,28,0,0,4.505
Cli-29,src_java_org_apache_commons_cli_Util.json,false,158,98,48,48,0,0,10,10,0,0,0.559
Cli-3,src_java_org_apache_commons_cli_TypeHandler.json,false,561,388,51,47,0,4,14,14,0,0,2.495
Cli-30,src_main_java_org_apache_commons_cli_DefaultParser.json,false,2155,1567,156,156,0,0,25,25,0,0,8.578
Cli-31,src_main_java_org_apache_commons_cli_HelpFormatter.json,false,3155,2161,177,173,3,4,22,22,0,0,11.289
Cli-31,src_main_java_org_apache_commons_cli_Option.json,false,1612,1078,70,70,0,0,3,3,0,0,4.798
Cli-31,src_main_java_org_apache_commons_cli_OptionBuilder.json,false,788,504,84,84,0,0,12,12,0,0,1.920
Cli-34,src_main_java_org_apache_commons_cli_Option.json,false,1612,1078,70,70,0,0,3,3,0,0,4.637
Cli-34,src_main_java_org_apache_commons_cli_OptionBuilder.json,false,789,504,84,84,0,0,12,12,0,0,1.867
Cli-35,src_main_java_org_apache_commons_cli_Options.json,false,976,559,81,81,0,0,13,13,0,0,2.488
Cli-40,src_main_java_org_apache_commons_cli_TypeHandler.json,false,690,438,147,147,0,0,34,34,0,0,2.317
Cli-5,src_java_org_apache_commons_cli_Util.json,false,158,99,48,48,0,0,12,12,0,0,0.548
Cli-8,src_java_org_apache_commons_cli_HelpFormatter.json,false,2948,2017,190,190,0,0,24,24,0,0,9.792
Closure-1,src_com_google_javascript_jscomp_RemoveUnusedVars.json,false,3601,2846,145,145,0,0,26,26,0,0,17.836
Closure-10,src_com_google_javascript_jscomp_NodeUtil.json,false,10942,8644,179,179,0,0,11,11,0,0,58.701
Closure-102,src_com_google_javascript_jscomp_Normalize.json,false,1954,1588,81,81,0,0,14,14,0,0,10.345
Closure-103,src_com_google_javascript_jscomp_ControlFlowAnalysis.json,false,3703,3057,105,104,2,1,23,22,2,1,19.251
Closure-104,src_com_google_javascript_rhino_jstype_UnionType.json,false,1614,1149,116,116,0,0,30,30,0,0,6.948
Closure-106,src_com_google_javascript_rhino_JSDocInfoBuilder.json,false,2381,1574,80,80,0,0,7,7,0,0,7.357
Closure-107,src_com_google_javascript_jscomp_CommandLineRunner.json,false,3499,2855,180,180,0,0,43,43,0,0,21.825
Closure-11,src_com_google_javascript_jscomp_TypeCheck.json,false,7264,5962,145,145,0,0,17,17,0,0,38.925
Closure-113,src_com_google_javascript_jscomp_ProcessClosurePrimitives.json,false,5133,4128,198,197,1,1,29,29,0,0,31.210
Closure-114,src_com_google_javascript_jscomp_NameAnalyzer.json,false,6913,5471,170,170,0,0,22,22,0,0,35.393
Closure-119,src_com_google_javascript_jscomp_GlobalNamespace.json,true,4780,3825,482,482,4,0,117,117,0,0,25.319
Closure-123,src_com_google_javascript_jscomp_CodeGenerator.json,true,5317,4496,2378,2378,0,0,504,504,0,0,31.118
Closure-124,src_com_google_javascript_jscomp_ExploitAssigns.json,false,726,574,64,64,0,0,15,15,0,0,3.468
Closure-125,src_com_google_javascript_jscomp_TypeCheck.json,false,8204,6757,153,152,1,1,20,20,0,0,44.270
Closure-13,src_com_google_javascript_jscomp_PeepholeOptimizationsPass.json,false,625,527,94,94,0,0,21,21,0,0,2.527
Closure-130,src_com_google_javascript_jscomp_CollapseProperties.json,false,3609,2771,176,174,4,2,25,25,0,0,17.018
