metric,language,p50,p90,p99,p999,p9999,max
bytes,All languages,2238.0,17842.0,132967.0,1031127.0,9576297.0,101352904
ast_nodes,All languages,206.0,2876.0,22005.0,206662.0,780947.0,23584040
lines_of_code,All languages,43.0,375.0,2511.0,18414.0,261458.0,13025371
bytes,Java,2998.0,13741.0,66344.0,270679.0,1258462.0,4415767
ast_nodes,Java,392.0,2423.0,12076.0,44815.0,234741.0,1639001
lines_of_code,Java,81.0,361.0,1629.0,5239.0,19287.0,65590
bytes,CPP,3367.0,23570.0,133128.0,699675.0,3822750.0,33178839
ast_nodes,CPP,649.0,5478.0,29592.0,139504.0,869300.0,8294456
lines_of_code,CPP,97.0,633.0,3135.0,12006.0,48699.0,788906
bytes,CSharp,2000.0,11371.0,54845.0,288204.0,1332929.0,2367057
ast_nodes,CSharp,365.0,2360.0,10445.0,31528.0,147610.0,192514
lines_of_code,CSharp,54.0,282.0,1123.0,3028.0,7782.0,16201
bytes,Lisp,7032.0,48230.0,246977.0,628405.0,1579749.0,11290903
ast_nodes,Lisp,0.0,0.0,0.0,0.0,0.0,0
lines_of_code,Lisp,0.0,0.0,0.0,0.0,0.0,0
bytes,MarkDown,1997.0,12803.0,69499.0,745879.0,898380.0,4696380
ast_nodes,MarkDown,0.0,0.0,0.0,0.0,0.0,0
lines_of_code,MarkDown,0.0,0.0,0.0,0.0,0.0,0
bytes,PHP,1893.0,11842.0,67044.0,216077.0,1582525.0,1582534
ast_nodes,PHP,355.0,2792.0,15782.0,87448.0,1007988.0,1007988
lines_of_code,PHP,59.0,322.0,1536.0,5404.0,9228.0,24897
bytes,Python,2645.0,18605.0,86348.0,315676.0,1162621.0,9570626
ast_nodes,Python,535.0,3943.0,17911.0,60716.0,246588.0,2465619
lines_of_code,Python,76.0,492.0,2154.0,6447.0,18197.0,146008
bytes,TSX,1903.0,8427.0,25892.0,82101.0,359078.0,417583
ast_nodes,TSX,476.0,2112.0,6226.0,15606.0,31877.0,78970
lines_of_code,TSX,63.0,263.0,762.0,1888.0,5203.0,11508
bytes,HTML,1381.0,13195.0,69005.0,384340.0,1753783.0,10044208
ast_nodes,HTML,137.0,1762.0,12477.0,63506.0,348887.0,4571643
lines_of_code,HTML,26.0,200.0,1094.0,6185.0,24304.0,313330
bytes,CSS,750.0,11619.0,150235.0,368422.0,823784.0,1628439
ast_nodes,CSS,168.0,3263.0,51778.0,116493.0,226156.0,311723
lines_of_code,CSS,25.0,332.0,3085.0,9832.0,16646.0,36061
bytes,SQL,865.0,10665.0,64122.0,740511.0,3262004.0,5522430
ast_nodes,SQL,0.0,0.0,0.0,0.0,0.0,0
lines_of_code,SQL,0.0,0.0,0.0,0.0,0.0,0
bytes,XML,1370.0,10528.0,306911.0,1022369.0,8751834.0,35651895
ast_nodes,XML,266.0,2405.0,77577.0,286602.0,2185819.0,8633604
lines_of_code,XML,30.0,217.0,4218.0,23762.0,121628.0,584252
bytes,C,3231.0,23394.0,145092.0,1031740.0,8457711.0,83683072
ast_nodes,C,449.0,4406.0,27264.0,161094.0,1462074.0,23584040
lines_of_code,C,90.0,652.0,3551.0,16432.0,129598.0,13025371
bytes,Dart,3019.0,15297.0,127774.0,233465.0,252038.0,252038
ast_nodes,Dart,0.0,0.0,0.0,0.0,0.0,0
lines_of_code,Dart,0.0,0.0,0.0,0.0,0.0,0
bytes,Go,3022.0,17530.0,103888.0,663969.0,2421009.0,19056507
ast_nodes,Go,443.0,3354.0,14415.0,41020.0,119240.0,2423117
lines_of_code,Go,67.0,412.0,1663.0,4213.0,11351.0,77622
bytes,Kotlin,684.0,5198.0,28160.0,91306.0,272825.0,3900134
ast_nodes,Kotlin,117.0,1004.0,5233.0,15136.0,58093.0,68154
lines_of_code,Kotlin,26.0,131.0,628.0,1822.0,5036.0,7551
bytes,JSON,1197.0,23916.0,389712.0,2054743.0,14273898.0,30943993
ast_nodes,JSON,288.0,5310.0,75245.0,463225.0,2856887.0,19091162
lines_of_code,JSON,31.0,541.0,8272.0,42443.0,362624.0,880418
bytes,ShellScript,852.0,4758.0,31681.0,333035.0,694176.0,1955298
ast_nodes,ShellScript,133.0,854.0,4720.0,46233.0,76823.0,239096
lines_of_code,ShellScript,29.0,148.0,784.0,7733.0,9661.0,25565
bytes,Scala,1066.0,7408.0,29121.0,76901.0,180765.0,180765
ast_nodes,Scala,143.0,1677.0,6786.0,17764.0,56436.0,56436
lines_of_code,Scala,23.0,214.0,828.0,1737.0,4719.0,4719
bytes,Bazel,756.0,3084.0,21815.0,144135.0,395601.0,403710
ast_nodes,Bazel,0.0,0.0,0.0,0.0,0.0,0
lines_of_code,Bazel,0.0,0.0,0.0,0.0,0.0,0
bytes,Vimscript,1658.0,15831.0,89727.0,246952.0,394782.0,394918
ast_nodes,Vimscript,259.0,2448.0,17283.0,49407.0,67322.0,85103
lines_of_code,Vimscript,51.0,380.0,2405.0,7626.0,11237.0,11872
bytes,ProtoBuf,1663.0,19994.0,65682.0,317059.0,320240.0,321246
ast_nodes,ProtoBuf,0.0,0.0,0.0,0.0,0.0,0
lines_of_code,ProtoBuf,0.0,0.0,0.0,0.0,0.0,0
bytes,Ruby,1325.0,8173.0,39644.0,120799.0,411214.0,1525353
ast_nodes,Ruby,248.0,1668.0,8466.0,27027.0,138736.0,512539
lines_of_code,Ruby,45.0,251.0,1100.0,3067.0,17530.0,33245
bytes,YAML,721.0,10038.0,1450513.0,20680563.0,61969304.0,101352904
ast_nodes,YAML,106.0,2014.0,285376.0,315806.0,1314935.0,9005004
lines_of_code,YAML,16.0,279.0,51162.0,812290.0,2401954.0,3731945
bytes,Rust,1582.0,18277.0,97610.0,327338.0,2090774.0,8121838
ast_nodes,Rust,405.0,4416.0,20103.0,61887.0,221116.0,644900
lines_of_code,Rust,53.0,518.0,2370.0,7293.0,25411.0,60585
bytes,JavaScript,1042.0,7497.0,78614.0,719354.0,3328460.0,13049704
ast_nodes,JavaScript,176.0,1799.0,19892.0,219044.0,1539153.0,5712830
lines_of_code,JavaScript,30.0,189.0,1399.0,10716.0,64564.0,277403
bytes,Swift,507.0,6471.0,37275.0,141811.0,270031.0,3897122
ast_nodes,Swift,69.0,1408.0,8135.0,33305.0,63292.0,68639
lines_of_code,Swift,15.0,178.0,985.0,2764.0,6216.0,7156
bytes,R,161.0,1425.0,29569.0,79609.0,111068.0,111068
ast_nodes,R,49.0,330.0,7024.0,16030.0,25179.0,25179
lines_of_code,R,3.0,43.0,1126.0,2199.0,2704.0,2704
bytes,TypeScript,1364.0,16314.0,429629.0,1671400.0,2083552.0,13049673
ast_nodes,TypeScript,316.0,4279.0,124355.0,461629.0,573397.0,5712835
lines_of_code,TypeScript,44.0,473.0,9709.0,36679.0,42743.0,583711
bytes,LUA,1435.0,11471.0,69835.0,424740.0,684908.0,50555040
ast_nodes,LUA,334.0,2848.0,15781.0,85477.0,173210.0,3881278
lines_of_code,LUA,49.0,340.0,1851.0,8348.0,15287.0,646902
