metric,language,p50,p90,p99,p999,p9999,max
bytes,All languages,1508.0,13945.0,90132.0,464325.0,3218389.0,23949786
ast_nodes,All languages,224.0,2868.0,18553.0,70828.0,196752.0,573334
lines_of_code,All languages,42.0,378.0,2244.0,7818.0,20179.0,65563
bytes,C,4542.0,31373.0,147280.0,1063236.0,7568214.0,23949786
ast_nodes,C,731.0,6599.0,28436.0,76244.0,214277.0,350926
lines_of_code,C,142.0,1005.0,4101.0,10622.0,22204.0,33054
bytes,Java,4256.0,17556.0,78324.0,892469.0,909406.0,909406
ast_nodes,Java,706.0,3433.0,13797.0,34052.0,57662.0,57662
lines_of_code,Java,120.0,463.0,1876.0,3765.0,8605.0,8605
bytes,MarkDown,1594.0,13289.0,176653.0,878318.0,1330787.0,1443587
ast_nodes,MarkDown,0.0,0.0,0.0,0.0,0.0,0
lines_of_code,MarkDown,0.0,0.0,0.0,0.0,0.0,0
bytes,Python,2836.0,19167.0,90672.0,267284.0,590979.0,1351094
ast_nodes,Python,613.0,4231.0,20639.0,64187.0,190471.0,333352
lines_of_code,Python,82.0,521.0,2373.0,6671.0,14822.0,18735
bytes,R,1064.0,1064.0,1064.0,1064.0,1064.0,1064
ast_nodes,R,245.0,245.0,245.0,245.0,245.0,245
lines_of_code,R,38.0,38.0,38.0,38.0,38.0,38
bytes,XML,1337.0,5971.0,80308.0,408238.0,2587914.0,11808290
ast_nodes,XML,237.0,1089.0,13048.0,65623.0,243954.0,556454
lines_of_code,XML,29.0,106.0,1051.0,5647.0,29690.0,33314
bytes,CSharp,1493.0,8713.0,39011.0,175599.0,637717.0,1332929
ast_nodes,CSharp,312.0,1857.0,7653.0,16916.0,28235.0,66048
lines_of_code,CSharp,46.0,218.0,861.0,1867.0,3389.0,7818
bytes,TypeScript,1112.0,10808.0,52165.0,356590.0,1144037.0,8388704
ast_nodes,TypeScript,254.0,2751.0,12709.0,100299.0,118283.0,356697
lines_of_code,TypeScript,38.0,330.0,1443.0,7559.0,14742.0,30004
bytes,Vimscript,2222.0,19493.0,105372.0,246952.0,394918.0,394918
ast_nodes,Vimscript,327.0,2985.0,18154.0,50636.0,67322.0,67322
lines_of_code,Vimscript,65.0,443.0,2911.0,7626.0,11237.0,11237
bytes,Kotlin,3110.0,12708.0,47526.0,121388.0,181725.0,187375
ast_nodes,Kotlin,591.0,2541.0,9397.0,27710.0,37274.0,42145
lines_of_code,Kotlin,85.0,332.0,1169.0,3127.0,4743.0,4847
bytes,Dart,3164.0,16137.0,208286.0,271927.0,277194.0,277194
ast_nodes,Dart,0.0,0.0,0.0,0.0,0.0,0
lines_of_code,Dart,0.0,0.0,0.0,0.0,0.0,0
bytes,CSS,511.0,5151.0,68962.0,225289.0,292618.0,307851
ast_nodes,CSS,123.0,1340.0,19144.0,73981.0,85057.0,85914
lines_of_code,CSS,18.0,176.0,1555.0,6833.0,12047.0,12056
bytes,LUA,2176.0,21240.0,121449.0,450810.0,491842.0,491842
ast_nodes,LUA,601.0,4335.0,23038.0,58419.0,66274.0,66274
lines_of_code,LUA,73.0,621.0,3404.0,10930.0,13714.0,13714
bytes,Ruby,1053.0,6337.0,26859.0,70192.0,159805.0,229692
ast_nodes,Ruby,227.0,1368.0,5666.0,16185.0,28093.0,115780
lines_of_code,Ruby,38.0,198.0,742.0,2056.0,4720.0,4877
bytes,Lisp,12156.0,73319.0,274340.0,705683.0,1622521.0,1622521
ast_nodes,Lisp,0.0,0.0,0.0,0.0,0.0,0
lines_of_code,Lisp,0.0,0.0,0.0,0.0,0.0,0
bytes,ShellScript,1312.0,7587.0,35050.0,152644.0,337554.0,337554
ast_nodes,ShellScript,220.0,1422.0,7040.0,30066.0,35320.0,35320
lines_of_code,ShellScript,42.0,250.0,1036.0,4288.0,4720.0,4720
bytes,JSON,1276.0,19526.0,233413.0,1481551.0,6311933.0,10003571
ast_nodes,JSON,282.0,3653.0,37503.0,149992.0,345598.0,474028
lines_of_code,JSON,25.0,395.0,4240.0,16473.0,26778.0,50001
bytes,ProtoBuf,1598.0,13067.0,67771.0,250706.0,320904.0,320904
ast_nodes,ProtoBuf,0.0,0.0,0.0,0.0,0.0,0
lines_of_code,ProtoBuf,0.0,0.0,0.0,0.0,0.0,0
bytes,Swift,486.0,4855.0,35023.0,108230.0,192936.0,274940
ast_nodes,Swift,60.0,1037.0,7474.0,30730.0,63292.0,68846
lines_of_code,Swift,14.0,146.0,953.0,2926.0,6216.0,7282
bytes,Bazel,618.0,2576.0,13960.0,65311.0,153703.0,153703
ast_nodes,Bazel,0.0,0.0,0.0,0.0,0.0,0
lines_of_code,Bazel,0.0,0.0,0.0,0.0,0.0,0
bytes,SQL,518.0,9297.0,80014.0,265432.0,3685858.0,3685858
ast_nodes,SQL,0.0,0.0,0.0,0.0,0.0,0
lines_of_code,SQL,0.0,0.0,0.0,0.0,0.0,0
bytes,CPP,5649.0,34647.0,153426.0,444641.0,1488440.0,7245869
ast_nodes,CPP,1112.0,7812.0,34747.0,93836.0,175519.0,284711
lines_of_code,CPP,156.0,922.0,3954.0,10196.0,21422.0,25526
bytes,JavaScript,930.0,5968.0,50470.0,412641.0,2992863.0,10761573
ast_nodes,JavaScript,162.0,1371.0,11139.0,79831.0,247460.0,573334
lines_of_code,JavaScript,29.0,169.0,1184.0,5920.0,20179.0,65563
bytes,Scala,1460.0,2879.0,2879.0,2879.0,2879.0,2879
ast_nodes,Scala,336.0,526.0,526.0,526.0,526.0,526
lines_of_code,Scala,44.0,69.0,69.0,69.0,69.0,69
bytes,YAML,627.0,4509.0,45721.0,706680.0,1358674.0,2100516
ast_nodes,YAML,186.0,807.0,10085.0,85114.0,214308.0,218911
lines_of_code,YAML,28.0,152.0,1340.0,11106.0,25712.0,28267
bytes,PHP,2038.0,13273.0,72220.0,215214.0,298732.0,354509
ast_nodes,PHP,410.0,3327.0,17695.0,50719.0,66998.0,73869
lines_of_code,PHP,70.0,396.0,2095.0,6292.0,8697.0,9255
bytes,TSX,1486.0,7402.0,23571.0,61752.0,395627.0,416052
ast_nodes,TSX,361.0,1810.0,5621.0,13855.0,31878.0,84872
lines_of_code,TSX,50.0,233.0,725.0,1736.0,5231.0,12432
bytes,HTML,905.0,3682.0,17056.0,80497.0,484586.0,10044208
ast_nodes,HTML,125.0,321.0,1666.0,24127.0,56799.0,183034
lines_of_code,HTML,25.0,96.0,367.0,1356.0,3802.0,25725
bytes,Rust,596.0,9765.0,73222.0,242316.0,1171482.0,8121838
ast_nodes,Rust,162.0,2396.0,15833.0,53518.0,154692.0,264628
lines_of_code,Rust,25.0,289.0,1938.0,5840.0,14431.0,33139
bytes,Go,3191.0,19733.0,96793.0,405418.0,1650665.0,3690244
ast_nodes,Go,559.0,4478.0,20003.0,59754.0,131842.0,338308
lines_of_code,Go,81.0,526.0,2061.0,5803.0,11874.0,30516
