language,file_edits,lines_changed,lines_p50,lines_p90,lines_p99,lines_max
C,153285,91053752,4,56,654,2519229
CPP,91798,11898797,5,61,903,710675
CSS,3173,340851,6,96,2139,14245
CSharp,1988,72065,8,76,426,4240
Go,35811,5921957,9,113,3214,116309
HTML,12673,874068,8,133,867,32691
Java,15448,534208,5,64,542,9404
JavaScript,4281,697973,6,71,760,155442
Kotlin,455,4855,4,24,103,194
Lua,3311,111086,6,50,420,8072
PHP,2726,63546,5,34,281,4157
Python,61925,2055324,5,50,328,233544
R,100,2085,9,51,150,174
Ruby,16592,277708,4,33,189,3058
Rust,10087,298288,8,64,312,6139
Scala,312,45907,4,54,3195,3266
ShellScript,8354,384861,4,27,234,17151
Swift,168,4772,18,82,141,208
TSX,789,23222,7,58,368,1366
TypeScript,8138,2440693,20,1302,2789,15015
Vimscript,3825,118604,6,50,530,2491
