language,size_bucket,repository,commit,path,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms,peak_memory_bytes,total_allocated_bytes,mapping_operations
C,,full,,c-awslabs-aws-c-common-only-insert,7314,9723,604,734,ok,1.795396,222848,768888,734
C,,small,,c-cpython-autogenerated-code,142030,142732,28887,29030,ok,119.013888,14131328,52255581,29206
C,,small,,c-ffmpeg-added-typedef-to-enum,10561,10583,1238,1240,ok,3.9804539999999995,463202,1839988,1242
C,,stratified,,c-ffmpeg-ffmpeg-rename-two-identifiers,20394,20406,4941,4941,ok,8.827372,1767552,5898624,4941
C,,small,,c-freeciv-add-parameter-to-function,1261,1318,122,132,ok,0.352908,55808,230323,132
C,,stratified,,c-freeciv-freeciv-rename-identifier,81849,81835,15821,15821,ok,44.200004,7069824,21969160,15821
C,,stratified,,c-freeciv-freeciv-update-version,1980,1980,229,229,ok,0.5712280000000001,111488,360198,229
C,,stratified,,c-genymobile-scrcpy-add-a-define,429,491,29,33,ok,0.36450499999999997,67560,188520,33
C,,stratified,,c-genymobile-scrcpy-add-a-define-,491,553,33,37,ok,0.431188,81560,228184,37
C,,stratified,,c-genymobile-scrcpy-add-a-define-2,367,429,25,29,ok,0.28304300000000004,52536,148200,29
C,,stratified,,c-genymobile-scrcpy-add-to-import-path-and-move-imports-around,508,512,105,105,ok,0.24797799999999998,28224,123128,111
C,,stratified,,c-genymobile-scrcpy-big-change,653,762,181,167,ok,3.4795249999999998,301596,954919,289
C,,stratified,,c-genymobile-scrcpy-rename-and-add-a-define,305,367,21,25,ok,0.176259,40328,115224,25
C,,stratified,,c-genymobile-scrcpy-rename-defines,290,305,21,21,ok,0.03328,7280,25604,21
C,,stratified,,c-godotengine-godot-add-two-enum-values,6349,6393,1083,1089,ok,2.824987,443520,1739668,1089
C,,stratified,,c-godotengine-godot-pure-move,5096,5095,718,718,ok,1.6627210000000001,222848,824808,718
C,,stratified,,c-godotengine-godot-whitespace-only,14460,14459,2875,2875,ok,7.204678,886912,3457848,2875
C,,full,,c-graph-algorithms-edge-addition-planarity-suite-real-change-all-across-the-file,21390,34453,3672,5908,ok,361.046505,13872567,122635130,6026
C,,stratified,,c-htop-dev-htop-add-comment,350,526,76,77,ok,0.18645399999999998,27968,107336,77
C,,stratified,,c-htop-dev-htop-add-function,324,374,33,50,ok,0.115673,14456,61488,50
C,,stratified,,c-htop-dev-htop-update-import,1283,1284,219,219,ok,0.415103,55808,234972,219
C,,small,,c-htop-remove-function-declaration,2771,2700,597,570,ok,1.318375,221824,769282,597
C,,full,,c-intel-vpl-gpu-rt-whitespace-only-change,24527,24512,3146,3146,ok,6.351879,891008,3472528,3146
C,,stratified,,c-ladybirdbrowser-ladybird-change-to-a-different-class,764,773,181,181,ok,0.334767,55808,206200,181
C,,stratified,,c-ladybirdbrowser-ladybird-move-to-a-different-class,749,758,181,181,ok,0.328822,55808,206188,181
C,,stratified,,c-ladybirdbrowser-ladybird-small-parse-errors,15811,15765,4529,4514,ok,10.871732999999999,1769600,6074896,4533
C,,full,,c-libtom-libtomcrypt-change-function-call,10368,10372,4088,4088,ok,8.405764,1769600,5592888,4088
C,,small,,c-linux-small-bugfix,99760,99853,23969,24017,ok,78.381281,7065728,27531458,24017
C,,small,,c-linux-small-change,24830,25260,5911,5987,ok,20.48006,1967134,9272076,5987
C,,small,,c-linux-small-change-struct-to-char,43302,43326,11373,11381,ok,123.634057,9666750,35676654,11396
C,,small,,c-microsoft-terminal-add-function,26182,26228,5477,5489,ok,13.1859,1773696,5607512,5489
C,,stratified,,c-microsoft-terminal-add-two-includes,112,166,9,15,ok,0.045397,7588,28439,15
C,,stratified,,c-microsoft-terminal-change-import-path,1973,1978,136,136,ok,0.264932,56320,218902,136
C,,stratified,,c-mozilla-firefox-firefox-remove-two-comments,892,770,79,77,ok,0.17451,28224,115940,79
C,,stratified,,c-neovim-neovim-add-an-include,109,166,17,24,ok,0.053565,7680,31684,24
C,,stratified,,c-neovim-neovim-small-change,144,164,32,36,ok,0.171657,19152,106504,36
C,,small,,c-nginx-add-typedef,20848,21370,5506,5635,ok,39.96322,3918884,15702058,5637
