language,size_bucket,repository,commit,path,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms,peak_memory_bytes,total_allocated_bytes,mapping_operations,exit_status
ShellScript,,Aloxaf-fzf-tab,a61331c7900af05c83b93e0ed94f4a51f45a6a6c,fzf-tab.zsh,0,0,0,0,failed_to_read,,,,,
ShellScript,,Aloxaf-fzf-tab,cdc34ee6469581a1ea49a8f8b6bb5395a5e98fe7,fzf-tab.zsh,0,0,0,0,failed_to_read,,,,,
CSharp,,Blosc-c-blosc,5052e00173260c03f474d7405bf68a5718d6cc81,internal-complibs/zlib-1.3.1/contrib/dotzlib/DotZLib/GZipStream.cs,0,0,0,0,failed_to_read,,,,,
CSharp,,Blosc-c-blosc,adb3b4bec40c0d6c7eac1d7c26144cdefcd31701,internal-complibs/zlib-1.2.13/contrib/dotzlib/DotZLib/ChecksumImpl.cs,0,0,0,0,failed_to_read,,,,,
C,,GPUOpen-LibrariesAndSDKs-AMF,c48e50ad6c8723c006b2c145d8fa49ecc0651022,amf/public/src/components/ComponentsFFMPEG/BaseEncoderFFMPEGImpl.h,0,0,0,0,failed_to_read,,,,,
CSharp,,HandBrake-HandBrake,34bfb83ecce5bccbc2c47726a4d681df80531831,win/CS/HandBrakeWPF/Services/Queue/Interfaces/IQueueService.cs,0,0,0,0,failed_to_read,,,,,
Vimscript,,HerringtonDarkholme-yats.vim,9a8f14ab694cb66528e7eecc6f04d13c36211cab,test/vader.vim,0,0,0,0,failed_to_read,,,,,
Kotlin,,JetBrains-java-annotations,546095e02a3b14132540233603c7d1ceeceefea3,build.gradle.kts,0,0,0,0,failed_to_read,,,,,
Kotlin,,JetBrains-java-annotations,7bc931ab0d2cb10a5fa65eba869e049b269c1957,multiplatform-annotations/build.gradle.kts,0,0,0,0,failed_to_read,,,,,
Kotlin,,JetBrains-kotlin,f5f13c54ea4e0b3bba61ebb397cc952d7720a713,compiler/tests-common-new/build.gradle.kts,0,0,0,0,failed_to_read,,,,,
C,,Joungkyun-libchardet,876d392a9d8f7563b0c9b40f8019484938b00765,test/sample.c,0,0,0,0,failed_to_read,,,,,
C,,Joungkyun-libchardet,9d91cd067d3fe58d2914d4103e53a2b5720c93a4,test/sample1.c,0,0,0,0,failed_to_read,,,,,
CPP,,KhronosGroup-OpenCOLLADA,bd3bc432fe2e7fed6d24072ace960a8df223162b,COLLADAMaya/src/COLLADAMayaPhysXExporter.cpp,0,0,0,0,failed_to_read,,,,,
JavaScript,,MythTV-mythweb,407113c024b034f5daaafa2ad893bff7f76c89b9,js/table_sort.js,0,0,0,0,failed_to_read,,,,,
CPP,,Normaliz-Normaliz,f9b8d869a4322479f3fe3129808bc39379f64888,source/libnormaliz/full_cone.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,OpenMW-osg,dc09d741f7237bfedd282d32830c5bc14133972b,src/osg/dxtctool.cpp,0,0,0,0,failed_to_read,,,,,
CSharp,,OpenNI-OpenNI,07d8ce36a0b20f7fc4a7bd9cb161b1aa475b1c4d,Platform/Linux-x86/Build/Res/AssemblyInfo-OpenNI.cs,0,0,0,0,failed_to_read,,,,,
CPP,,STEllAR-GROUP-hpx,b735a4f4acb4beb5c341f19d099e9259981e9337,libs/core/async_cuda/include/hpx/async_cuda/cuda_event.hpp,0,0,0,0,failed_to_read,,,,,
Kotlin,,TNG-junit-dataprovider,81a36328a33a52fb9fb0b4f896adb5fc4a8139e2,build.gradle.kts,0,0,0,0,failed_to_read,,,,,
C,,Terraspace-UASM,1319a6216e97aaef13c443f6b415c4b7f510f8ac,codegenv2.c,0,0,0,0,failed_to_read,,,,,
C,,XEphem-XEphem,25d97856598399b10895d6617a3fe2043f30d429,GUI/xephem/fallbacks.c,0,0,0,0,failed_to_read,,,,,
