language,size_bucket,repository,commit,path,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms,peak_memory_bytes,total_allocated_bytes,mapping_operations
Rust,0-10,GyulyVGC-sniffnet.git,00ea18c0262a644bd31c59336c857c2948d56d68,src/gui/styles/custom_themes/mod.rs,67,81,25,31,ok,0.16745200000000002,13004,48836,31
Rust,0-10,GyulyVGC-sniffnet.git,07841506627e9309f4e8e4b4df4fba5dfc11a7a7,src/networking/mod.rs,62,87,19,25,ok,0.13692300000000002,9788,36944,25
Rust,0-10,GyulyVGC-sniffnet.git,2885421bcbd6162fdb8b208c9b914873d1ce35f5,src/networking/types/traffic_direction.rs,342,336,58,56,ok,0.639055,48048,177138,58
Rust,0-10,GyulyVGC-sniffnet.git,2929bf1bbc64b41f1a1c3dab117d47ddad8720ca,src/configs/types/mod.rs,88,17,25,7,ok,0.117728,6260,23678,25
Rust,0-10,GyulyVGC-sniffnet.git,2929bf1bbc64b41f1a1c3dab117d47ddad8720ca,src/gui/types/mod.rs,78,133,25,43,ok,0.349692,16036,63812,43
Rust,0-10,GyulyVGC-sniffnet.git,37d1cdfcce921dc9f1cf956ff913bf9722ffd086,src/gui/mod.rs,79,83,31,31,ok,0.381999,13360,47348,37
Rust,0-10,GyulyVGC-sniffnet.git,37d1cdfcce921dc9f1cf956ff913bf9722ffd086,src/gui/types/mod.rs,100,83,31,25,ok,0.330693,11424,44870,31
Rust,0-10,GyulyVGC-sniffnet.git,54045e03a418ead7062e1a043a66342dc48f1aad,src/networking/types/traffic_direction.rs,336,342,56,58,ok,0.6506930000000001,47968,177266,58
Rust,0-10,GyulyVGC-sniffnet.git,5d8c9a4825c994b7c549a0da4c83bf1d518ab003,src/chart/types/mod.rs,84,64,25,19,ok,0.13545500000000002,7712,32746,25
Rust,0-10,GyulyVGC-sniffnet.git,6fd41760b5ee56d1a61d4ddd883ccca6c480e60d,src/networking/mod.rs,39,62,13,19,ok,0.08784900000000001,7512,29488,19
Rust,0-10,GyulyVGC-sniffnet.git,6fd41760b5ee56d1a61d4ddd883ccca6c480e60d,src/utils/mod.rs,64,87,19,25,ok,0.11471,9788,36696,25
Rust,0-10,GyulyVGC-sniffnet.git,77ae35f0cff29a72986282a23e2fb0b228143bdf,src/chart/types/mod.rs,66,89,19,25,ok,0.12208,9788,36968,25
Rust,0-10,GyulyVGC-sniffnet.git,9a9d40b44ec55be7160e84404597fac2cdf86b93,src/translations/mod.rs,154,178,42,48,ok,0.195571,14432,57814,48
Rust,0-10,GyulyVGC-sniffnet.git,a4df0b280bb8ccc786189c5e8af2c9fd214bca6a,src/chart/types/mod.rs,80,84,23,25,ok,0.152928,11168,46944,25
Rust,0-10,GyulyVGC-sniffnet.git,a9429326d98a29931b9c9b59ea2cb469b4ef0166,src/chart/types/mod.rs,43,64,13,19,ok,0.15331899999999998,7512,29512,19
Rust,0-10,GyulyVGC-sniffnet.git,b4ebe43b051373ebb340cd2e4df0b0271f31e251,src/gui/styles/custom_themes/mod.rs,81,81,31,31,ok,0.199657,13360,47348,37
Rust,0-10,GyulyVGC-sniffnet.git,b9170cbec89e4feccd1b4830de0739c770f371c8,src/gui/types/mod.rs,83,61,25,19,ok,0.10453899999999999,7712,32730,25
Rust,0-10,GyulyVGC-sniffnet.git,bc5bb0ae219e9b4cbc16ea31162739dda6da5936,src/chart/types/mod.rs,64,44,19,13,ok,0.079004,6620,25154,19
Rust,0-10,GyulyVGC-sniffnet.git,be07e3630a37bba69f9a8e101af43aa499667692,src/utils/mod.rs,42,64,13,19,ok,0.089621,7512,29252,19
Rust,0-10,GyulyVGC-sniffnet.git,c09035a3d1d2f7a825aa521f3cc3192e8132f65d,src/utils/types/mod.rs,51,70,19,25,ok,0.10969200000000001,9788,36832,25
Rust,0-10,GyulyVGC-sniffnet.git,c4413e8d077385ce5529d05246d43da9a20ad742,src/chart/types/mod.rs,64,80,19,23,ok,0.10355400000000001,9256,36150,23
Rust,0-10,GyulyVGC-sniffnet.git,d3c8de6aa537725ceb1f63dd02221cdaee44253c,src/gui/styles/custom_themes/mod.rs,81,95,31,37,ok,0.155704,15388,60228,37
Rust,0-10,GyulyVGC-sniffnet.git,d58c27f36f840c4aefc6682e3a0f2a25b99097f3,src/gui/types/mod.rs,61,78,19,25,ok,0.12435500000000001,9788,36904,25
Rust,0-10,GyulyVGC-sniffnet.git,d58c27f36f840c4aefc6682e3a0f2a25b99097f3,src/translations/mod.rs,178,202,48,54,ok,0.216864,14432,60742,54
Rust,0-10,GyulyVGC-sniffnet.git,da1f818a5652ee6d631d239ab29b84c66ce7c0fd,src/gui/components/mod.rs,91,116,37,43,ok,0.179317,15420,62608,43
Rust,0-10,GyulyVGC-sniffnet.git,dc87c48cec65331ce1ab3fb1ed46df65a60411a6,src/utils/types/mod.rs,70,103,25,31,ok,0.176639,13004,48936,31
Rust,0-10,GyulyVGC-sniffnet.git,eb013e0eb686384f7e7b426b3341748327f472e8,src/report/types/mod.rs,92,66,25,19,ok,0.103825,7712,32786,25
Rust,0-10,GyulyVGC-sniffnet.git,f59964ac99350c47722369dfc0d281071c5ad52d,src/chart/mod.rs,42,15,13,7,ok,0.055435,4288,16270,13
Rust,0-10,GyulyVGC-sniffnet.git,f59964ac99350c47722369dfc0d281071c5ad52d,src/chart/types/mod.rs,44,66,13,19,ok,0.08823,7512,29268,19
