name,era
c-awslabs-aws-c-common-only-insert,fresh
c-cpython-autogenerated-code,pre
c-ffmpeg-added-typedef-to-enum,pre
c-freeciv-add-parameter-to-function,revisited
c-graph-algorithms-edge-addition-planarity-suite-real-change-all-across-the-file,fresh
c-htop-remove-function-declaration,pre
c-intel-vpl-gpu-rt-whitespace-only-change,fresh
c-libtom-libtomcrypt-change-function-call,fresh
c-linux-small-bugfix,revisited
c-linux-small-change,pre
c-linux-small-change-struct-to-char,pre
c-microsoft-terminal-add-function,pre
c-nginx-add-typedef,pre
c-ondsel-development-ondselsolver-add-include,fresh
c-pixaranimationstudios-opensubdiv-change-license-comment,fresh
c-pocoproject-poco-replace-0-with-nullptr,fresh
c-postgres-real-logic-change,pre
c-relianoid-nftlb-zcu-log-to-u-log,fresh
c-sched-ext-scx-many-many-moves-some-deletes-some-adds,fresh
c-tripwire-tripwire-open-source-add-single-item-to-list,fresh
cpp-add-const-correctness,pre
cpp-add-memory-management,pre
cpp-add-templates,pre
cpp-arximboldi-lager-add-two-test-cases,fresh
cpp-bolero-murakami-sprout-copyright-comment-update,fresh
cpp-bolero-murakami-sprout-copyright-update,fresh
cpp-bolero-murakami-sprout-copyright-update-3,fresh
cpp-cgdb-cgdb-struct-to-pointer,fresh
cpp-fix-segfault,revisited
cpp-godot-small-bugfix,revisited
cpp-jpnurmi-znc-playback-adding-new-feature,fresh
cpp-ladybird-refactor-variables-if-changes,revisited
cpp-lancos-ponyprog-remove-a-few-lines,fresh
cpp-laydbird-change-function-signature,pre
cpp-libreoffice-add-const,pre
cpp-libreoffice-remove-return-value,pre
cpp-llnl-sundials-comment-change,fresh
cpp-mikepopoloski-slang-remove-if-condition-and-brackets,fresh
cpp-nextcloud-add-test-case,pre
cpp-ollama-add-function-argument,pre
cpp-opencv-add-test-case,pre
cpp-optimize-algorithm,pre
cpp-qpdf-qpdf-move-to-assert-from-if-and-throw,fresh
cpp-tensorflow-switch-to-primitive-types,pre
cpp-whitespace-only-change,pre
csharp-cyanfish-naps2-add-condition-to-if,fresh
csharp-dotnet-script-dotnet-script-remove-two-arguments,fresh
csharp-glibsharp-gtksharp-formatting-only-change,fresh
csharp-glibsharp-gtksharp-interesting-case-where-most-should-be-flagged-as-insert-delete-with-a-single-update,fresh
csharp-glibsharp-gtksharp-whitespace-only-change,fresh
csharp-glibsharp-gtksharp-whitespace-only-change-2,fresh
csharp-glibsharp-gtksharp-whitespace-only-change-3,fresh
csharp-icsharpcode-avaloniailspy-a-few-formatting-changes-and-use-a-struct-instead-of-tuples,fresh
csharp-jellyfin-add-function,pre
csharp-jellyfin-sql-query-fix,revisited
csharp-lidarr-add-function,pre
csharp-lidarr-call-different-function,revisited
csharp-lidarr-condition-change,revisited
csharp-lidarr-new-feature,pre
csharp-radarr-add-object-instance,pre
csharp-sonarr-add-if-block,pre
csharp-sonarr-add-true-to-function-call,pre
csharp-sonarr-change-type,pre
csharp-valvesoftware-openvr-add-many-constants-and-fields,fresh
