fixture,preset,side,class,verdict,kind,row,row_drift,drift_matches_neighbours,clean_in_class
c-freeciv-add-parameter-to-function,Full,before,row+col+edited,painted:Move,struct,24,1,false,0
c-freeciv-add-parameter-to-function,Full,before,row+col+edited,painted:Move,type_identifier,24,1,true,0
c-freeciv-add-parameter-to-function,Full,before,row+col+edited,painted:Move,*,24,1,true,0
c-freeciv-add-parameter-to-function,Full,before,row+col+edited,painted:Move,identifier,24,1,true,0
c-freeciv-add-parameter-to-function,Full,before,row+col+edited,painted:Move,",",24,1,true,0
c-freeciv-add-parameter-to-function,Full,after,row+col+edited,painted:Move,struct,25,1,false,0
c-freeciv-add-parameter-to-function,Full,after,row+col+edited,painted:Move,type_identifier,25,1,true,0
c-freeciv-add-parameter-to-function,Full,after,row+col+edited,painted:Move,*,25,1,true,0
c-freeciv-add-parameter-to-function,Full,after,row+col+edited,painted:Move,identifier,25,1,true,0
c-freeciv-add-parameter-to-function,Full,after,row+col+edited,painted:Move,",",25,1,true,0
c-genymobile-scrcpy-add-to-import-path-and-move-imports-around,Full,before,row+-+edited,painted:Move,#include,8,1,false,0
c-genymobile-scrcpy-add-to-import-path-and-move-imports-around,Full,before,row+-+edited,painted:Move,"""",8,1,true,0
c-genymobile-scrcpy-add-to-import-path-and-move-imports-around,Full,before,row+col+edited,painted:Move,"""",8,1,false,0
c-genymobile-scrcpy-add-to-import-path-and-move-imports-around,Full,after,row+-+edited,painted:Move,#include,9,1,false,0
c-genymobile-scrcpy-add-to-import-path-and-move-imports-around,Full,after,row+-+edited,painted:Move,"""",9,1,true,0
c-genymobile-scrcpy-add-to-import-path-and-move-imports-around,Full,after,row+col+edited,painted:Move,"""",9,1,false,0
c-genymobile-scrcpy-big-change,Minimal,before,row+col+edited,painted:Update,=,7,5,true,6
c-genymobile-scrcpy-big-change,Minimal,after,row+col+edited,painted:Update,=,12,5,true,6
c-genymobile-scrcpy-big-change,Full,before,row+-+edited,painted:Move,(,6,4,true,2
c-genymobile-scrcpy-big-change,Full,before,row+-+edited,painted:Move,struct,6,4,true,2
c-genymobile-scrcpy-big-change,Full,before,row+-+edited,painted:Move,type_identifier,6,4,true,2
c-genymobile-scrcpy-big-change,Full,before,row+-+edited,painted:Move,*,6,4,true,2
c-genymobile-scrcpy-big-change,Full,before,row+-+edited,painted:Move,identifier,6,4,false,2
c-genymobile-scrcpy-big-change,Full,before,row+col+edited,painted:Move,),6,5,false,2
c-genymobile-scrcpy-big-change,Full,before,row+col+edited,painted:Move,{,6,5,true,2
c-genymobile-scrcpy-big-change,Full,before,row+-+edited,painted:Move,identifier,7,5,true,2
c-genymobile-scrcpy-big-change,Full,before,row+-+edited,painted:Move,->,7,5,true,2
c-genymobile-scrcpy-big-change,Full,before,row+col+edited,painted:Update,=,7,5,true,2
c-genymobile-scrcpy-big-change,Full,before,row+-+same,painted:Move,},8,5,true,2
c-genymobile-scrcpy-big-change,Full,after,row+-+edited,painted:Move,(,10,4,true,2
c-genymobile-scrcpy-big-change,Full,after,row+-+edited,painted:Move,struct,10,4,true,2
c-genymobile-scrcpy-big-change,Full,after,row+-+edited,painted:Move,type_identifier,10,4,true,2
c-genymobile-scrcpy-big-change,Full,after,row+-+edited,painted:Move,*,10,4,true,2
c-genymobile-scrcpy-big-change,Full,after,row+-+edited,painted:Move,identifier,10,4,false,2
c-genymobile-scrcpy-big-change,Full,after,row+col+edited,painted:Move,),11,5,false,2
c-genymobile-scrcpy-big-change,Full,after,row+col+edited,painted:Move,{,11,5,true,2
c-genymobile-scrcpy-big-change,Full,after,row+-+edited,painted:Move,identifier,12,5,true,2
c-genymobile-scrcpy-big-change,Full,after,row+-+edited,painted:Move,->,12,5,true,2
c-genymobile-scrcpy-big-change,Full,after,row+col+edited,painted:Update,=,12,5,true,2
c-genymobile-scrcpy-big-change,Full,after,row+-+same,painted:Move,},13,5,true,2
c-linux-small-bugfix,Minimal,before,row+col+edited,painted:Move,identifier,348,14,false,8
c-linux-small-bugfix,Minimal,before,row+col+edited,painted:Move,|=,348,14,true,8
c-linux-small-bugfix,Minimal,before,row+col+edited,painted:Move,identifier,348,14,true,8
c-linux-small-bugfix,Minimal,before,row+col+edited,painted:Move,.,348,14,true,8
c-linux-small-bugfix,Minimal,before,row+col+edited,painted:Move,field_identifier,348,14,true,8
c-linux-small-bugfix,Minimal,before,row+col+edited,painted:Move,?,348,14,true,8
c-linux-small-bugfix,Minimal,before,row+col+edited,painted:Move,identifier,348,14,true,8
c-linux-small-bugfix,Minimal,before,row+col+edited,painted:Move,(,348,14,true,8
c-linux-small-bugfix,Minimal,before,row+col+edited,painted:Move,identifier,348,14,true,8
c-linux-small-bugfix,Minimal,before,row+col+edited,painted:Move,",",348,14,true,8
c-linux-small-bugfix,Minimal,before,row+col+edited,painted:Move,identifier,348,14,true,8
