name,category,language,before_loc,after_loc,before_bytes,after_bytes,before_nodes,after_nodes,has_mapping,op_identical,op_update,op_match_but_not_identical,op_delete,op_delete_with_children,op_insert,op_insert_with_children,node_op_identical,node_op_update,node_op_match_but_not_identical,node_op_delete,node_op_delete_with_children,node_op_insert,node_op_insert_with_children,implicit_identical_nodes,paired_entries,depth_delta_0,depth_delta_1,depth_delta_2,depth_delta_3plus,reorder_signals,group_count,group_with_children,group_all_to_all,current_mismatches
bazel-not-actually-supported-by-treesitter,handmade,Unknown,66,40,1958,1317,0,0,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
c-awslabs-aws-c-common-only-insert,full,C,213,272,7314,9723,604,734,true,602,0,2,0,0,0,6,1204,0,4,0,0,0,130,0,604,604,0,0,0,0,0,0,0,0
c-cpython-autogenerated-code,small,C,4146,4161,142030,142732,28887,29030,true,28866,3,18,0,0,0,1,57732,6,36,0,0,0,143,0,28887,28887,0,0,0,0,0,0,0,29
c-ffmpeg-added-typedef-to-enum,small,C,318,318,10561,10583,1238,1240,true,1230,0,7,1,0,3,0,2460,0,14,1,0,3,0,0,1237,1193,44,0,0,0,0,0,0,1
c-ffmpeg-ffmpeg-rename-two-identifiers,stratified,C,617,617,20394,20406,4941,4941,true,4931,2,8,0,0,0,0,9862,4,16,0,0,0,0,0,4941,4941,0,0,0,0,0,0,0,0
c-freeciv-add-parameter-to-function,small,C,30,31,1261,1318,122,132,true,116,0,5,0,0,9,0,235,0,10,0,0,9,0,3,121,121,0,0,0,0,1,0,0,0
c-freeciv-freeciv-rename-identifier,stratified,C,2244,2244,81849,81835,15821,15821,true,15797,2,22,0,0,0,0,31594,4,44,0,0,0,0,0,15821,15821,0,0,0,0,0,0,0,0
c-freeciv-freeciv-update-version,stratified,C,53,53,1980,1980,229,229,true,220,2,7,0,0,0,0,440,4,14,0,0,0,0,0,229,229,0,0,0,0,0,0,0,0
c-genymobile-scrcpy-add-a-define,stratified,C,7,8,429,491,29,33,true,28,0,1,0,0,0,1,56,0,2,0,0,0,4,0,29,29,0,0,0,0,0,0,0,0
c-genymobile-scrcpy-add-a-define-,stratified,C,8,9,491,553,33,37,true,32,0,1,0,0,0,1,64,0,2,0,0,0,4,0,33,33,0,0,0,0,0,0,0,0
c-genymobile-scrcpy-add-a-define-2,stratified,C,6,7,367,429,25,29,true,24,0,1,0,0,0,1,48,0,2,0,0,0,4,0,25,25,0,0,0,0,0,0,0,0
c-genymobile-scrcpy-add-to-import-path-and-move-imports-around,stratified,C,27,27,508,512,105,105,true,100,1,4,0,0,0,0,200,2,8,0,0,0,0,0,105,105,0,0,0,1,0,0,0,6
c-genymobile-scrcpy-big-change,stratified,C,25,27,653,762,181,167,true,26,1,9,0,2,1,5,52,2,18,0,145,1,130,0,36,36,0,0,0,0,0,0,0,103
c-genymobile-scrcpy-rename-and-add-a-define,stratified,C,5,6,305,367,21,25,true,18,1,2,0,0,0,1,36,2,4,0,0,0,4,0,21,21,0,0,0,0,0,0,0,0
c-genymobile-scrcpy-rename-defines,stratified,C,5,5,290,305,21,21,true,10,5,6,0,0,0,0,20,10,12,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0
c-godotengine-godot-add-two-enum-values,stratified,C,164,166,6349,6393,1083,1089,true,1078,0,5,0,0,0,4,2156,0,10,0,0,0,6,0,1083,1083,0,0,0,0,0,0,0,0
