rule,fixture,before_kind,after_kind,before_text,after_text,slot,before_row,after_row
"R1","c-genymobile-scrcpy-big-change","number_literal","identifier","0","keyboard","assignment_expression.right","7","12"
"R2a","c-genymobile-scrcpy-big-change","primitive_type","primitive_type","size_t","size_t","","19","17"
"R2a","c-genymobile-scrcpy-big-change","primitive_type","primitive_type","uint16_t","uint16_t","","18","16"
"R2a","c-genymobile-scrcpy-big-change","primitive_type","primitive_type","void","void","","10","15"
"R2a","c-nginx-add-typedef","identifier","identifier","userdata","userdata","","574","591"
"R2a","c-nginx-add-typedef","type_identifier","type_identifier","ngx_str_t","ngx_str_t","","479","67"
"R1","cpp-add-templates","primitive_type","type_identifier","int","T","field_declaration.type","4","5"
"R1","cpp-add-templates","primitive_type","type_identifier","int","T","parameter_declaration.type","6","7"
"R1","cpp-add-templates","primitive_type","type_identifier","int","T","function_definition.type","7","8"
"R2a","cpp-ladybird-refactor-variables-if-changes","type_identifier","type_identifier","SVGGraphicsElement","SVGGraphicsElement","","206","208"
"R2a","cpp-ladybird-refactor-variables-if-changes","field_identifier","field_identifier","parent","parent","","526","544"
"R2a","cpp-tensorflow-tensorflow-new-to-make-unique","type_identifier","type_identifier","NnApi","NnApi","","28","28"
"R2a","csharp-jellyfin-add-function","integer_literal","integer_literal","1","1","","226","103"
"R2a","go-henri-gasc-cliphist-auto-generated-file","field_identifier","type_identifier","Pointer","Pointer","","1601","408"
"R2a","go-henri-gasc-cliphist-auto-generated-file","identifier","package_identifier","unsafe","unsafe","","1601","408"
"R2a","html-gohugoio-hugo-enclose-table-with-div-and-add-thead-tbody","attribute_name","attribute_name","class","class","","12","13"
"R2a","java-defects4j-chart-6-shapelist","identifier","identifier","obj","obj","","111","111"
"R2a","java-defects4j-cli-1-commandline","identifier","identifier","Util","Util","","149","165"
"R2a","java-defects4j-cli-1-commandline","identifier","identifier","stripLeadingHyphens","stripLeadingHyphens","","149","165"
"R2a","java-defects4j-cli-15-writeablecommandlineimpl","identifier","identifier","option","option","","123","118"
"R2a","java-defects4j-cli-15-writeablecommandlineimpl","type_identifier","type_identifier","List","List","","123","118"
"R2a","java-defects4j-cli-15-writeablecommandlineimpl","this","this","this","this","","123","118"
"R2a","java-defects4j-cli-20-posixparser","decimal_integer_literal","decimal_integer_literal","0","0","","116","115"
"R2a","java-defects4j-cli-22-posixparser","type_identifier","type_identifier","Option","Option","","243","41"
"R2a","java-defects4j-cli-29-util","identifier","identifier","substring","substring","","67","66"
"R2a","java-defects4j-jacksondatabind-25-simpleabstracttyperesolver","identifier","identifier","type","type","","80","80"
"R2a","java-defects4j-jxpath-15-unioncontext","identifier","identifier","nodeSet","nodeSet","","56","66"
"R2a","java-defects4j-jxpath-15-unioncontext","identifier","identifier","add","add","","56","66"
"R2a","java-defects4j-jxpath-18-attributecontext","identifier","identifier","getNodeName","getNodeName","","78","91"
"R2a","java-defects4j-jxpath-18-attributecontext","type_identifier","type_identifier","QName","QName","","78","35"
"R2a","java-defects4j-jxpath-7-coreoperationgreaterthan","decimal_integer_literal","decimal_integer_literal","0","0","","34","32"
"R2a","java-defects4j-jxpath-7-coreoperationgreaterthanorequal","decimal_integer_literal","decimal_integer_literal","0","0","","35","33"
"R2a","java-defects4j-jxpath-7-coreoperationlessthan","decimal_integer_literal","decimal_integer_literal","0","0","","34","32"
"R2a","java-defects4j-jxpath-7-coreoperationlessthanorequal","decimal_integer_literal","decimal_integer_literal","0","0","","35","33"
"R2a","java-defects4j-lang-19-numericentityunescaper","character_literal","character_literal","';'","';'","","54","84"
"R2a","java-defects4j-math-14-weight","identifier","identifier","weight","weight","","45","43"
"R2a","java-defects4j-mockito-21-constructorinstantiator","type_identifier","type_identifier","T","T","","24","27"
"R2a","java-defects4j-mockito-21-constructorinstantiator","identifier","identifier","outerClassInstance","outerClassInstance","","24","17"
"R2a","java-jakartaee-rest-real-logic-change-of-a-significant-chunck","identifier","identifier","getName","getName","","285","63"
"R2a","java-jakartaee-rest-real-logic-change-of-a-significant-chunck","string_fragment","string_fragment",".class",".class","","285","63"
"R2a","java-jakartaee-rest-real-logic-change-of-a-significant-chunck","character_literal","character_literal","'/'","'/'","","285","63"
"R2a","java-jakartaee-rest-real-logic-change-of-a-significant-chunck","string_fragment","string_fragment","to","to","","293","71"
"R2a","java-jakartaee-rest-real-logic-change-of-a-significant-chunck","string_fragment","string_fragment","ClassCastException: attempting to cast","ClassCastException: attempting to cast","","291","69"
"R2a","java-jakartaee-rest-real-logic-change-of-a-significant-chunck","type_identifier","type_identifier","ClientBuilder","ClientBuilder","","284","62"
"R2a","java-jakartaee-rest-real-logic-change-of-a-significant-chunck","character_literal","character_literal","'.'","'.'","","285","63"
"R2a","java-jakartaee-rest-real-logic-change-of-a-significant-chunck","identifier","identifier","getClass","getClass","","292","70"
"R2a","java-jakartaee-rest-real-logic-change-of-a-significant-chunck","type_identifier","type_identifier","Class","Class","","284","62"
"R2a","java-jakartaee-rest-real-logic-change-of-a-significant-chunck","identifier","identifier","replace","replace","","285","63"
"R2a","java-jakartaee-rest-real-logic-change-of-a-significant-chunck","identifier","identifier","getSystemClassLoader","getSystemClassLoader","","288","66"
"R2a","java-jakartaee-rest-real-logic-change-of-a-significant-chunck","type_identifier","type_identifier","URL","URL","","290","68"
"R2a","java-pdftk-java-pdftk-real-change-all-across-the-file","identifier","identifier","toByteArray","toByteArray","","203","162"
"R2a","java-pdftk-java-pdftk-real-change-all-across-the-file","identifier","identifier","len","len","","199","244"
"R2a","java-pdftk-java-pdftk-real-change-all-across-the-file","type_identifier","type_identifier","RandomAccessFile","RandomAccessFile","","394","319"
"R2a","javascript-add-array-method","identifier","identifier","target","target","","3","2"
"R2a","kotlin-add-data-class","string_content","identifier","age","age","","4","1"
"R2a","kotlin-add-data-class","string_content","identifier","name","name","","3","1"
"R2a","kotlin-add-data-class","identifier","identifier","String","String","","1","1"
"R2a","kotlin-nextcloud-android-move-from-one-mocking-library-to-other","identifier","identifier","eq","eq","","17","20"
"R2a","kotlin-remove-function","identifier","identifier","Unavailable","Unavailable","","70","12"
"R2a","lua-corsixth-corsixth-refactor-if-expressions","string_content","identifier","Handyman","Handyman","","239","239"
"R2a","lua-corsixth-corsixth-refactor-if-expressions","string_content","identifier","Doctor","Doctor","","184","184"
"R2a","lua-luakit-luakit-actual-test-change-merging-two-tests-into-one","string_content","string_content","about:blank","about:blank","","64","31"
"R2a","lua-luakit-luakit-actual-test-change-merging-two-tests-into-one","comment_content","comment_content","Navigate to about:blank","Navigate to about:blank","","63","30"
"R2a","lua-neovim-neovim-logic-change-with-some-code-re-use","number","number","2","2","","941","1258"
"R2a","python-api-change","identifier","identifier","response","response","","8","10"
"R2a","python-langflow-ai-langflow-actual-change-of-logic","identifier","identifier","rotation","rotation","","161","247"
"R2a","python-langflow-ai-langflow-actual-change-of-logic","identifier","identifier","async_file","async_file","","257","246"
"R2a","ruby-homebrew-brew-actual-logic-change","identifier","identifier","deprecated?","deprecated?","","487","347"
"R2a","ruby-homebrew-brew-change-heredoc-to-string","heredoc_content","string_content","->","->","","261","260"
"R2a","ruby-homebrew-brew-decent-amount-of-new-code-and-some-changes","simple_symbol","simple_symbol",":|",":|","","199","294"
"R2a","ruby-homebrew-brew-decent-amount-of-new-code-and-some-changes","instance_variable","instance_variable","@use_runtime_dependencies","@use_runtime_dependencies","","103","105"
"R2a","ruby-homebrew-brew-decent-amount-of-new-code-and-some-changes","true","true","true","true","","103","105"
"R2a","ruby-homebrew-brew-decent-amount-of-new-code-and-some-changes","simple_symbol","simple_symbol",":&",":&","","199","294"
"R2a","rust-tiffany352-rink-rs-real-change","identifier","identifier","gnu_units","gnu_units","","13","10"
"R2a","rust-tiffany352-rink-rs-real-change","identifier","identifier","None","None","","286","196"
"R2a","rust-tiffany352-rink-rs-real-change","identifier","identifier","loader","loader","","13","10"
"R2a","rust-tiffany352-rink-rs-real-change","field_identifier","string_content","fetch_on_startup","fetch_on_startup","","283","68"
"R2a","rust-tiffany352-rink-rs-real-change","string_content","string_content","config.toml","config.toml","","308","27"
"R2a","rust-tiffany352-rink-rs-real-change","field_identifier","field_identifier","cache_duration","cache_duration","","284","194"
"R2a","scala-com-lihaoyi-mill-change-from-one-function-to-other-and-delete-a-function","identifier","identifier","upickle","upickle","","120","109"
"R2a","scala-xerial-xerial-java-actual-code-change","ERROR","identifier","scala","scala","","77","78"
"R2a","shellscript-openlightingproject-ola-real-small-change","word","word","./tools/rdm/ResponderTest.py","./tools/rdm/ResponderTest.py","","265","273"
"R2a","swift-apple-swift-argument-parser-small-change","simple_identifier","simple_identifier","ArgumentParser","ArgumentParser","","12","15"
"R2a","swift-swiftlang-swift-actual-logic-change","simple_identifier","simple_identifier","map","map","","126","103"
"R1","tsx-greenbone-gsa-add-import-and-use-it","undefined","identifier","undefined","GREENBONE_SENSOR_SCANNER_TYPE","pair.value","264","267"
"R2a","typescript-async-await","identifier","identifier","fetchData","fetchData","","7","10"
"R2a","typescript-n8n-io-n8n-remove-and-add-imports","identifier","identifier","getConnectionHintNoticeField","getConnectionHintNoticeField","","12","16"
