fixture,language,before_kind,after_kind,before_named,after_named,before_parent,after_parent,depth,before_text,after_text
"c-ffmpeg-added-typedef-to-enum","C","unsigned","type_identifier","false","true","sized_type_specifier","field_declaration","7","unsigned","SwsCompFlags"
"c-neovim-neovim-small-change","C","type_identifier","identifier","true","true","declaration","ERROR","2","dict_T","dict_T"
"c-neovim-neovim-small-change","C","type_identifier","identifier","true","true","declaration","ERROR","2","list_T","list_T"
"c-nginx-add-typedef","C","NULL","identifier","false","true","null","return_statement","9","NULL","value"
"c-nginx-add-typedef","C","identifier","field_identifier","true","true","assignment_expression","field_expression","7","pwd","pwd"
"c-nginx-add-typedef","C","identifier","field_identifier","true","true","update_expression","field_expression","9","pwd","pwd"
"c-openssl-openssl-identifier-to-literal-zero","C","identifier","number_literal","true","true","argument_list","argument_list","9","OCSP_TRUSTOTHER","0"
"cpp-cgdb-cgdb-struct-to-pointer","CPP","*","&","false","false","pointer_declarator","reference_declarator","6","*","&"
"cpp-cgdb-cgdb-struct-to-pointer","CPP","struct","const","false","false","struct_specifier","type_qualifier","6","struct","const"
"cpp-cgdb-cgdb-struct-to-pointer","CPP","->",".","false","false","field_expression","field_expression","6","->","."
"cpp-cgdb-cgdb-struct-to-pointer","CPP","->",".","false","false","field_expression","field_expression","7","->","."
"cpp-cgdb-cgdb-struct-to-pointer","CPP","->",".","false","false","field_expression","field_expression","9","->","."
"cpp-cgdb-cgdb-struct-to-pointer","CPP","->",".","false","false","field_expression","field_expression","10","->","."
"cpp-cgdb-cgdb-struct-to-pointer","CPP","->",".","false","false","field_expression","field_expression","9","->","."
"cpp-cgdb-cgdb-struct-to-pointer","CPP","->",".","false","false","field_expression","field_expression","9","->","."
"cpp-fix-segfault","CPP","<=","<","false","false","binary_expression","binary_expression","5","<=","<"
"cpp-ladybird-refactor-variables-if-changes","CPP","identifier","field_identifier","true","true","pointer_expression","field_expression","12","parent_node","parent"
"cpp-laydbird-change-function-signature","CPP","->",".","false","false","field_expression","field_expression","10","->","."
"cpp-tensorflow-switch-to-primitive-types","CPP","type_identifier","primitive_type","true","true","type_descriptor","type_descriptor","12","uint64","uint64_t"
"cpp-tensorflow-switch-to-primitive-types","CPP","type_identifier","primitive_type","true","true","type_descriptor","type_descriptor","12","uint64","uint64_t"
"cpp-tensorflow-switch-to-primitive-types","CPP","type_identifier","primitive_type","true","true","type_descriptor","type_descriptor","13","uint64","uint64_t"
"cpp-tensorflow-switch-to-primitive-types","CPP","type_identifier","primitive_type","true","true","type_descriptor","type_descriptor","13","uint64","uint64_t"
"cpp-tensorflow-switch-to-primitive-types","CPP","type_identifier","primitive_type","true","true","parameter_declaration","parameter_declaration","7","uint64","uint64_t"
"cpp-tensorflow-switch-to-primitive-types","CPP","type_identifier","primitive_type","true","true","type_descriptor","type_descriptor","15","uint64","uint64_t"
"css-twbs-bootstrap-parse-errors","CSS","identifier","property_name","true","true","ERROR","declaration","5","box-shadow","box-shadow"
"css-wordpress-wordpress-change-simple-values-to-vars","CSS","integer_value","float_value","true","true","declaration","arguments","4","2px","1.5px"
"go-gin-constant-change","Go","<=","<","false","false","binary_expression","binary_expression","7","<=","<"
"html-hugo-tag-to-selfclosing-tag","HTML","self_closing_tag","start_tag","true","true","element","element","4","<meta charset=""utf-8"" />","<meta charset=""utf-8"">"
"html-hugo-tag-to-selfclosing-tag","HTML","/>",">","false","false","self_closing_tag","start_tag","5","/>",">"
"html-mozilla-pdf-add-closing-tags","HTML",">","/>","false","false","start_tag","self_closing_tag","3",">","/>"
"html-mozilla-pdf-add-closing-tags","HTML",">","/>","false","false","start_tag","self_closing_tag","3",">","/>"
"java-defects4j-chart-1-abstractcategoryitemrenderer","Java","!=","==","false","false","binary_expression","binary_expression","8","!=","=="
"java-defects4j-cli-20-posixparser","Java","!=","==","false","false","binary_expression","binary_expression","12","!=","=="
"java-defects4j-jacksondatabind-16-annotationmap","Java","!=","==","false","false","binary_expression","binary_expression","9","!=","=="
"java-defects4j-jacksondatabind-16-annotationmap","Java","&&","||","false","false","binary_expression","binary_expression","7","&&","||"
"java-defects4j-math-22-fdistribution","Java","true","false","true","true","return_statement","return_statement","6","true","false"
"java-defects4j-math-22-uniformrealdistribution","Java","false","true","true","true","return_statement","return_statement","6","false","true"
"java-fix-array-index","Java","<=","<","false","false","binary_expression","binary_expression","7","<=","<"
"java-pdftk-java-pdftk-real-change-all-across-the-file","Java","!=","==","false","false","binary_expression","binary_expression","9","!=","=="
"java-pdftk-java-pdftk-real-change-all-across-the-file","Java","!=","==","false","false","binary_expression","binary_expression","8","!=","=="
"java-pdftk-java-pdftk-real-change-all-across-the-file","Java","while_statement","do_statement","true","true","block","block","5","while( bytesRead< len ) { // len may be 0 nn= this.read( bb, off+ bytesRead, ...","do { int count = read(b, off + n, len - n); if (count < 0) throw new EOFExcep..."
"java-pdftk-java-pdftk-real-change-all-across-the-file","Java","while","do","false","false","while_statement","do_statement","6","while","do"
"java-pdftk-java-pdftk-real-change-all-across-the-file","Java","!=","==","false","false","binary_expression","binary_expression","8","!=","=="
"java-pdftk-java-pdftk-real-change-all-across-the-file","Java","!=","==","false","false","binary_expression","binary_expression","8","!=","=="
"java-pdftk-java-pdftk-real-change-all-across-the-file","Java","!=","==","false","false","binary_expression","binary_expression","8","!=","=="
"java-pdftk-java-pdftk-real-change-all-across-the-file","Java","private","public","false","false","modifiers","modifiers","5","private","public"
"java-scrcpy-public-to-protected","Java","public","protected","false","false","modifiers","modifiers","5","public","protected"
"javascript-add-destructuring","JavaScript","identifier","shorthand_property_identifier_pattern","true","true","variable_declarator","object_pattern","3","name","name"
"javascript-add-destructuring","JavaScript","identifier","shorthand_property_identifier_pattern","true","true","variable_declarator","object_pattern","3","age","age"
"javascript-add-destructuring","JavaScript","identifier","shorthand_property_identifier_pattern","true","true","variable_declarator","object_pattern","3","email","email"
"kotlin-nextcloud-android-dot-to-question-mark-dot","Kotlin",".","?.","false","false","navigation_expression","navigation_expression","16",".","?."
"kotlin-nextcloud-android-dot-to-question-mark-dot","Kotlin",".","?.","false","false","navigation_expression","navigation_expression","15",".","?."
"kotlin-nextcloud-android-dot-to-question-mark-dot","Kotlin",".","?.","false","false","navigation_expression","navigation_expression","14",".","?."
"kotlin-nextcloud-android-dot-to-question-mark-dot","Kotlin",".","?.","false","false","navigation_expression","navigation_expression","15",".","?."
"kotlin-nextcloud-android-dot-to-question-mark-dot","Kotlin",".","?.","false","false","navigation_expression","navigation_expression","14",".","?."
"kotlin-nextcloud-android-dot-to-question-mark-dot","Kotlin",".","?.","false","false","navigation_expression","navigation_expression","15",".","?."
"kotlin-nextcloud-android-dot-to-question-mark-dot","Kotlin",".","?.","false","false","navigation_expression","navigation_expression","14",".","?."
"kotlin-yairm210-unciv-yet-another-vector2-removal","Kotlin","float_literal","number_literal","true","true","value_argument","value_argument","13","1f","1"
"kotlin-yairm210-unciv-yet-another-vector2-removal","Kotlin","float_literal","number_literal","true","true","value_argument","value_argument","13","0f","0"
"kotlin-yairm210-unciv-yet-another-vector2-removal","Kotlin","float_literal","number_literal","true","true","value_argument","value_argument","13","1f","1"
"kotlin-yairm210-unciv-yet-another-vector2-removal","Kotlin","float_literal","number_literal","true","true","value_argument","value_argument","13","0f","0"
"kotlin-yairm210-unciv-yet-another-vector2-removal","Kotlin","float_literal","number_literal","true","true","value_argument","value_argument","13","0f","0"
"kotlin-yairm210-unciv-yet-another-vector2-removal","Kotlin","float_literal","number_literal","true","true","value_argument","value_argument","13","1f","1"
"lua-luakit-luakit-actual-test-change-merging-two-tests-into-one","LUA","'","""","false","false","string","string","7","'",""""
"lua-luakit-luakit-actual-test-change-merging-two-tests-into-one","LUA","'","""","false","false","string","string","7","'",""""
"lua-luakit-luakit-actual-test-change-merging-two-tests-into-one","LUA","""","'","false","false","string","string","9","""","'"
"lua-luakit-luakit-actual-test-change-merging-two-tests-into-one","LUA","""","'","false","false","string","string","9","""","'"
"python-pytorch-pytorch-add-param-to-many-places-and-update-one","Python","none","identifier","true","true","argument_list","argument_list","7","None","block_table"
"ruby-jmespath-jmespath-formatting-and-style-guide-fixes","Ruby",")","]","false","false","symbol_array","array","11","]","]"
"ruby-jmespath-jmespath-formatting-and-style-guide-fixes","Ruby","%i(","[","false","false","symbol_array","array","11","%i[","["
"ruby-jmespath-jmespath-formatting-and-style-guide-fixes","Ruby","%i(","[","false","false","symbol_array","array","13","%i[","["
"ruby-jmespath-jmespath-formatting-and-style-guide-fixes","Ruby",")","]","false","false","symbol_array","array","13","]","]"
"ruby-jmespath-jmespath-formatting-and-style-guide-fixes","Ruby",":","=>","false","false","pair","pair","10",":","=>"
"ruby-jmespath-jmespath-formatting-and-style-guide-fixes","Ruby","hash_key_symbol","simple_symbol","true","true","pair","pair","10","disable_visit_errors",":disable_visit_errors"
"ruby-jmespath-jmespath-go-from-conditional-to-unless","Ruby","simple_symbol","hash_key_symbol","true","true","pair","pair","8",":disable_visit_errors","disable_visit_errors"
"ruby-jmespath-jmespath-go-from-conditional-to-unless","Ruby","=>",":","false","false","pair","pair","8","=>",":"
"rust-add-comments-and-real-new-logic","Rust","field_initializer","shorthand_field_initializer","true","true","field_initializer_list","field_initializer_list","11","promoted_to: record.get(4).unwrap_or("""").to_string()","promoted_to"
"rust-add-comments-and-real-new-logic","Rust","field_identifier","identifier","true","true","field_initializer","shorthand_field_initializer","12","promoted_to","promoted_to"
"rust-real-logic-change-in-a-huge-75k-node-file","Rust","primitive_type","type_identifier","true","true","tuple_type","tuple_type","7","bool","SampleTriageStatus"
"rust-small-addition-with-reuse-of-binary-expressions","Rust","==","!=","false","false","binary_expression","binary_expression","26","==","!="
"rust-yannjor-krabby-actual-normal-change","Rust","identifier","field_identifier","true","true","call_expression","field_expression","8","list_pokemon_names","list_pokemon_names"
"rust-yannjor-krabby-actual-normal-change","Rust","identifier","field_identifier","true","true","call_expression","field_expression","9","show_pokemon_by_name","show_pokemon_by_name"
"rust-yannjor-krabby-actual-normal-change","Rust","identifier","field_identifier","true","true","call_expression","field_expression","9","show_random_pokemon","show_random_pokemon"
"scala-com-lihaoyi-mill-add-a-member-to-expression-chains","Scala","type_arguments","arguments","true","true","generic_function","call_expression","20","[HeaderData]","(scriptPath)"
"scala-com-lihaoyi-mill-add-a-member-to-expression-chains","Scala","[","(","false","false","type_arguments","arguments","21","[","("
"scala-com-lihaoyi-mill-add-a-member-to-expression-chains","Scala","type_identifier","identifier","true","true","type_arguments","arguments","21","HeaderData","scriptPath"
