fixture,side,visible,expected_op,actual_op,reason,reason_argument,kind,parent_kind,named_leaf
c-cpython-autogenerated-code,before,true,Identical,Delete,APTED,greedy_anchor_block,{,compound_statement,false
c-cpython-autogenerated-code,before,true,Identical,Delete,APTED,greedy_anchor_block,type_identifier,declaration,true
c-cpython-autogenerated-code,before,true,Identical,Delete,APTED,greedy_anchor_block,=,init_declarator,false
c-cpython-autogenerated-code,before,true,Identical,Delete,APTED,greedy_anchor_block,;,declaration,false
c-cpython-autogenerated-code,after,true,InsertWithChildren,Identical,IdenticalHashOfAncestor,,),argument_list,false
c-cpython-autogenerated-code,after,true,InsertWithChildren,Identical,IdenticalHashOfAncestor,,identifier,argument_list,true
c-cpython-autogenerated-code,after,true,InsertWithChildren,Identical,IdenticalHashOfAncestor,,",",argument_list,false
c-cpython-autogenerated-code,after,true,InsertWithChildren,Identical,IdenticalHashOfAncestor,,identifier,argument_list,true
c-cpython-autogenerated-code,after,true,InsertWithChildren,Identical,IdenticalHashOfAncestor,,(,argument_list,false
c-cpython-autogenerated-code,after,true,InsertWithChildren,Identical,IdenticalHashOfAncestor,,identifier,call_expression,true
c-cpython-autogenerated-code,before,true,Identical,Delete,APTED,greedy_anchor_block,if,if_statement,false
c-cpython-autogenerated-code,before,true,Identical,Delete,APTED,greedy_anchor_block,(,parenthesized_expression,false
c-cpython-autogenerated-code,before,true,Identical,Delete,APTED,greedy_anchor_block,>=,binary_expression,false
c-cpython-autogenerated-code,before,true,Identical,Delete,APTED,greedy_anchor_block,number_literal,binary_expression,true
c-cpython-autogenerated-code,before,true,Identical,Delete,APTED,greedy_anchor_block,),parenthesized_expression,false
c-cpython-autogenerated-code,before,true,Identical,Delete,APTED,greedy_anchor_block,},compound_statement,false
c-cpython-autogenerated-code,before,false,MatchButNotIdentical,Delete,APTED,greedy_anchor_block,compound_statement,case_statement,false
c-cpython-autogenerated-code,before,false,MatchButNotIdentical,Delete,APTED,greedy_anchor_block,declaration,compound_statement,false
c-cpython-autogenerated-code,before,false,MatchButNotIdentical,Delete,APTED,greedy_anchor_block,init_declarator,declaration,false
c-cpython-autogenerated-code,after,false,InsertWithChildren,Identical,IdenticalHash,,call_expression,expression_statement,false
c-cpython-autogenerated-code,after,false,InsertWithChildren,Identical,IdenticalHashOfAncestor,,argument_list,call_expression,false
c-cpython-autogenerated-code,before,false,MatchButNotIdentical,Delete,APTED,greedy_anchor_block,if_statement,compound_statement,false
c-cpython-autogenerated-code,before,false,MatchButNotIdentical,Delete,APTED,greedy_anchor_block,parenthesized_expression,if_statement,false
c-cpython-autogenerated-code,before,false,MatchButNotIdentical,Delete,APTED,greedy_anchor_block,binary_expression,parenthesized_expression,false
c-cpython-autogenerated-code,before,false,MatchButNotIdentical,Identical,GreedyAnchorBlock,,if_statement,compound_statement,false
c-cpython-autogenerated-code,before,false,MatchButNotIdentical,Identical,APTED,greedy_anchor_block,compound_statement,if_statement,false
c-cpython-autogenerated-code,before,false,MatchButNotIdentical,Identical,APTED,greedy_anchor_block,expression_statement,compound_statement,false
c-cpython-autogenerated-code,before,false,MatchButNotIdentical,Identical,APTED,greedy_anchor_block,call_expression,expression_statement,false
c-cpython-autogenerated-code,before,false,MatchButNotIdentical,Identical,APTED,greedy_anchor_block,argument_list,call_expression,false
c-ffmpeg-added-typedef-to-enum,before,true,MatchButNotIdentical,Delete,APTED,large_flat_subtree,unsigned,sized_type_specifier,false
c-genymobile-scrcpy-add-to-import-path-and-move-imports-around,before,true,Identical,Identical,StructurallyIdenticalAncestor,,#include,preproc_include,false
