fixture,preset,total_bytes,real_bytes,renderer_bytes,matcher_bytes,paintings,breaks_invariants
c-cpython-autogenerated-code,full,284762,198,94,198,2,0
c-cpython-autogenerated-code,minimal,284762,105,18,87,2,0
c-ffmpeg-added-typedef-to-enum,full,21144,20,0,20,1,0
c-ffmpeg-added-typedef-to-enum,minimal,21144,20,0,20,1,0
c-ffmpeg-ffmpeg-rename-two-identifiers,full,40800,30,30,0,2,0
c-ffmpeg-ffmpeg-rename-two-identifiers,minimal,40800,8,8,0,2,0
c-freeciv-add-parameter-to-function,full,2579,29,29,0,2,0
c-freeciv-add-parameter-to-function,minimal,2579,0,0,0,2,0
c-freeciv-freeciv-rename-identifier,full,163684,16,16,0,1,0
c-freeciv-freeciv-rename-identifier,minimal,163684,16,16,0,1,0
c-freeciv-freeciv-update-version,full,3960,0,0,0,1,0
c-freeciv-freeciv-update-version,minimal,3960,0,0,0,1,0
c-genymobile-scrcpy-add-a-define,full,920,0,0,0,1,0
c-genymobile-scrcpy-add-a-define,minimal,920,0,0,0,1,0
c-genymobile-scrcpy-add-a-define-,full,1044,0,0,0,1,0
c-genymobile-scrcpy-add-a-define-,minimal,1044,0,0,0,1,0
c-genymobile-scrcpy-add-a-define-2,full,796,0,0,0,1,0
c-genymobile-scrcpy-add-a-define-2,minimal,796,0,0,0,1,0
c-genymobile-scrcpy-add-to-import-path-and-move-imports-around,full,1020,55,38,42,2,0
c-genymobile-scrcpy-add-to-import-path-and-move-imports-around,minimal,1020,44,18,41,2,0
c-genymobile-scrcpy-big-change,full,1415,581,98,519,2,0
c-genymobile-scrcpy-big-change,minimal,1415,419,7,418,2,0
c-genymobile-scrcpy-rename-and-add-a-define,full,672,22,22,0,2,0
c-genymobile-scrcpy-rename-and-add-a-define,minimal,672,4,4,0,2,0
c-genymobile-scrcpy-rename-defines,full,595,232,232,0,2,0
c-genymobile-scrcpy-rename-defines,minimal,595,15,15,0,2,0
c-godotengine-godot-add-two-enum-values,full,12742,0,0,0,2,0
c-godotengine-godot-add-two-enum-values,minimal,12742,0,0,0,2,0
c-godotengine-godot-pure-move,full,10191,0,0,0,1,0
c-godotengine-godot-pure-move,minimal,10191,0,0,0,1,0
c-htop-dev-htop-add-comment,full,876,0,0,0,1,0
c-htop-dev-htop-add-comment,minimal,876,0,0,0,1,0
c-htop-dev-htop-add-function,full,698,0,0,0,1,0
c-htop-dev-htop-add-function,minimal,698,0,0,0,1,0
c-htop-dev-htop-update-import,full,2567,18,18,0,2,0
c-htop-dev-htop-update-import,minimal,2567,0,0,0,2,0
c-htop-remove-function-declaration,full,5471,0,0,0,1,0
c-htop-remove-function-declaration,minimal,5471,0,0,0,1,0
c-ladybirdbrowser-ladybird-change-to-a-different-class,full,1537,30,30,0,2,1
c-ladybirdbrowser-ladybird-change-to-a-different-class,minimal,1537,0,0,0,2,1
c-ladybirdbrowser-ladybird-move-to-a-different-class,full,1507,30,30,0,2,1
c-ladybirdbrowser-ladybird-move-to-a-different-class,minimal,1507,0,0,0,2,1
c-ladybirdbrowser-ladybird-small-parse-errors,full,31576,8,4,4,2,0
c-ladybirdbrowser-ladybird-small-parse-errors,minimal,31576,4,2,2,2,0
c-linux-small-bugfix,full,199613,7,15,8,2,0
c-linux-small-bugfix,minimal,199613,106,144,38,2,0
c-microsoft-terminal-add-function,full,52410,0,0,0,2,0
c-microsoft-terminal-add-function,minimal,52410,0,0,0,2,0
c-microsoft-terminal-add-two-includes,full,278,0,0,0,1,0
c-microsoft-terminal-add-two-includes,minimal,278,0,0,0,1,0
c-microsoft-terminal-change-import-path,full,3951,17,17,0,2,0
c-microsoft-terminal-change-import-path,minimal,3951,8,8,0,2,0
c-mozilla-firefox-firefox-remove-two-comments,full,1662,0,0,0,1,0
c-mozilla-firefox-firefox-remove-two-comments,minimal,1662,0,0,0,1,0
c-neovim-neovim-add-an-include,full,275,0,0,0,1,0
c-neovim-neovim-add-an-include,minimal,275,0,0,0,1,0
c-neovim-neovim-small-change,full,308,182,182,0,2,0
c-neovim-neovim-small-change,minimal,308,64,64,0,2,0
c-nginx-nginx-add-preproc-two-lines,full,11950,0,0,0,1,0
c-nginx-nginx-add-preproc-two-lines,minimal,11950,0,0,0,1,0
c-ollama-ollama-change-imports,full,1450,36,0,36,1,0
c-ollama-ollama-change-imports,minimal,1450,36,0,36,1,0
c-openssl-openssl-add-import,full,2078,0,0,0,1,0
c-openssl-openssl-add-import,minimal,2078,0,0,0,1,0
c-openssl-openssl-add-two-clang-comments,full,163,0,0,0,1,0
c-openssl-openssl-add-two-clang-comments,minimal,163,0,0,0,1,0
c-openssl-openssl-copyright,full,157402,0,0,0,1,0
c-openssl-openssl-copyright,minimal,157402,0,0,0,1,0
c-openssl-openssl-format-only-change,full,5729,641,641,0,2,0
c-openssl-openssl-format-only-change,minimal,5729,275,275,0,2,0
c-openssl-openssl-identifier-to-literal-zero,full,271718,16,0,16,1,0
c-openssl-openssl-identifier-to-literal-zero,minimal,271718,16,0,16,1,0
c-openssl-openssl-whitepsace-only,full,1407,297,297,0,1,0
c-openssl-openssl-whitepsace-only,minimal,1407,297,297,0,1,0
c-openssl-openssl-whitespace-only,full,1712,0,0,0,1,0
c-openssl-openssl-whitespace-only,minimal,1712,0,0,0,1,0
c-postgres-postgres-copyright,full,141468,0,0,0,1,0
c-postgres-postgres-copyright,minimal,141468,0,0,0,1,0
c-postgres-postgres-copyright-2,full,45438,0,0,0,1,0
c-postgres-postgres-copyright-2,minimal,45438,0,0,0,1,0
c-postgres-postgres-copyright-3,full,12632,0,0,0,1,0
c-postgres-postgres-copyright-3,minimal,12632,0,0,0,1,0
c-postgres-postgres-copyright-year-update,full,2116,0,0,0,1,0
c-postgres-postgres-copyright-year-update,minimal,2116,0,0,0,1,0
c-postgres-postgres-copyright-year-update-2,full,4210,0,0,0,1,0
c-postgres-postgres-copyright-year-update-2,minimal,4210,0,0,0,1,0
c-postgres-postgres-copyright-year-update-3,full,5140,0,0,0,1,0
c-postgres-postgres-copyright-year-update-3,minimal,5140,0,0,0,1,0
c-postgres-postgres-fix-typo,full,196412,0,0,0,1,0
c-postgres-postgres-fix-typo,minimal,196412,0,0,0,1,0
c-postgres-postgres-preprocessor-heavy-change,full,1932,10,10,0,2,0
c-postgres-postgres-preprocessor-heavy-change,minimal,1932,4,4,0,2,0
c-postgres-postgres-tiny-but-interesting,full,108217,24,24,0,2,0
c-postgres-postgres-tiny-but-interesting,minimal,108217,7,7,0,2,0
c-postgres-postgres-update-copyright-year,full,1200,0,0,0,1,0
c-postgres-postgres-update-copyright-year,minimal,1200,0,0,0,1,0
c-protocolbuffers-protobuf-add-to-preproc-define,full,15691,80,80,0,2,0
c-protocolbuffers-protobuf-add-to-preproc-define,minimal,15691,79,79,0,2,0
c-protocolbuffers-protobuf-change-regex,full,96688,0,0,0,1,0
c-protocolbuffers-protobuf-change-regex,minimal,96688,0,0,0,1,0
c-redis-redis-one-line-insert,full,369093,0,0,0,2,0
c-redis-redis-one-line-insert,minimal,369093,0,0,0,2,0
c-rust-lang-rust-add-two-consts,full,309,0,0,0,1,0
c-rust-lang-rust-add-two-consts,minimal,309,0,0,0,1,0
c-sqlite-sqlite-fix-format-string-typo,full,99084,0,0,0,1,0
c-sqlite-sqlite-fix-format-string-typo,minimal,99084,0,0,0,1,0
c-tmux-tmux-delete-one-include,full,36570,0,0,0,1,0
c-tmux-tmux-delete-one-include,minimal,36570,0,0,0,1,0
cpp-add-const-correctness,full,561,1,1,0,2,0
cpp-add-const-correctness,minimal,561,0,0,0,2,0
cpp-add-memory-management,full,540,11,11,0,2,0
cpp-add-memory-management,minimal,540,42,42,0,2,0
cpp-add-templates,full,493,28,28,0,2,1
cpp-add-templates,minimal,493,18,18,0,2,1
cpp-electron-electron-add-imports,full,1347,0,0,0,1,0
cpp-electron-electron-add-imports,minimal,1347,0,0,0,1,0
cpp-fix-segfault,full,781,2,2,0,1,0
cpp-fix-segfault,minimal,781,2,2,0,1,0
cpp-godot-small-bugfix,full,41354,85,83,49,2,0
cpp-godot-small-bugfix,minimal,41354,228,213,33,2,0
cpp-godotengine-godot-add-include,full,5771,0,0,0,1,0
cpp-godotengine-godot-add-include,minimal,5771,0,0,0,1,0
cpp-godotengine-godot-add-one-include,full,840888,0,0,0,1,0
cpp-godotengine-godot-add-one-include,minimal,840888,0,0,0,1,0
cpp-godotengine-godot-add-one-include-2,full,66176,0,0,0,1,0
cpp-godotengine-godot-add-one-include-2,minimal,66176,0,0,0,1,0
cpp-godotengine-godot-add-one-include-3,full,22908,0,0,0,1,0
cpp-godotengine-godot-add-one-include-3,minimal,22908,0,0,0,1,0
cpp-godotengine-godot-add-one-include-4,full,15960,0,0,0,1,0
cpp-godotengine-godot-add-one-include-4,minimal,15960,0,0,0,1,0
cpp-godotengine-godot-add-one-include-5,full,16399,0,0,0,1,0
cpp-godotengine-godot-add-one-include-5,minimal,16399,0,0,0,1,0
cpp-godotengine-godot-insert-one-include,full,90264,0,0,0,1,0
cpp-godotengine-godot-insert-one-include,minimal,90264,0,0,0,1,0
cpp-godotengine-godot-two-imports-added,full,16115,0,0,0,1,0
cpp-godotengine-godot-two-imports-added,minimal,16115,0,0,0,1,0
cpp-ladybirdbrowser-ladybird-add-real-logic,full,3027,0,0,0,2,0
cpp-ladybirdbrowser-ladybird-add-real-logic,minimal,3027,0,0,0,2,0
cpp-ladybirdbrowser-ladybird-change-inherited-class-name,full,1346,0,0,0,1,0
cpp-ladybirdbrowser-ladybird-change-inherited-class-name,minimal,1346,0,0,0,1,0
cpp-libreoffice-add-const-2,full,1242,0,0,0,1,0
cpp-libreoffice-add-const-2,minimal,1242,0,0,0,1,0
cpp-libreoffice-add-imports-and-function-param,full,3286,86,86,0,2,0
cpp-libreoffice-add-imports-and-function-param,minimal,3286,83,83,0,2,0
cpp-libreoffice-delete-function,full,7138,0,0,0,2,0
cpp-libreoffice-delete-function,minimal,7138,2,2,0,2,0
cpp-libreoffice-remove-two-wrapping-functions,full,82352,5,2,4,2,0
cpp-libreoffice-remove-two-wrapping-functions,minimal,82352,4,2,4,2,0
cpp-libreoffice-warn-to-info,full,274066,0,0,0,1,0
cpp-libreoffice-warn-to-info,minimal,274066,0,0,0,1,0
cpp-microsoft-terminal-add-only,full,1401,0,0,0,2,0
cpp-microsoft-terminal-add-only,minimal,1401,0,0,0,2,0
cpp-microsoft-terminal-delete-only,full,1537,0,0,0,2,0
cpp-microsoft-terminal-delete-only,minimal,1537,0,0,0,2,0
cpp-microsoft-terminal-insert-only,full,6827,0,0,0,2,0
cpp-microsoft-terminal-insert-only,minimal,6827,4,4,0,2,0
cpp-microsoft-terminal-remove-unary-expression-from-binary,full,34655,1,1,0,2,0
cpp-microsoft-terminal-remove-unary-expression-from-binary,minimal,34655,1,1,0,2,0
cpp-mozilla-firefox-firefox-delete-leading-comment,full,4282,0,0,0,1,0
cpp-mozilla-firefox-firefox-delete-leading-comment,minimal,4282,0,0,0,1,0
cpp-mozilla-firefox-firefox-update-file-comment,full,1804,0,0,0,2,0
cpp-mozilla-firefox-firefox-update-file-comment,minimal,1804,0,0,0,2,0
cpp-mozilla-firefox-firefox-update-file-comment-2,full,908,0,0,0,1,0
cpp-mozilla-firefox-firefox-update-file-comment-2,minimal,908,0,0,0,1,0
cpp-nzbgetcom-nzbget-add-include,full,192,0,0,0,1,0
cpp-nzbgetcom-nzbget-add-include,minimal,192,0,0,0,1,0
cpp-nzbgetcom-nzbget-update-string-const,full,18122,1,1,0,2,0
cpp-nzbgetcom-nzbget-update-string-const,minimal,18122,0,0,0,2,0
cpp-ollama-ollama-update-commit-hash,full,338,0,0,0,1,0
cpp-ollama-ollama-update-commit-hash,minimal,338,0,0,0,1,0
cpp-ollama-ollama-update-commit-hash-2,full,338,2,2,0,1,0
cpp-ollama-ollama-update-commit-hash-2,minimal,338,2,2,0,1,0
cpp-ollama-ollama-update-commit-hash-3,full,307,0,0,0,1,0
cpp-ollama-ollama-update-commit-hash-3,minimal,307,0,0,0,1,0
cpp-ollama-ollama-update-commit-hash-4,full,338,0,0,0,1,0
cpp-ollama-ollama-update-commit-hash-4,minimal,338,0,0,0,1,0
cpp-ollama-ollama-update-commit-hash-5,full,338,0,0,0,1,0
cpp-ollama-ollama-update-commit-hash-5,minimal,338,0,0,0,1,0
cpp-ollama-ollama-update-commit-hash-6,full,307,0,0,0,1,0
cpp-ollama-ollama-update-commit-hash-6,minimal,307,0,0,0,1,0
cpp-ollama-ollama-update-commit-hash-7,full,338,2,2,0,1,0
cpp-ollama-ollama-update-commit-hash-7,minimal,338,2,2,0,1,0
cpp-ollama-ollama-update-commit-hash-8,full,307,0,0,0,1,0
cpp-ollama-ollama-update-commit-hash-8,minimal,307,0,0,0,1,0
cpp-ollama-ollama-update-commit-hash-string-constant,full,338,0,0,0,1,0
cpp-ollama-ollama-update-commit-hash-string-constant,minimal,338,0,0,0,1,0
cpp-opencv-opencv-delete-string-const-from-preprocessor,full,1778,4,4,0,1,0
cpp-opencv-opencv-delete-string-const-from-preprocessor,minimal,1778,4,4,0,1,0
cpp-optimize-algorithm,full,626,2,2,0,2,0
cpp-optimize-algorithm,minimal,626,0,0,0,2,0
cpp-paddlepaddle-paddleocr-add-namespace-closing-comment,full,1258,1,1,0,2,0
cpp-paddlepaddle-paddleocr-add-namespace-closing-comment,minimal,1258,0,0,0,2,0
cpp-protocolbuffers-protobuf-add-preprocessor-commands,full,1230,0,0,0,1,0
cpp-protocolbuffers-protobuf-add-preprocessor-commands,minimal,1230,0,0,0,1,0
cpp-protocolbuffers-protobuf-one-line-insert,full,19170,0,0,0,2,0
cpp-protocolbuffers-protobuf-one-line-insert,minimal,19170,0,0,0,2,0
cpp-pytorch-pytorch-two-inserted-lines,full,155339,0,0,0,2,0
cpp-pytorch-pytorch-two-inserted-lines,minimal,155339,0,0,0,2,0
cpp-tensorflow-tensorflow-new-to-make-unique,full,2275,5,1,4,2,0
cpp-tensorflow-tensorflow-new-to-make-unique,minimal,2275,5,1,4,2,0
csharp-jellyfin-jellyfin-add-const-string,full,685182,2,2,0,1,0
csharp-jellyfin-jellyfin-add-const-string,minimal,685182,2,2,0,1,0
csharp-jellyfin-jellyfin-add-line,full,241918,0,0,0,2,0
csharp-jellyfin-jellyfin-add-line,minimal,241918,0,0,0,2,0
csharp-jellyfin-jellyfin-update-version-string,full,216,0,0,0,1,0
csharp-jellyfin-jellyfin-update-version-string,minimal,216,0,0,0,1,0
csharp-lidarr-lidarr-add-enum-value,full,264,0,0,0,2,0
csharp-lidarr-lidarr-add-enum-value,minimal,264,0,0,0,2,0
csharp-lidarr-lidarr-add-function,full,940,0,0,0,2,0
csharp-lidarr-lidarr-add-function,minimal,940,0,0,0,2,0
csharp-lidarr-lidarr-add-function-call-to-return,full,20790,0,0,0,1,0
csharp-lidarr-lidarr-add-function-call-to-return,minimal,20790,0,0,0,1,0
csharp-lidarr-lidarr-add-function-signature-to-class,full,484,0,0,0,2,0
csharp-lidarr-lidarr-add-function-signature-to-class,minimal,484,0,0,0,2,0
csharp-lidarr-lidarr-add-import-and-func,full,1733,0,0,0,2,0
csharp-lidarr-lidarr-add-import-and-func,minimal,1733,0,0,0,2,0
csharp-lidarr-lidarr-add-method-to-class,full,363,0,0,0,2,0
csharp-lidarr-lidarr-add-method-to-class,minimal,363,0,0,0,2,0
csharp-radarr-radarr-add-base-class,full,1335,0,0,0,1,0
csharp-radarr-radarr-add-base-class,minimal,1335,0,0,0,1,0
csharp-radarr-radarr-add-func,full,596,0,0,0,2,0
csharp-radarr-radarr-add-func,minimal,596,0,0,0,2,0
csharp-radarr-radarr-add-one-using,full,40338,0,0,0,1,0
csharp-radarr-radarr-add-one-using,minimal,40338,0,0,0,1,0
csharp-radarr-radarr-add-one-using-2,full,2058,0,0,0,1,0
csharp-radarr-radarr-add-one-using-2,minimal,2058,0,0,0,1,0
csharp-radarr-radarr-add-property,full,1704,0,0,0,2,0
csharp-radarr-radarr-add-property,minimal,1704,0,0,0,2,0
csharp-radarr-radarr-add-to-end-of-regex,full,68522,0,0,0,1,0
csharp-radarr-radarr-add-to-end-of-regex,minimal,68522,0,0,0,1,0
csharp-radarr-radarr-remove-import-and-func,full,1128,0,0,0,2,0
csharp-radarr-radarr-remove-import-and-func,minimal,1128,2,2,0,2,0
csharp-sonarr-sonarr-add-attribute,full,295,0,0,0,2,0
csharp-sonarr-sonarr-add-attribute,minimal,295,0,0,0,2,0
csharp-sonarr-sonarr-add-attribute-2,full,297,0,0,0,2,0
csharp-sonarr-sonarr-add-attribute-2,minimal,297,0,0,0,2,0
csharp-sonarr-sonarr-add-func,full,1435,0,0,0,2,0
csharp-sonarr-sonarr-add-func,minimal,1435,0,0,0,2,0
csharp-sonarr-sonarr-add-import-and-annotation,full,404,0,0,0,2,0
csharp-sonarr-sonarr-add-import-and-annotation,minimal,404,0,0,0,2,0
csharp-sonarr-sonarr-add-list-item,full,554,0,0,0,2,0
csharp-sonarr-sonarr-add-list-item,minimal,554,1,1,0,2,0
csharp-sonarr-sonarr-add-two-attributes,full,84690,0,0,0,2,0
csharp-sonarr-sonarr-add-two-attributes,minimal,84690,0,0,0,2,0
csharp-sonarr-sonarr-add-two-items-to-list,full,17106,0,0,0,2,0
csharp-sonarr-sonarr-add-two-items-to-list,minimal,17106,0,0,0,2,0
csharp-sonarr-sonarr-delete-func,full,1175,0,0,0,2,0
csharp-sonarr-sonarr-delete-func,minimal,1175,2,2,0,2,0
csharp-sonarr-sonarr-fix-comment-typo,full,23999,1,1,0,2,0
csharp-sonarr-sonarr-fix-comment-typo,minimal,23999,0,0,0,2,0
csharp-sonarr-sonarr-update-regex,full,142358,80,80,0,2,0
csharp-sonarr-sonarr-update-regex,minimal,142358,75,75,0,2,0
csharp-sonarr-sonarr-use-a-different-class,full,1978,359,359,0,2,0
csharp-sonarr-sonarr-use-a-different-class,minimal,1978,64,64,0,2,0
css-facebook-react-add-two-selectors,full,2578,0,0,0,1,0
css-facebook-react-add-two-selectors,minimal,2578,0,0,0,1,0
css-gorhill-ublock-add-one-attribute,full,5294,0,0,0,2,0
css-gorhill-ublock-add-one-attribute,minimal,5294,0,0,0,2,0
css-mastodon-mastodon-add-two-lines,full,11930,8,0,8,2,0
css-mastodon-mastodon-add-two-lines,minimal,11930,8,0,8,2,0
css-microsoft-vscode-remove-one-line,full,5562,0,0,0,2,0
css-microsoft-vscode-remove-one-line,minimal,5562,0,0,0,2,0
css-nextcloud-server-update-import,full,1249,0,0,0,1,0
css-nextcloud-server-update-import,minimal,1249,0,0,0,1,0
css-shadcn-ui-ui-add-two-bytes,full,19118,3,3,0,1,0
css-shadcn-ui-ui-add-two-bytes,minimal,19118,3,3,0,1,0
css-twbs-bootstrap-parse-errors,full,2619,85,37,91,2,0
css-twbs-bootstrap-parse-errors,minimal,2619,56,11,67,2,0
css-wordpress-wordpress-change-comment,full,41043,19,19,0,2,0
css-wordpress-wordpress-change-comment,minimal,41043,19,19,0,2,0
css-wordpress-wordpress-go-to-one-line,full,120,4,4,0,2,0
css-wordpress-wordpress-go-to-one-line,minimal,120,37,37,0,2,0
css-wordpress-wordpress-one-line-to-multiline,full,468,16,16,0,2,0
css-wordpress-wordpress-one-line-to-multiline,minimal,468,335,335,0,2,0
css-wordpress-wordpress-re-format-in-one-line,full,246,10,10,0,2,0
css-wordpress-wordpress-re-format-in-one-line,minimal,246,207,207,0,2,0
css-wordpress-wordpress-reformat-and-fix-lint-errors,full,264,134,134,0,2,0
css-wordpress-wordpress-reformat-and-fix-lint-errors,minimal,264,170,170,0,2,0
css-wordpress-wordpress-remove-one-line,full,4927,0,0,0,2,0
css-wordpress-wordpress-remove-one-line,minimal,4927,0,0,0,2,0
css-wordpress-wordpress-remove-one-rule,full,1071,122,120,2,1,0
css-wordpress-wordpress-remove-one-rule,minimal,1071,2,0,2,1,0
css-wordpress-wordpress-remove-webkit-prefix,full,4138,8,8,0,1,0
css-wordpress-wordpress-remove-webkit-prefix,minimal,4138,8,8,0,1,0
css-wordpress-wordpress-rename-attribute,full,711,0,0,0,1,0
css-wordpress-wordpress-rename-attribute,minimal,711,0,0,0,1,0
go-caddyserver-caddy-multiple-solutions-interesting-case,full,110301,17,21,25,4,0
go-caddyserver-caddy-multiple-solutions-interesting-case,minimal,110301,15,23,23,4,0
go-fatedier-frp-build-comment-insert-only,full,1063,2,2,0,1,0
go-fatedier-frp-build-comment-insert-only,minimal,1063,2,2,0,1,0
go-gin-gonic-gin-one-space-removed-in-a-comment,full,467,1,1,0,1,0
go-gin-gonic-gin-one-space-removed-in-a-comment,minimal,467,1,1,0,1,0
go-gin-gonic-gin-replace-replaced-with-replaceall,full,10744,30,30,0,2,0
go-gin-gonic-gin-replace-replaced-with-replaceall,minimal,10744,64,64,0,2,0
go-gin-gonic-gin-update-version-string,full,498,0,0,0,1,0
go-gin-gonic-gin-update-version-string,minimal,498,0,0,0,1,0
go-gin-gonic-gin-update-version-string-,full,498,0,0,0,1,0
go-gin-gonic-gin-update-version-string-,minimal,498,0,0,0,1,0
go-gin-gonic-gin-update-version-string-2,full,502,0,0,0,1,0
go-gin-gonic-gin-update-version-string-2,minimal,502,0,0,0,1,0
go-gin-gonic-gin-update-version-string-3,full,498,0,0,0,1,0
go-gin-gonic-gin-update-version-string-3,minimal,498,0,0,0,1,0
go-gin-gonic-gin-update-version-string-4,full,498,0,0,0,1,0
go-gin-gonic-gin-update-version-string-4,minimal,498,0,0,0,1,0
go-gin-gonic-gin-update-version-string-5,full,498,0,0,0,1,0
go-gin-gonic-gin-update-version-string-5,minimal,498,0,0,0,1,0
