solution,mismatches,visible_mismatches,elapsed_ms
c-awslabs-aws-c-common-only-insert,0,0,1.50
c-cpython-autogenerated-code,29,16,124.91
c-ffmpeg-added-typedef-to-enum,1,1,3.66
c-freeciv-add-parameter-to-function,0,0,0.37
c-genymobile-scrcpy-add-a-define,0,0,0.30
c-genymobile-scrcpy-add-a-define-,0,0,0.37
c-genymobile-scrcpy-add-a-define-2,0,0,0.24
c-genymobile-scrcpy-add-to-import-path-and-move-imports-around,6,4,0.21
c-genymobile-scrcpy-rename-and-add-a-define,0,0,0.18
c-genymobile-scrcpy-rename-defines,0,0,0.03
c-graph-algorithms-edge-addition-planarity-suite-real-change-all-across-the-file,70,42,389.11
c-htop-remove-function-declaration,0,0,1.39
c-intel-vpl-gpu-rt-whitespace-only-change,0,0,7.67
c-libtom-libtomcrypt-change-function-call,0,0,9.73
c-linux-small-bugfix,4,0,103.33
c-linux-small-change,0,0,26.97
c-linux-small-change-struct-to-char,2,2,131.62
c-microsoft-terminal-add-function,0,0,49.71
c-microsoft-terminal-add-two-includes,0,0,0.04
c-neovim-neovim-add-an-include,0,0,0.05
c-neovim-neovim-small-change,0,0,0.19
c-nginx-add-typedef,50,32,51.78
c-ondsel-development-ondselsolver-add-include,0,0,5.43
c-openssl-openssl-add-two-clang-comments,0,0,0.03
c-pixaranimationstudios-opensubdiv-change-license-comment,2,2,10.25
c-pocoproject-poco-replace-0-with-nullptr,0,0,35.72
c-postgres-real-logic-change,27,16,222.26
c-relianoid-nftlb-zcu-log-to-u-log,0,0,2.72
c-rust-lang-rust-add-two-consts,0,0,0.12
c-sched-ext-scx-many-many-moves-some-deletes-some-adds,17,17,11.90
c-tripwire-tripwire-open-source-add-single-item-to-list,0,0,6.91
cpp-add-const-correctness,0,0,0.89
cpp-add-memory-management,0,0,0.55
cpp-add-templates,0,0,1.50
cpp-arximboldi-lager-add-two-test-cases,0,0,9.95
cpp-bolero-murakami-sprout-copyright-comment-update,0,0,1.43
cpp-bolero-murakami-sprout-copyright-update,0,0,0.89
cpp-bolero-murakami-sprout-copyright-update-3,0,0,4.36
cpp-cgdb-cgdb-struct-to-pointer,110,73,25.17
cpp-fix-segfault,0,0,2.27
cpp-godot-small-bugfix,11,5,22.71
cpp-jpnurmi-znc-playback-adding-new-feature,0,0,32.71
cpp-ladybird-refactor-variables-if-changes,111,73,240.82
cpp-lancos-ponyprog-remove-a-few-lines,0,0,12.93
cpp-laydbird-change-function-signature,58,37,38.27
