language,size_bucket,repository,commit,path,loc_before,loc_after,loc_combined,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms
CSS,0-10,WordPress-WordPress.git,00a46b6006f530b5c5a6c681e13254cfa3c4701a,wp-admin/css/common.min.css,9,9,18,59927,60383,24159,24297,ok,6.308486
CSS,0-10,WordPress-WordPress.git,04092cb0ccb6c02ab58f76fc959ed2093befe59a,wp-includes/css/dist/block-library/style-rtl.min.css,1,1,2,131024,131253,39570,39611,ok,12.974698
CSS,0-10,WordPress-WordPress.git,0c97fcf5ed36d7054e1f9a4d38ea8443055c3e9e,wp-admin/css/nav-menus.min.css,2,2,4,14326,14300,5394,5381,ok,2.939425
CSS,0-10,WordPress-WordPress.git,13039a39477bc4e6fa7c41f1174c9be0e1e92427,wp-admin/css/site-health-rtl.min.css,2,2,4,5356,5376,1890,1894,ok,0.810188
CSS,0-10,WordPress-WordPress.git,24c0d0ca3d52be8f01d55af1e81ecb6fd22b7274,wp-admin/css/themes.min.css,2,2,4,34456,34570,13283,13334,ok,10.700002999999999
CSS,0-10,WordPress-WordPress.git,2555ba047b91ee800af44b67442a63515d7bd169,wp-admin/css/customize-controls.min.css,2,2,4,61986,62067,19890,19914,ok,5.208489
CSS,0-10,WordPress-WordPress.git,3795cb9d5fafbc9e84bc287e9a3597e98a7ff989,wp-admin/css/colors/coffee/colors-rtl.min.css,2,2,4,22898,21949,8399,8290,ok,2.120398
CSS,0-10,WordPress-WordPress.git,3795cb9d5fafbc9e84bc287e9a3597e98a7ff989,wp-admin/css/colors/modern/colors-rtl.min.css,2,2,4,22549,21600,8309,8200,ok,2.107348
CSS,0-10,WordPress-WordPress.git,3795cb9d5fafbc9e84bc287e9a3597e98a7ff989,wp-admin/css/colors/modern/colors.min.css,2,2,4,22548,21599,8309,8200,ok,2.0921999999999996
CSS,0-10,WordPress-WordPress.git,3a8c0ec19088e56032c6f9fe8c0e948f95aaf0f3,wp-includes/css/admin-bar.min.css,2,2,4,20421,20366,8151,8130,ok,2.061522
CSS,0-10,WordPress-WordPress.git,4a1eb234a680c0002e7b9156a7a8115a563a9160,wp-admin/css/customize-controls-rtl.min.css,2,2,4,62114,60431,19914,19421,ok,5.362760000000001
CSS,0-10,WordPress-WordPress.git,5444cf51c7913f5a59341649a3b82e545b693468,wp-admin/css/common.min.css,9,9,18,60740,60970,24376,24421,ok,11.676456
CSS,0-10,WordPress-WordPress.git,5444cf51c7913f5a59341649a3b82e545b693468,wp-admin/css/widgets-rtl.min.css,2,2,4,14508,14622,5302,5332,ok,1.538866
CSS,0-10,WordPress-WordPress.git,55440efe9005d16cc4f34e37f6c4eea11950b71e,wp-includes/blocks/navigation-overlay-close/style-rtl.min.css,1,1,2,469,464,135,134,ok,10.084937
CSS,0-10,WordPress-WordPress.git,57d8ba3332317888bcfe1df0511e2907c7237d1a,wp-admin/css/list-tables-rtl.min.css,2,2,4,36603,36668,14917,14931,ok,5.034455
CSS,0-10,WordPress-WordPress.git,6737291dcaf2792e238282f65974dc88aec73ff0,wp-admin/css/forms-rtl.min.css,2,2,4,28420,28484,10732,10751,ok,2.533516
CSS,0-10,WordPress-WordPress.git,685fb16a7fbb0f090f56f20c8fd3085e4bb14557,wp-includes/css/dist/block-library/style.min.css,1,1,2,130858,130965,39502,39547,ok,22.909658999999998
