language,size_bucket,repository,commit,path,old_path
CPP,0-10,Governikus-AusweisApp,68e416cc97afacf487aca0ccc4e892549d51bc0d,src/card/bluetooth/messages/BluetoothIDs.cpp,src/card/bluetooth/messages/BluetoothIDs.cpp
CPP,0-10,Governikus-AusweisApp,68e416cc97afacf487aca0ccc4e892549d51bc0d,src/core/paos/PaosType.cpp,src/core/paos/PaosType.cpp
CPP,0-10,Governikus-AusweisApp,8973008230a77f6bb7b11981ef394dcd0c16bf83,src/card/base/SmartCardDefinitions.cpp,src/card/base/SmartCardDefinitions.cpp
CPP,0-10,Governikus-AusweisApp,e119c95900989d84b62cd04fb5459a0ee2c62a9d,src/ui/json/messages/MsgTypes.cpp,src/ui/json/messages/MsgTypes.cpp
CPP,0-10,STEllAR-GROUP-hpx,b4b52ad5d54f52526fa6a6a9dd3af44282e864c2,libs/full/include/include/hpx/include/parallel_lexicographical_compare.hpp,libs/full/include/include/hpx/include/parallel_lexicographical_compare.hpp
CPP,0-10,STEllAR-GROUP-hpx,b4b52ad5d54f52526fa6a6a9dd3af44282e864c2,libs/full/include/include/hpx/include/parallel_uninitialized_value_construct.hpp,libs/full/include/include/hpx/include/parallel_uninitialized_value_construct.hpp
CPP,0-10,STEllAR-GROUP-hpx,ed5225b91a4f48cedecf61c4d1e6405bd269127a,libs/core/include_local/include/hpx/unwrap.hpp,libs/core/include_local/include/hpx/unwrap.hpp
CPP,0-10,brookiestein-portagecfg,0bf78370e7a5ad36a6ddc4d6798ad85ea38718e7,version.hpp,version.hpp
CPP,0-10,brookiestein-portagecfg,c21212319de2ae88cde9de351505ae443691981b,version.hpp,version.hpp
CPP,0-10,fbb-git-icmake,e206bb5a7292796da4d9c02e4fb77b17d4e1749f,icmake/modmap/modules/compile.cc,icmake/modmap/modules/compile.cc
CPP,0-10,fbb-git-yodl,ec9be1544a10f3e6fbd4bc87a4e6682ec1f507e4,yodl/verbinsert/out/numberedline.cc,yodl/verbinsert/out/numberedline.cc
CPP,0-10,gabmus-syndication-domination,7d01993d15a380a7daa30c44e4c460db83450f0f,src/feed_type.hpp,src/feed_type.hpp
CPP,0-10,graeme-hill-crossguid,13683c56e559f93d75f8640488aa3335f43443ed,test/Test.hpp,test.h
CPP,0-10,higan-emu-higan,a8d19935fac5a9ae2a0a2b00284af937da269d59,higan-ui/emulator/utility.cpp,higan-ui/emulator/utility.cpp
CPP,0-10,ooxi-violetland,207fa0c3d07a8900449f228ac9fa7c8c803b5576,src/system/utility/UidGenerator.cpp,src/system/utility/UidGenerator.cpp
CPP,0-10,p-ranav-indicators,276d476d4db88a5d1d2c30c4d301a1ca05b69cf3,include/indicators/color.hpp,include/indicators/color.hpp
CPP,0-10,p7zip-project-p7zip,24c904b8256be348419d7b4789f375582cb2f7e1,CPP/7zip/Common/MethodId.cpp,CPP/7zip/Common/MethodId.cpp
CPP,0-10,p7zip-project-p7zip,24c904b8256be348419d7b4789f375582cb2f7e1,CPP/7zip/UI/Console/StdAfx.cpp,CPP/7zip/UI/Console/StdAfx.cpp
CPP,0-10,p7zip-project-p7zip,24c904b8256be348419d7b4789f375582cb2f7e1,CPP/Common/XzCrc64Init.cpp,CPP/Common/XzCrc64Init.cpp
CPP,0-10,uowuo-abaddon,bc7c5f9ec3f1f19517a556a4c4f9e830ca191c32,src/misc/cairo.hpp,src/misc/cairo.hpp
CPP,10-30,STEllAR-GROUP-hpx,b4b52ad5d54f52526fa6a6a9dd3af44282e864c2,libs/full/include/include/hpx/include/parallel_swap_ranges.hpp,libs/full/include/include/hpx/include/parallel_swap_ranges.hpp
CPP,10-30,asmjit-asmjit,2ff454d41555d16d0759e4d0e95ade3c875b615e,src/asmjit/core/errorhandler.cpp,src/asmjit/core/errorhandler.cpp
CPP,10-30,bolero-MURAKAMI-Sprout,09181940789f135c292e9c336d8ceffca0b1bec3,sprout/predef/detail/comp_detected.hpp,sprout/predef/detail/comp_detected.hpp
CPP,10-30,bolero-MURAKAMI-Sprout,09181940789f135c292e9c336d8ceffca0b1bec3,sprout/type/void.hpp,sprout/type/void.hpp
CPP,10-30,bolero-MURAKAMI-Sprout,09181940789f135c292e9c336d8ceffca0b1bec3,sprout/type_traits/add_rvalue_reference.hpp,sprout/type_traits/add_rvalue_reference.hpp
CPP,10-30,bolero-MURAKAMI-Sprout,09181940789f135c292e9c336d8ceffca0b1bec3,sprout/weed/attr_cnv/results.hpp,sprout/weed/attr_cnv/results.hpp
CPP,10-30,bolero-MURAKAMI-Sprout,09181940789f135c292e9c336d8ceffca0b1bec3,sprout/weed/parser/string.hpp,sprout/weed/parser/string.hpp
CPP,10-30,bolero-MURAKAMI-Sprout,26299dad18a7e16fcb4873ce7f9f26a3d2ac1925,sprout/bit/setbit.hpp,sprout/bit/setbit.hpp
CPP,10-30,bolero-MURAKAMI-Sprout,26299dad18a7e16fcb4873ce7f9f26a3d2ac1925,sprout/type_traits/sign_modification.hpp,sprout/type_traits/sign_modification.hpp
CPP,10-30,bolero-MURAKAMI-Sprout,ea06f925655602a39750c2fd4fc88ecb98c9860f,sprout/algorithm/string/case_conv.hpp,sprout/algorithm/string/case_conv.hpp
CPP,10-30,bolero-MURAKAMI-Sprout,ea06f925655602a39750c2fd4fc88ecb98c9860f,sprout/compost/effects.hpp,sprout/compost/effects.hpp
CPP,10-30,bolero-MURAKAMI-Sprout,ea06f925655602a39750c2fd4fc88ecb98c9860f,sprout/range/algorithm/string/to_upper_copy.hpp,sprout/range/algorithm/string/to_upper_copy.hpp
CPP,10-30,eclipse-iceoryx-iceoryx,d14297c0fedfc35ef48c17c02c8f1ddd74889bae,iceoryx_platform/freertos/include/iceoryx_platform/stdio.hpp,iceoryx_platform/freertos/include/iceoryx_platform/stdio.hpp
CPP,10-30,fktn-k-fkYAML,17ca4c05afb24142f42600e13d6ff4ead29d0610,test/unit_test/main.cpp,test/unit_test/main.cpp
CPP,10-30,fktn-k-fkYAML,470a3dea67e092b7d4abf8e090c2b9a417325b0a,test/unit_test/main.cpp,test/unit_test/main.cpp
CPP,10-30,fktn-k-fkYAML,8633c19deb1e1a7f256fe24e7d1b8e5b631246e8,examples/apis/basic_node/is_mapping.cpp,docs/examples/ex_basic_node_is_mapping.cpp
CPP,10-30,fulhax-ncpamixer,711de9875cd5550655f26b6133c447ca82a44174,src/ui/tabs/output.cpp,src/ui/tabs/output.cpp
CPP,10-30,serge-sans-paille-pythran,83eb4cbb62d46692a4a26d1e260b3f4990b3b00a,pythran/pythonic/include/numpy/atleast_1d.hpp,pythran/pythonic/include/numpy/atleast_1d.hpp
CPP,10-30,unittest-cpp-unittest-cpp,b47b4f7e8535346e7b3202df562849ac597b2523,UnitTest++/TimeConstraint.cpp,UnitTest++/TimeConstraint.cpp
CPP,10-30,zerotier-ZeroTierOne,342fa9d33faddca817757835106b47f765225692,osdep/MacDNSHelper.hpp,osdep/MacDNSHelper.hpp
CPP,100-300,Governikus-AusweisApp,52e0547f544da99019edfdb1bdd99a78393bf087,src/ifd/base/IfdClientImpl.cpp,src/ifd/base/IfdClientImpl.cpp
CPP,100-300,Governikus-AusweisApp,8973008230a77f6bb7b11981ef394dcd0c16bf83,src/workflows/base/TcToken.cpp,src/workflows/base/TcToken.cpp
CPP,100-300,LibtraceTeam-libprotoident,060243123a774d44f88ee821d5993796d1f16fb1,lib/tcp/lpi_mongo.cc,lib/tcp/lpi_mongo.cc
CPP,100-300,MaskRay-ccls,48f1a006b78944a944cdc0c98fb4b447e19fce7d,src/utils.cc,src/utils.cc
CPP,100-300,OpenMW-osg,b9edbac35fac7f33815f4c0e6feaa366375ed309,src/osgParticle/ConnectedParticleSystem.cpp,src/osgParticle/ConnectedParticleSystem.cpp
CPP,100-300,ProtonMail-proton-bridge,39b31abef8ac23eafe4dca7a2657bebf8153ca75,internal/frontend/bridge-gui/bridge-gui-tester/UserTable.cpp,internal/frontend/bridge-gui/bridge-gui-tester/UserTable.cpp
CPP,100-300,ROCm-Tensile,dad123611ad42972bff0f0cf943fdd070d0530e0,Tensile/Source/lib/include/Tensile/MapLibrary.hpp,Tensile/Source/lib/include/Tensile/MapLibrary.hpp
CPP,100-300,ROCm-hipBLAS,37f44213e12d0dbf5d08b82212a1f127efd25289,clients/include/blas1/testing_rot.hpp,clients/include/blas1/testing_rot.hpp
CPP,100-300,ROCm-rocPRIM,678701d13b9c1464d59843ead73816acb1716008,benchmark/benchmark_device_transform.cpp,benchmark/benchmark_device_transform.cpp
