language,size_bucket,repository,commit,path,old_path
CSharp,0-10,OpenTabletDriver-OpenTabletDriver,5a76bb2dcd8587dc3cfafc472b7c3e29957f7e8f,OpenTabletDriver.Native.Linux/Timers/TimerFlag.cs,OpenTabletDriver.Native.Linux/Timers/TimerFlag.cs
CSharp,0-10,OpenTabletDriver-OpenTabletDriver,f54f9e524933235a6a0afa514e9c619b7afa6705,OpenTabletDriver.Native.MacOS/Generic/CGEventTapLocation.cs,OpenTabletDriver.Native.MacOS/Generic/CGEventTapLocation.cs
CSharp,0-10,antlr-antlr4,b91cecf6d06600433a12a12271a7985d2845d7aa,runtime/CSharp/src/Properties/AssemblyInfo.cs,runtime/CSharp/src/Properties/AssemblyInfo.cs
CSharp,0-10,emacs-csharp-csharp-mode,21c4b19d4875dc201e80b11143380a8d86c8852d,test-files/fontification-test.cs,test-files/fontification-test.cs
CSharp,0-10,yevhen-Nake,3cf856ebf65d045dd39391ae8674a012e0862244,Source/Nake/Substitutions.cs,Source/Nake/Substitutions.cs
CSharp,0-10,yevhen-Nake,e2219dd9db9627a0a007a57e76c5b350ad2593ab,Source/AssemblyVersion.cs,Source/AssemblyVersion.cs
CSharp,0-10,yevhen-Nake,e2219dd9db9627a0a007a57e76c5b350ad2593ab,Source/Nake/Properties/AssemblyInfo.cs,Source/Nake/Properties/AssemblyInfo.cs
CSharp,0-10,yevhen-Nake,e2219dd9db9627a0a007a57e76c5b350ad2593ab,Source/Utility/Properties/AssemblyInfo.cs,Source/Utility/Properties/AssemblyInfo.cs
CSharp,10-30,GLibSharp-GtkSharp,64b436dbde99fee8326a6ab0fc48a9c6eaba6988,Source/gtk/TextAttributes.cs,Source/gtk/TextAttributes.cs
CSharp,10-30,GLibSharp-GtkSharp,763205044cb4f01f1287811c25fd4c887496fea6,Source/gio/GioGlobal.cs,Source/gio/GioGlobal.cs
CSharp,10-30,GLibSharp-GtkSharp,90976901e810bf79d6202d2b6ff3edeb80b0e803,Source/gdk/generated/Gdk_DevicePadFeature.cs,Source/gdk/generated/Gdk_DevicePadFeature.cs
CSharp,10-30,GLibSharp-GtkSharp,90976901e810bf79d6202d2b6ff3edeb80b0e803,Source/gdk/generated/Gdk_GrabOwnership.cs,Source/gdk/generated/Gdk_GrabOwnership.cs
CSharp,10-30,GLibSharp-GtkSharp,90976901e810bf79d6202d2b6ff3edeb80b0e803,Source/gtk/generated/Gtk_ReliefStyle.cs,Source/gtk/generated/Gtk_ReliefStyle.cs
CSharp,10-30,GLibSharp-GtkSharp,90976901e810bf79d6202d2b6ff3edeb80b0e803,Source/gtk/generated/Gtk_ScrollablePolicy.cs,Source/gtk/generated/Gtk_ScrollablePolicy.cs
