language,size_bucket,repository,commit,path,old_path
CSS,0-10,DanRohde-webdavcgi,a75c7aebec86004b32a7155071c9f1c854f99c45,htdocs/views/simple/contrib/jquery.fancybox.css,htdocs/views/simple/contrib/jquery.fancybox.css
CSS,0-10,FortAwesome-Font-Awesome,41cfe644047fc3a4c49c22acc721cacc3e1021fe,js-packages/@fortawesome/fontawesome-free/css/all.min.css,js-packages/@fortawesome/fontawesome-free/css/all.min.css
CSS,0-10,FortAwesome-Font-Awesome,41cfe644047fc3a4c49c22acc721cacc3e1021fe,js-packages/@fortawesome/fontawesome-free/css/svg.min.css,js-packages/@fortawesome/fontawesome-free/css/svg.min.css
CSS,0-10,FortAwesome-Font-Awesome,b476ed9aeef6ff16accd275eca515d4e08c3e724,js-packages/@fortawesome/fontawesome-free/css/regular.min.css,js-packages/@fortawesome/fontawesome-free/css/regular.min.css
CSS,0-10,FortAwesome-Font-Awesome,b476ed9aeef6ff16accd275eca515d4e08c3e724,js-packages/@fortawesome/fontawesome-free/css/v5-font-face.min.css,js-packages/@fortawesome/fontawesome-free/css/v5-font-face.min.css
CSS,0-10,PRATAP-KUMAR-Control_Blur_Effect_On_Lock_Screen,5e03c3bfbc0d52009c74a08c5c02ffdcb044eb1b,stylesheet.css,stylesheet.css
CSS,0-10,PRATAP-KUMAR-Control_Blur_Effect_On_Lock_Screen,9f91392e818a6f4073ec0575f0b63b46d7889573,stylesheet.css,stylesheet.css
CSS,0-10,abs-lang-abs,0dfea659f427aa373950ea3b27b3d8893f7da739,docs/src/.vuepress/dist/assets/css/0.styles.05bbccd7.css,docs/src/.vuepress/dist/assets/css/0.styles.49d5491c.css
CSS,0-10,abs-lang-abs,5ebc6955461899807fc36e27231427648bd32292,docs/src/.vuepress/dist/assets/css/0.styles.05bbccd7.css,docs/src/.vuepress/dist/assets/css/0.styles.af163b1b.css
CSS,0-10,adapta-project-adapta-gtk-theme,59e461b52902691264c1a41c7469b04fa8a8331a,shell/sass/gnome-shell/3.24/gnome-shell.scss,shell/sass/gnome-shell/3.24/gnome-shell.scss
CSS,0-10,adapta-project-adapta-gtk-theme,59e461b52902691264c1a41c7469b04fa8a8331a,shell/sass/gnome-shell/3.26/gnome-shell-dark.scss,shell/sass/gnome-shell/3.26/gnome-shell-dark.scss
CSS,0-10,adapta-project-adapta-gtk-theme,59e461b52902691264c1a41c7469b04fa8a8331a,shell/sass/gnome-shell/3.26/gnome-shell-eta.scss,shell/sass/gnome-shell/3.26/gnome-shell-eta.scss
CSS,0-10,cvxopt-cvxopt,d5a21cf1da62e4269176384b1ff62edac5579f94,doc/html/_static/css/theme.css,doc/html/_static/css/theme.css
CSS,0-10,executablebooks-sphinx-panels,19d4c592a86cf34175c0cf41f9e4695a90346ad1,sphinx_panels/scss/panels/index.scss,sphinx_panels/scss/panels/index.scss
CSS,0-10,hugolabe-Wike,abf38ee886a7edb29827662a3e350347a5075d4e,data/styles/view.min.css,data/styles/view.min.css
CSS,0-10,lassekongo83-zuki-themes,1959a7467fee90dee7645235c5a385067a02828d,gnome-shell/src/gnome-shell.scss,gnome-shell/src/gnome-shell.scss
CSS,0-10,leethomason-tinyxml2,26985b5785352403dcdf2c2bf2dc6dd9f9ab0d96,docs/tabs.css,docs/tabs.css
CSS,0-10,owntone-owntone-server,443fb684871e005a7e442a08cc4d610208abbe6c,htdocs/assets/index.css,htdocs/assets/index.css
CSS,0-10,rektdeckard-departure-mono,01ed44a15859bd93fddc3af1ae326c5ab96f7b47,src/components/editor.css,src/components/editor.css
CSS,0-10,rektdeckard-departure-mono,e1412389390cf1889b9d6bf591d093e029cf8652,src/components/printout.css,src/components/printout.css
CSS,10-30,FortAwesome-Font-Awesome,b476ed9aeef6ff16accd275eca515d4e08c3e724,js-packages/@fortawesome/fontawesome-free/css/v4-font-face.css,js-packages/@fortawesome/fontawesome-free/css/v4-font-face.css
CSS,10-30,adapta-project-adapta-gtk-theme,42b3ae1afe3a964c77b685df08e05e00ccd32514,gtk/sass/3.22/gtk-mixed-eta.scss,gtk/sass/3.22/gtk-mixed-eta.scss
