language,size_bucket,repository,commit,path,old_path
HTML,0-10,LadybirdBrowser-ladybird.git,7fed3f98011dfffbc8ed7dd014bac57837789db5,Tests/LibWeb/Ref/expected/body-background-image-rendering-propagation-ref.html,Tests/LibWeb/Ref/expected/body-background-image-rendering-propagation-ref.html
HTML,0-10,LadybirdBrowser-ladybird.git,7fed3f98011dfffbc8ed7dd014bac57837789db5,Tests/LibWeb/Ref/input/background-size-near-zero-svg.html,Tests/LibWeb/Ref/input/background-size-near-zero-svg.html
HTML,0-10,LadybirdBrowser-ladybird.git,d2528dd5ce8510cabc6b160ffedb054e803a84d4,Tests/LibWeb/Screenshot/input/alt-frame.html,Tests/LibWeb/Screenshot/input/alt-frame.html
HTML,0-10,LadybirdBrowser-ladybird.git,d2528dd5ce8510cabc6b160ffedb054e803a84d4,Tests/LibWeb/Screenshot/input/details-open-then-closed.html,Tests/LibWeb/Screenshot/input/details-open-then-closed.html
HTML,0-10,LadybirdBrowser-ladybird.git,d2528dd5ce8510cabc6b160ffedb054e803a84d4,Tests/LibWeb/Screenshot/input/image-unpremultiplied-data.html,Tests/LibWeb/Screenshot/input/image-unpremultiplied-data.html
HTML,0-10,django-django.git,4187da258fe212d494cb578a0bc2b52c4979ab95,django/contrib/admin/templates/admin/widgets/split_datetime.html,django/contrib/admin/templates/admin/widgets/split_datetime.html
HTML,0-10,eslint-eslint.git,129882d2fdb4e7f597ed78eeadd86377f3d6b078,docs/src/pages/component-library.html,docs/src/pages/component-library.html
HTML,0-10,eslint-eslint.git,418717f1150bb794c40014eca60c9116de2b0488,docs/src/_includes/components/rule-list.macro.html,docs/src/_includes/components/rule-list.macro.html
HTML,0-10,fatedier-frp.git,04560c18969b5fbeebcaa455d9574f45ce0566f6,assets/static/index.html,assets/static/index.html
HTML,0-10,fatedier-frp.git,0b0d5c982e1c4a73a6a0f238b55d375625383d30,assets/static/index.html,assets/static/index.html
HTML,0-10,fatedier-frp.git,2481dfab64245a8699b70606f6270226cdf6081b,assets/frpc/static/index.html,assets/frpc/static/index.html
HTML,0-10,fatedier-frp.git,2481dfab64245a8699b70606f6270226cdf6081b,assets/frps/static/index.html,assets/frps/static/index.html
HTML,0-10,fatedier-frp.git,2ffae3489bcd3af83aaf34ffea7393f35acb2c0d,assets/static/index.html,assets/static/index.html
HTML,0-10,fatedier-frp.git,3d9499f55459f5aebecb96b8b5f93e40fc230d26,assets/frps/static/index.html,assets/frps/static/index.html
HTML,0-10,fatedier-frp.git,4d4a738aa93a5aac5d5b88e4bf5cd6b0e40b6f8b,assets/static/index.html,assets/static/index.html
HTML,0-10,fatedier-frp.git,630dad50ed1ad05fd0e96651fca54d3cdd10edb7,assets/frpc/static/index.html,assets/frpc/static/index.html
HTML,0-10,fatedier-frp.git,630dad50ed1ad05fd0e96651fca54d3cdd10edb7,assets/frps/static/index.html,assets/frps/static/index.html
HTML,0-10,fatedier-frp.git,6eb8146334aed377066fb554f440a2c45e56fcc8,assets/static/index.html,assets/static/index.html
HTML,0-10,fatedier-frp.git,96d7e2da6faf81275bf7dceba97413272ad0fbce,assets/frps/static/index.html,assets/static/index.html
HTML,0-10,fatedier-frp.git,9a849a29e94e969d99b41c8f3bb70c89ea46fdd3,assets/frps/static/index.html,assets/frps/static/index.html
HTML,0-10,fatedier-frp.git,b250342e27d0148592dc45f55111fa95922cb9c6,assets/static/index.html,assets/static/index.html
