language,size_bucket,repository,commit,path,old_path
LUA,0-10,awesomeWM-awesome.git,4bd90f0f35d0f93235f0bcf207ca16baa174f8a1,lib/gears/sort/init.lua,lib/gears/sort/init.lua
LUA,0-10,awesomeWM-awesome.git,afe58d6cd22518f6009c9e316672b9663c5c9cce,lib/ruled/init.lua,lib/ruled/init.lua
LUA,10-30,awesomeWM-awesome.git,0afb719f8294604a58eb2f2df647fc536286a182,tests/examples/wibox/widget/progressbar/text.lua,tests/examples/wibox/widget/progressbar/text.lua
LUA,10-30,awesomeWM-awesome.git,0d0647848b5d05b215141a180a775651f623b3e7,tests/examples/wibox/widget/defaults/graph.lua,tests/examples/wibox/widget/defaults/graph.lua
LUA,10-30,awesomeWM-awesome.git,13cd20780e95f85f59906f6b57b8779abe2dfcd6,lib/awful/dbus.lua,lib/awful/dbus.lua
LUA,10-30,awesomeWM-awesome.git,1a2037758b8ce47dabc475dd73c05f73ee4c4bba,tests/examples/awful/tag/module_default_layouts.lua,tests/examples/awful/tag/module_default_layouts.lua
LUA,10-30,awesomeWM-awesome.git,1a2037758b8ce47dabc475dd73c05f73ee4c4bba,tests/examples/awful/tag/request_default_layouts.lua,tests/examples/awful/tag/request_default_layouts.lua
LUA,10-30,awesomeWM-awesome.git,20ab3a5fb636eb403357523fdd823aaedd757cc8,tests/examples/wibox/awidget/defaults/button.lua,tests/examples/wibox/awidget/defaults/button.lua
LUA,10-30,awesomeWM-awesome.git,3a542219f3bf129546ae79eb20e384ea28fa9798,spec/preload.lua,spec/preload.lua
LUA,10-30,awesomeWM-awesome.git,4bd90f0f35d0f93235f0bcf207ca16baa174f8a1,lib/wibox/widget/background.lua,lib/wibox/widget/background.lua
LUA,10-30,awesomeWM-awesome.git,4e36cf862ff6128bf011c80968ab4ac7927794b1,tests/examples/text/gears/string/endswith.lua,tests/examples/text/gears/string/endswith.lua
LUA,10-30,awesomeWM-awesome.git,4e36cf862ff6128bf011c80968ab4ac7927794b1,tests/examples/text/gears/string/startswith.lua,tests/examples/text/gears/string/startswith.lua
LUA,10-30,awesomeWM-awesome.git,738e2e046745e8ae6db23bf5c9840c3892fe2656,lib/wibox/container/init.lua,lib/wibox/container/init.lua
LUA,10-30,awesomeWM-awesome.git,86d1b1c22ca584640043fc50187ff59a76e488a1,tests/examples/awful/placement/center_vertical.lua,tests/examples/awful/placement/center_vertical.lua
LUA,10-30,awesomeWM-awesome.git,86d1b1c22ca584640043fc50187ff59a76e488a1,tests/examples/awful/placement/maximize_horizontally.lua,tests/examples/awful/placement/maximize_horizontally.lua
LUA,10-30,awesomeWM-awesome.git,86d1b1c22ca584640043fc50187ff59a76e488a1,tests/examples/awful/placement/maximize_vertically.lua,tests/examples/awful/placement/maximize_vertically.lua
LUA,10-30,awesomeWM-awesome.git,88c65a71ddd9ef5b6c18cef576580a4bf7c691dd,tests/examples/wibox/container/defaults/background.lua,tests/examples/wibox/container/defaults/background.lua
LUA,10-30,awesomeWM-awesome.git,88c65a71ddd9ef5b6c18cef576580a4bf7c691dd,tests/examples/wibox/container/defaults/mirror.lua,tests/examples/wibox/container/defaults/mirror.lua
LUA,10-30,awesomeWM-awesome.git,88c65a71ddd9ef5b6c18cef576580a4bf7c691dd,tests/examples/wibox/container/defaults/only_on_screen.lua,tests/examples/wibox/container/defaults/only_on_screen.lua
LUA,10-30,awesomeWM-awesome.git,88c65a71ddd9ef5b6c18cef576580a4bf7c691dd,tests/examples/wibox/container/defaults/place.lua,tests/examples/wibox/container/defaults/place.lua
LUA,10-30,awesomeWM-awesome.git,88c65a71ddd9ef5b6c18cef576580a4bf7c691dd,tests/examples/wibox/container/defaults/rotate.lua,tests/examples/wibox/container/defaults/rotate.lua
LUA,10-30,awesomeWM-awesome.git,88c65a71ddd9ef5b6c18cef576580a4bf7c691dd,tests/examples/wibox/container/defaults/scroll.lua,tests/examples/wibox/container/defaults/scroll.lua
LUA,10-30,awesomeWM-awesome.git,88c65a71ddd9ef5b6c18cef576580a4bf7c691dd,tests/examples/wibox/container/defaults/tile.lua,tests/examples/wibox/container/defaults/tile.lua
LUA,10-30,awesomeWM-awesome.git,88c65a71ddd9ef5b6c18cef576580a4bf7c691dd,tests/examples/wibox/container/radialprogressbar/border_color.lua,tests/examples/wibox/container/radialprogressbar/border_color.lua
LUA,10-30,awesomeWM-awesome.git,88c65a71ddd9ef5b6c18cef576580a4bf7c691dd,tests/examples/wibox/container/radialprogressbar/color.lua,tests/examples/wibox/container/radialprogressbar/color.lua
