language,size_bucket,repository,commit,path,old_path
Python,0-10,Salamek-huawei-lte-api,5df88e2c18ca55e10b1236283e7798d1bcf476be,huawei_lte_api/api/TimeRule.py,huawei_lte_api/api/TimeRule.py
Python,0-10,chantera-python-lsp-isort,8e8612de49c1f0bc1e6f9e6fe3b98e1229cd3b80,pylsp_isort/__init__.py,pylsp_isort/__init__.py
Python,0-10,davidvilla-python-doublex,51ea6e985495779231de72d7dadbe1529a9259a6,version.py,version.py
Python,0-10,eclipse-paho.mqtt.python,faf62e0b802cafd34643299df9650974c64b8745,tests/lib/clients/01-unpwd-set.py,tests/lib/clients/01-unpwd-set.py
Python,0-10,getpatchwork-git-pw,6b85952fdc887543f15acc493be59e599778b7bb,git_pw/__init__.py,git_pw/__init__.py
Python,0-10,lxgr-linux-pokete,391e6588d4ae9176d677d42ef994447a79ae4964,src/pokete/base/ui/elements/__init__.py,src/pokete/base/ui/elements/__init__.py
Python,0-10,mechatroner-rainbow_csv,7453a3f9679f0c753ec9d77f9ea8588778f35aeb,rbql_core/rbql/_version.py,rbql_core/rbql/_version.py
Python,0-10,numerodix-ansicolor,7bc8cdd95507533a4a7955e086a261372c2dec93,docs/snippets/getting_started_3.py,docs/snippets/getting_started_3.py
Python,0-10,plotly-plotly.py,13df0c5ec835b148d05be9e2895a9fcd50b44667,plotly/graph_objs/choroplethmapbox/hoverlabel/__init__.py,plotly/graph_objs/choroplethmapbox/hoverlabel/__init__.py
Python,0-10,plotly-plotly.py,13df0c5ec835b148d05be9e2895a9fcd50b44667,plotly/graph_objs/cone/legendgrouptitle/__init__.py,plotly/graph_objs/cone/legendgrouptitle/__init__.py
Python,0-10,plotly-plotly.py,13df0c5ec835b148d05be9e2895a9fcd50b44667,plotly/validators/cone/legendgrouptitle/__init__.py,plotly/validators/cone/legendgrouptitle/__init__.py
Python,0-10,plotly-plotly.py,13df0c5ec835b148d05be9e2895a9fcd50b44667,plotly/validators/histogram2d/colorbar/title/__init__.py,plotly/validators/histogram2d/colorbar/title/__init__.py
Python,0-10,plotly-plotly.py,3cb93037ff81940f6e9fc0284729e18d06b863fe,plotly/graph_objs/scattergeo/hoverlabel/__init__.py,plotly/graph_objs/scattergeo/hoverlabel/__init__.py
