language,size_bucket,repository,commit,path,old_path
R,0-10,mtytel-helm,0454059b9508dc81815048d5ce402e996f09f9fc,JUCE/modules/juce_audio_plugin_client/juce_audio_plugin_client_RTAS.r,JUCE/modules/juce_audio_plugin_client/juce_audio_plugin_client_RTAS.r
R,10-30,gtownsend-icon,b3fca8e5d9c9bc34cd211bd4f6999fdf7b602014,src/runtime/rwinsys.r,src/runtime/rwinsys.r
R,10-30,oracle-dtrace-utils,d17f79f640453be8e7a2ebf033c20fafee338617,test/unittest/usdt/tst.stapsdt-notes-isenabled.r,test/unittest/usdt/tst.stapsdt-notes-isenabled.r
R,100-300,gtownsend-icon,27112b991499c513f8d52b59ea71e71687521579,src/runtime/fload.r,src/runtime/fload.r
R,100-300,gtownsend-icon,b3fca8e5d9c9bc34cd211bd4f6999fdf7b602014,src/runtime/rcoexpr.r,src/runtime/rcoexpr.r
R,100-300,gtownsend-icon,d5c1ac35fdc3406ef9eae5864b383fd3127c3e84,src/runtime/imain.r,src/runtime/imain.r
R,100-300,gtownsend-icon,d5c1ac35fdc3406ef9eae5864b383fd3127c3e84,src/runtime/invoke.r,src/runtime/invoke.r
R,100-300,gtownsend-icon,d5c1ac35fdc3406ef9eae5864b383fd3127c3e84,src/runtime/rcoexpr.r,src/runtime/rcoexpr.r
R,100-300,gtownsend-icon,d5c1ac35fdc3406ef9eae5864b383fd3127c3e84,src/runtime/rsys.r,src/runtime/rsys.r
R,100-300,hroptatyr-dateutils,ef9e87072b5829358b091b22df4278177dbaab69,data/snarf-ummulqura.R,data/snarf-ummulqura.R
R,100-300,openlink-iODBC,2d9f3ddcf9bde377df23bf565353d61449975183,mac/iODBCcfmbridge/iodbccfm.r,mac/iODBCcfmbridge/iodbccfm.r
R,100-300,openlink-iODBC,32c16fc1f62405b13daba4482859d8fff0a48eb3,mac/iODBCcfmbridge/iodbccfm.r,mac/iODBCcfmbridge/iodbccfm.r
R,100-300,openlink-iODBC,4a74e3a3a4715d0a102588c09d866c81363e9745,mac/iODBCcfmbridge/iodbccfm.r,mac/iODBCcfmbridge/iodbccfm.r
R,100-300,openlink-iODBC,789a2df6b715edf73a145752e40b73e92a7df9fe,mac/iODBCcfmbridge/iodbccfm.r,mac/iODBCcfmbridge/iodbccfm.r
R,100-300,openlink-iODBC,a609da1e877d712ffd35d7f038f07ff64317036d,mac/iODBCcfmbridge/iodbccfm.r,mac/iODBCcfmbridge/iodbccfm.r
R,100-300,openlink-iODBC,bc100e72f535fe72a0508a96596dd9a46fe4984b,mac/iODBCcfmbridge/iodbccfm.r,mac/iODBCcfmbridge/iodbccfm.r
R,100-300,openlink-iODBC,ea72910fe933c6b0a330f251825dc4643faf7fc5,mac/iODBCcfmbridge/iodbccfm.r,mac/iODBCcfmbridge/iodbccfm.r
R,100-300,postgres-plr-plr,7e3fff53413b8ca0d634ea10999928c26c7adaba,msvc.diff.R,msvc.diff.R
R,100-300,postgres-plr-plr,dab084b270cbd6fd7fe514317936794719269b1d,msvc.diff.R,msvc.diff.R
R,100-300,ptpd-ptpd,97de7c48d1404dbb558efd6d621d7ccdf657e73d,tools/ntplib/R/ntplib.R,tools/ntplib/R/ntplib.R
R,100-300,ptpd-ptpd,99459fd3fb2ea060b32bf028b8d4577ed0dec07a,tools/ntplib/R/ntplib.R,tools/ntplib/R/ntplib.R
R,100-300,ptpd-ptpd,e2fcb6679025ce9802d1d4eb825edbff20289618,tools/ntplib/R/ntplib.R,tools/ntplib/R/ntplib.R
R,100-300,ptpd-ptpd,f63a7ad885b601e78e6f2b1abacbc0555b6d0ff6,tools/ntplib/R/ntplib.R,tools/ntplib/R/ntplib.R
