language,size_bucket,repository,commit,path,old_path
ShellScript,0-10,GyulyVGC-sniffnet.git,230b7b9d736a1c301a7de6fe075b7910aa6abd5f,resources/packaging/macos/wrapper.sh,resources/packaging/macos/wrapper.sh
ShellScript,0-10,GyulyVGC-sniffnet.git,b4d03a84b24191a3ffe7e46004702971053e8ef1,resources/packaging/macos/wrapper.sh,resources/packaging/macos/wrapper.sh
ShellScript,0-10,GyulyVGC-sniffnet.git,c0da1fa06f294bbc4b1e4e9fded665b829790ed6,resources/packaging/macos/wrapper.sh,resources/packaging/macos/wrapper.sh
ShellScript,0-10,OpenHands-OpenHands.git,0ad411e16209e36276ab50631c6cb36420ed82c3,containers/app/config.sh,containers/app/config.sh
ShellScript,0-10,OpenHands-OpenHands.git,0ad411e16209e36276ab50631c6cb36420ed82c3,containers/runtime/config.sh,containers/runtime/config.sh
ShellScript,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,benchmark/PaddleOCR_DBNet/eval.sh,benchmark/PaddleOCR_DBNet/eval.sh
ShellScript,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,benchmark/PaddleOCR_DBNet/multi_gpu_train.sh,benchmark/PaddleOCR_DBNet/multi_gpu_train.sh
ShellScript,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,benchmark/PaddleOCR_DBNet/predict.sh,benchmark/PaddleOCR_DBNet/predict.sh
ShellScript,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,benchmark/PaddleOCR_DBNet/singlel_gpu_train.sh,benchmark/PaddleOCR_DBNet/singlel_gpu_train.sh
ShellScript,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,train.sh,train.sh
ShellScript,0-10,PaddlePaddle-PaddleOCR.git,2cf629dbe6c06e6e2ac83079027f46915cd0dd43,train.sh,train.sh
ShellScript,0-10,PaddlePaddle-PaddleOCR.git,3a350d1e470054575e6f8e70a33211cb2a3f76fd,deploy/paddleocr_vl_docker/hps/prepare.sh,deploy/paddleocr_vl_docker/hps/prepare.sh
ShellScript,0-10,ansible-ansible.git,0183e386dff5cd514171b024b379dad080b68616,test/integration/targets/command_shell/files/create_afile.sh,test/integration/targets/command_shell/files/create_afile.sh
ShellScript,0-10,ansible-ansible.git,0183e386dff5cd514171b024b379dad080b68616,test/integration/targets/command_shell/files/remove_afile.sh,test/integration/targets/command_shell/files/remove_afile.sh
ShellScript,0-10,ansible-ansible.git,0183e386dff5cd514171b024b379dad080b68616,test/integration/targets/command_shell/files/test.sh,test/integration/targets/command_shell/files/test.sh
ShellScript,0-10,ansible-ansible.git,0183e386dff5cd514171b024b379dad080b68616,test/integration/targets/script/files/create_afile.sh,test/integration/targets/script/files/create_afile.sh
ShellScript,0-10,ansible-ansible.git,0183e386dff5cd514171b024b379dad080b68616,test/integration/targets/script/files/remove_afile.sh,test/integration/targets/script/files/remove_afile.sh
ShellScript,0-10,ansible-ansible.git,0183e386dff5cd514171b024b379dad080b68616,test/integration/targets/script/files/space path/test.sh,test/integration/targets/script/files/space path/test.sh
ShellScript,0-10,ansible-ansible.git,0183e386dff5cd514171b024b379dad080b68616,test/integration/targets/script/files/test.sh,test/integration/targets/script/files/test.sh
ShellScript,0-10,ansible-ansible.git,0183e386dff5cd514171b024b379dad080b68616,test/integration/targets/script/files/test_with_args.sh,test/integration/targets/script/files/test_with_args.sh
ShellScript,0-10,ansible-ansible.git,0183e386dff5cd514171b024b379dad080b68616,test/integration/targets/tasks/runme.sh,test/integration/targets/tasks/runme.sh
ShellScript,0-10,ansible-ansible.git,35750ed3218e7bce68b21f473cecb0a3b9d60321,test/integration/targets/dataloader/runme.sh,test/integration/targets/dataloader/runme.sh
ShellScript,0-10,ansible-ansible.git,35750ed3218e7bce68b21f473cecb0a3b9d60321,test/integration/targets/inventory_generator/runme.sh,test/integration/targets/inventory_script/runme.sh
ShellScript,0-10,ansible-ansible.git,35750ed3218e7bce68b21f473cecb0a3b9d60321,test/integration/targets/inventory_ini/runme.sh,test/integration/targets/inventory_ini/runme.sh
ShellScript,0-10,ansible-ansible.git,35750ed3218e7bce68b21f473cecb0a3b9d60321,test/integration/targets/module_tracebacks/runme.sh,test/integration/targets/module_tracebacks/runme.sh
ShellScript,0-10,ansible-ansible.git,35750ed3218e7bce68b21f473cecb0a3b9d60321,test/integration/targets/template_jinja2_non_native/runme.sh,test/integration/targets/template_jinja2_non_native/runme.sh
ShellScript,0-10,ansible-ansible.git,9ef623a5175118bd0e717c7ab5405e305d653ca6,test/integration/targets/inventory_yaml/runme.sh,test/integration/targets/inventory_yaml/runme.sh
ShellScript,0-10,ansible-ansible.git,a3ee846a646e8f3e15437f40e3c77bfcb02e0915,test/integration/targets/debugger/runme.sh,test/integration/targets/debugger/runme.sh
ShellScript,0-10,freeciv-freeciv.git,9330477a15e0b4f177bb91c1c85a2fa9d6597496,platforms/windows/installer_msys2/create-freeciv-sdl2-nsi.sh,platforms/windows/installer_msys2/create-freeciv-sdl2-nsi.sh
ShellScript,0-10,gohugoio-hugo.git,1b4514e0204f823251af347e6838a8333076737e,internal/warpc/buildjs.sh,internal/warpc/build.sh
ShellScript,0-10,gohugoio-hugo.git,555dfa207a6a631e4c8193cb6be82f54c750a8dc,internal/warpc/build.sh,internal/warpc/build.sh
ShellScript,0-10,gohugoio-hugo.git,a88b488181279befd50e1d127f9f67604f2f9854,watchtestscripts.sh,watchtestscripts.sh
ShellScript,0-10,jesseduffield-lazygit.git,47b1ededf347d5aa6b733d7727b85f88faabd23b,scripts/golangci-lint-shim.sh,scripts/golangci-lint-shim.sh
ShellScript,0-10,microsoft-playwright.git,019900fd24d8a9cc9fce986a2c2fb0c7e03c9408,browser_patches/firefox/UPSTREAM_CONFIG.sh,browser_patches/firefox/UPSTREAM_CONFIG.sh
