language,size_bucket,repository,commit,path,old_path
XML,0-10,Genymobile-scrcpy.git,5bf52a98ed701ca8bb9ce1b9e769acedf9fa3315,server/src/main/AndroidManifest.xml,server/src/main/AndroidManifest.xml
XML,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,deploy/android_demo/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,deploy/android_demo/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml
XML,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,deploy/android_demo/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,deploy/android_demo/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml
XML,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,deploy/android_demo/app/src/main/res/xml/file_paths.xml,deploy/android_demo/app/src/main/res/xml/file_paths.xml
XML,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,deploy/fastdeploy/android/app/src/main/res/drawable-v24/album_btn.xml,deploy/fastdeploy/android/app/src/main/res/drawable-v24/album_btn.xml
XML,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,deploy/fastdeploy/android/app/src/main/res/drawable-v24/realtime_start_btn.xml,deploy/fastdeploy/android/app/src/main/res/drawable-v24/realtime_start_btn.xml
XML,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,deploy/fastdeploy/android/app/src/main/res/drawable-v24/realtime_stop_btn.xml,deploy/fastdeploy/android/app/src/main/res/drawable-v24/realtime_stop_btn.xml
XML,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,deploy/fastdeploy/android/app/src/main/res/drawable-v24/seekbar_thumb.xml,deploy/fastdeploy/android/app/src/main/res/drawable-v24/seekbar_thumb.xml
XML,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,deploy/fastdeploy/android/app/src/main/res/drawable-v24/switch_side_btn.xml,deploy/fastdeploy/android/app/src/main/res/drawable-v24/switch_side_btn.xml
XML,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,deploy/fastdeploy/android/app/src/main/res/drawable-v24/take_picture_btn.xml,deploy/fastdeploy/android/app/src/main/res/drawable-v24/take_picture_btn.xml
XML,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,deploy/fastdeploy/android/app/src/main/res/drawable/btn_settings.xml,deploy/fastdeploy/android/app/src/main/res/drawable/btn_settings.xml
XML,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,deploy/fastdeploy/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,deploy/fastdeploy/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml
XML,0-10,PaddlePaddle-PaddleOCR.git,24f06d1a1b018d90c3c16bf49e966f988f55d98d,deploy/fastdeploy/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,deploy/fastdeploy/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml
XML,0-10,jellyfin-jellyfin.git,0c46431cbb48850fae0e425e95692a1a9bbce427,tests/Jellyfin.LiveTv.Tests/Test Data/LiveTv/Listings/XmlTv/emptycategory.xml,tests/Jellyfin.LiveTv.Tests/Test Data/LiveTv/Listings/XmlTv/emptycategory.xml
XML,0-10,libreoffice,7d31c9e391cb8997a11ae7b97b7689e00f2427b9,extras/source/autotext/lang/zh-TW/standard/Q/Q.xml,extras/source/autotext/lang/zh-TW/standard/Q/Q.xml
XML,0-10,mozilla-firefox-firefox.git,126b391d492d9f0540ff3721898ec1fd43a6cd53,mobile/android/fenix/app/src/main/res/raw/keep.xml,mobile/android/fenix/app/src/main/res/raw/keep.xml
XML,0-10,mozilla-firefox-firefox.git,9e7c1a46ebc2c0867f1ffb52a74f76c1ce03244b,mobile/android/fenix/app/src/main/res/raw/keep.xml,mobile/android/fenix/app/src/main/res/raw/keep.xml
XML,0-10,mozilla-firefox-firefox.git,aa31a3f99832180e304dce44b8a59c83f1632dae,mobile/android/fenix/app/src/main/res/raw/keep.xml,mobile/android/fenix/app/src/main/res/raw/keep.xml
XML,0-10,odoo-odoo.git,97e8cc8d664e66ba62e8282a67f069805682ae41,addons/html_builder/static/src/plugins/cta_badge_option.xml,addons/html_builder/static/src/plugins/cta_badge_option.xml
XML,0-10,odoo-odoo.git,97e8cc8d664e66ba62e8282a67f069805682ae41,addons/mass_mailing/static/src/builder/options/border_options.xml,addons/mass_mailing/static/src/builder/options/border_options.xml
XML,10-30,Lidarr-Lidarr.git,0c2ede48e87b32afff687a724d2220f2476a5a1c,frontend/src/Content/browserconfig.xml,frontend/src/Content/Images/Icons/browserconfig.xml
