name,repository,category
0install,https://github.com/0install/0install,Uncategorized (Gentoo Package List)
0xFFFF,https://github.com/pali/0xFFFF,Uncategorized (Gentoo Package List)
0xtools,https://github.com/tanelpoder/0xtools,Uncategorized (Gentoo Package List)
2bwm,https://github.com/venam/2bwm,Uncategorized (Gentoo Package List)
389-ds-base,https://github.com/389ds/389-ds-base,Uncategorized (Gentoo Package List)
3proxy,https://github.com/3proxy/3proxy,Uncategorized (Gentoo Package List)
4ti2,https://github.com/4ti2/4ti2,Uncategorized (Gentoo Package List)
6tunnel,https://github.com/wojtekka/6tunnel,Uncategorized (Gentoo Package List)
7k-ambition,https://github.com/Infiltrator/7k-ambition,Uncategorized (Gentoo Package List)
86Box,https://github.com/86Box/86Box,Uncategorized (Gentoo Package List)
8821cu-20210916,https://github.com/morrownr/8821cu-20210916,Uncategorized (Gentoo Package List)
a2jmidid,https://github.com/jackaudio/a2jmidid,Uncategorized (Gentoo Package List)
aaaaxy,https://github.com/divVerent/aaaaxy,Uncategorized (Gentoo Package List)
aaphoto,https://github.com/log69/aaphoto,Uncategorized (Gentoo Package List)
abaddon,https://github.com/uowuo/abaddon,Uncategorized (Gentoo Package List)
abbrev,https://github.com/ruby/abbrev,Uncategorized (Gentoo Package List)
abc,https://github.com/berkeley-abc/abc,Uncategorized (Gentoo Package List)
abcm2ps,https://github.com/lewdlime/abcm2ps,Uncategorized (Gentoo Package List)
abi-compliance-checker,https://github.com/lvc/abi-compliance-checker,Uncategorized (Gentoo Package List)
abi-dumper,https://github.com/lvc/abi-dumper,Uncategorized (Gentoo Package List)
abootimg,https://gitlab.com/ajs124/abootimg,Uncategorized (Gentoo Package List)
abseil-cpp,https://github.com/abseil/abseil-cpp,Uncategorized (Gentoo Package List)
abseil-py,https://github.com/abseil/abseil-py,Uncategorized (Gentoo Package List)
abs,https://github.com/abs-lang/abs,Uncategorized (Gentoo Package List)
abuse,https://github.com/Xenoveritas/abuse,Uncategorized (Gentoo Package List)
abyss,https://github.com/bcgsc/abyss,Uncategorized (Gentoo Package List)
accelerate,https://github.com/huggingface/accelerate,Uncategorized (Gentoo Package List)
