name,repository,category
angular,https://github.com/angular/angular.git,App Framework
ansible,https://github.com/ansible/ansible.git,SysAdmin
awesome,https://github.com/awesomeWM/awesome.git,Window manager
axios,https://github.com/axios/axios.git,Library
bootstrap,https://github.com/twbs/bootstrap.git,UI Framework
caddy,https://github.com/caddyserver/caddy.git,Web server
calibre,https://github.com/kovidgoyal/calibre.git,Media management
cockroach,https://github.com/cockroachdb/cockroach.git,Database
cpython,https://github.com/python/cpython.git,Programming language
curl,https://github.com/curl/curl.git,CLI
d3,https://github.com/d3/d3.git,Data analysis
django,https://github.com/django/django.git,App Framework
echarts,https://github.com/apache/echarts.git,Data analysis
electron,https://github.com/electron/electron.git,UI Framework
emacs,https://github.com/emacs-mirror/emacs.git,IDE
eslint,https://github.com/eslint/eslint.git,Code analysis
excalidraw,https://github.com/excalidraw/excalidraw.git,Productivity
ffmpeg,https://github.com/FFmpeg/FFmpeg.git,Video processing
firefox,https://github.com/mozilla-firefox/firefox.git,Web browser
freeciv,https://github.com/freeciv/freeciv.git,Video game
frp,https://github.com/fatedier/frp.git,SysAdmin
fzf,https://github.com/junegunn/fzf.git,CLI
gin,https://github.com/gin-gonic/gin.git,Web server
godot,https://github.com/godotengine/godot.git,Game engine
go,https://github.com/golang/go.git,Programming Language
grafana,https://github.com/grafana/grafana.git,SysAdmin
home-assistant,https://github.com/home-assistant/core.git,Smarthome
homebrew,https://github.com/Homebrew/brew.git,CLI
htop,https://github.com/htop-dev/htop.git,SysAdmin
hugo,https://github.com/gohugoio/hugo.git,Website
immich,https://github.com/immich-app/immich.git,Productivity
jekyll,https://github.com/jekyll/jekyll.git,Website
jellyfin,https://github.com/jellyfin/jellyfin.git,Video processing
kubernetes,https://github.com/kubernetes/kubernetes.git,SysAdmin
ladybird,https://github.com/LadybirdBrowser/ladybird.git,Web browser
langchain,https://github.com/langchain-ai/langchain.git,LLM Framework
langflow,https://github.com/langflow-ai/langflow.git,LLM Framework
lazygit,https://github.com/jesseduffield/lazygit.git,CLI
libreoffice,https://git.libreoffice.org/core,Productivity
lidarr,https://github.com/Lidarr/Lidarr.git,Media management
linux,https://github.com/torvalds/linux.git,Operating System
mastodon,https://github.com/mastodon/mastodon.git,Communication
material-ui,https://github.com/mui/material-ui.git,UI Framework
mermaid,https://github.com/mermaid-js/mermaid.git,Design
mongodb,https://github.com/mongodb/mongo.git,Database
n8n,https://github.com/n8n-io/n8n.git,Agent
neovim,https://github.com/neovim/neovim.git,IDE
nextcloud-android,https://github.com/nextcloud/android.git,Productivity
nextcloud-desktop,https://github.com/nextcloud/desktop.git,Productivity
nextcloud-ios,https://github.com/nextcloud/ios.git,Productivity
nextcloud-server,https://github.com/nextcloud/server.git,Productivity
nextjs,https://github.com/vercel/next.js.git,UI Framework
nginx,https://github.com/nginx/nginx.git,Web Server
nvm,https://github.com/nvm-sh/nvm.git,CLI
nzbget,https://github.com/nzbgetcom/nzbget.git,Crawler
odoo,https://github.com/odoo/odoo.git,Productivity
ollama,https://github.com/ollama/ollama.git,LLM Framework
opencv,https://github.com/opencv/opencv.git,ML Framework
openhands,https://github.com/OpenHands/OpenHands.git,Agent
openssl,https://github.com/openssl/openssl.git,Library
open-webui,https://github.com/open-webui/open-webui.git,LLM Framework
paddleocr,https://github.com/PaddlePaddle/PaddleOCR.git,OCR
pandas,https://github.com/pandas-dev/pandas.git,Data analysis
pdfjs,https://github.com/mozilla/pdf.js.git,Productivity
pihole,https://github.com/pi-hole/pi-hole.git,Security
playwright,https://github.com/microsoft/playwright.git,SysAdmin
postgres,https://github.com/postgres/postgres.git,Database
prettier,https://github.com/prettier/prettier.git,Code analysis
prometheus,https://github.com/prometheus/prometheus.git,SysAdmin
protobuf,https://github.com/protocolbuffers/protobuf.git,Library
puppeteer,https://github.com/puppeteer/puppeteer.git,SysAdmin
pytorch,https://github.com/pytorch/pytorch.git,ML Framework
radarr,https://github.com/Radarr/Radarr.git,Media management
react,https://github.com/facebook/react.git,UI Framework
redis,https://github.com/redis/redis.git,Database
rustdesk,https://github.com/rustdesk/rustdesk.git,Productivity
rust,https://github.com/rust-lang/rust.git,Programming language
scikit-learn,https://github.com/scikit-learn/scikit-learn.git,Data analysis
scrapy,https://github.com/scrapy/scrapy.git,Crawler
scrcpy,https://github.com/Genymobile/scrcpy.git,Hardware automation
shadcn,https://github.com/shadcn-ui/ui.git,UI Framework
sherlock,https://github.com/sherlock-project/sherlock.git,Crawler
sniffnet,https://github.com/GyulyVGC/sniffnet.git,SysAdmin
sonarr,https://github.com/Sonarr/Sonarr.git,Media management
sqlite,https://github.com/sqlite/sqlite.git,Database
stacuist,https://github.com/stgpetrovic/stacuist.com.git,Productivity
superset,https://github.com/apache/superset.git,Data analysis
swift,https://github.com/swiftlang/swift.git,Programming language
tauri,https://github.com/tauri-apps/tauri.git,App Framework
tensorflow,https://github.com/tensorflow/tensorflow.git,ML Framework
thefuck,https://github.com/nvbn/thefuck.git,CLI
tmux,https://github.com/tmux/tmux.git,CLI
typescript,https://github.com/microsoft/TypeScript.git,Programming language
ublockorigin,https://github.com/gorhill/uBlock.git,Security
uptime-kuma,https://github.com/louislam/uptime-kuma.git,SysAdmin
vs-code,https://github.com/microsoft/vscode.git,IDE
windows-terminal,https://github.com/microsoft/terminal.git,CLI
wordpress,https://github.com/WordPress/WordPress.git,Website
youtube-dl,https://github.com/ytdl-org/youtube-dl.git,CLI
zed,https://github.com/zed-industries/zed.git,IDE
