language,size_bucket,repository,commit,path,old_path
C,large,LadybirdBrowser-ladybird.git,df32da5e86b5552cc00584b5f678b260af37d199,Libraries/LibWeb/DOM/Element.h,Libraries/LibWeb/DOM/Element.h
C,large,awesomeWM-awesome.git,4de43ac24f2fe71770cf86f4cd29b75c6f99b288,objects/screen.c,objects/screen.c
C,large,awesomeWM-awesome.git,4de43ac24f2fe71770cf86f4cd29b75c6f99b288,objects/selection_transfer.c,objects/selection_transfer.c
C,large,awesomeWM-awesome.git,9695371608cfbaac06f4e3ea5fd61c237d8eef15,common/luaclass.c,common/luaclass.c
C,large,curl-curl.git,39036c90216e059bbee64b86b198eae3135e0cda,lib/cfilters.h,lib/cfilters.h
C,large,curl-curl.git,3ef422e12852fc47a60afd622ccebdf1ca8c3af0,tests/libtest/lib1560.c,tests/libtest/lib1560.c
C,large,curl-curl.git,6f9f4b3cb777633a40ca0d6746843b428a0390b6,lib/memdebug.c,lib/memdebug.c
C,large,curl-curl.git,a186ecf4bf0c8ebb3a9a826155b3392164ec257a,lib/cf-h1-proxy.c,lib/cf-h1-proxy.c
C,large,curl-curl.git,d3fa54a2435593187c6d271b126dd33ec6dd491f,src/config2setopts.c,src/config2setopts.c
C,large,emacs-mirror-emacs.git,55bf30e0178883f25bc162d4fef7a5b9c2a50522,src/macros.c,src/macros.c
C,large,freeciv-freeciv.git,038fb1e984f039de4d71df631c91f46e860d7b3d,client/gui-sdl2/widget.h,client/gui-sdl2/widget.h
C,large,freeciv-freeciv.git,73da87c5889589676f339da69eea230d3bf4bc94,common/networking/packets.c,common/networking/packets.c
C,large,freeciv-freeciv.git,d70b6c593e92cd9b37926dda3fda553d6c01576c,client/agents/cma_core.c,client/agents/cma_core.c
C,large,htop-dev-htop.git,47aeb0a1f282fe294c6ba1e5dbebe05157b6e88c,Action.c,Action.c
C,large,mongodb-mongo.git,adfd81463c8d9b520c1004ef8db58eeedd7fd020,src/mongo/db/exec/classic/multi_plan.h,src/mongo/db/exec/classic/multi_plan.h
C,large,mongodb-mongo.git,d976472f4ec7a03a1d5f6c6ac3ba3689f6f12a0b,src/mongo/db/matcher/expression.h,src/mongo/db/matcher/expression.h
C,large,neovim-neovim.git,4d04d0123d2571391a00b87f7ee70f987fb7cedd,src/nvim/api/keysets_defs.h,src/nvim/api/keysets_defs.h
C,large,nginx-nginx.git,0de6e878ba43b55dd23b437c5be1819a55f63ec4,src/stream/ngx_stream_geo_module.c,src/stream/ngx_stream_geo_module.c
C,large,nginx-nginx.git,920dc099c130e0ea23eb36becd157a95901aa5a2,src/mail/ngx_mail_core_module.c,src/mail/ngx_mail_core_module.c
C,large,nginx-nginx.git,e23e7dd83a75b073773c3bc1e57bdb36c27bcc3f,src/http/ngx_http_request.h,src/http/ngx_http_request.h
C,large,openssl-openssl.git,0dd1c50fc0706866800c4ad6e5cd05771be5d0d8,providers/defltprov.c,providers/defltprov.c
C,large,postgres-postgres.git,2102ebb1953fe656a46819e11ff4204e2f918dda,src/backend/catalog/pg_subscription.c,src/backend/catalog/pg_subscription.c
C,large,postgres-postgres.git,2102ebb1953fe656a46819e11ff4204e2f918dda,src/backend/optimizer/util/inherit.c,src/backend/optimizer/util/inherit.c
C,large,postgres-postgres.git,2102ebb1953fe656a46819e11ff4204e2f918dda,src/backend/utils/activity/wait_event.c,src/backend/utils/activity/wait_event.c
C,large,postgres-postgres.git,2102ebb1953fe656a46819e11ff4204e2f918dda,src/backend/utils/cache/ts_cache.c,src/backend/utils/cache/ts_cache.c
C,large,postgres-postgres.git,2102ebb1953fe656a46819e11ff4204e2f918dda,src/include/commands/vacuum.h,src/include/commands/vacuum.h
C,large,postgres-postgres.git,2102ebb1953fe656a46819e11ff4204e2f918dda,src/include/storage/lock.h,src/include/storage/lock.h
C,large,postgres-postgres.git,6e243d81c54966e640870c96d73576376ec125c6,src/fe_utils/astreamer_gzip.c,src/fe_utils/astreamer_gzip.c
C,large,postgres-postgres.git,a881cc9c7e819fb26b73bb43b35d43db6b795cc7,src/backend/access/heap/pruneheap.c,src/backend/access/heap/pruneheap.c
C,large,postgres-postgres.git,a881cc9c7e819fb26b73bb43b35d43db6b795cc7,src/backend/storage/ipc/standby.c,src/backend/storage/ipc/standby.c
C,large,protocolbuffers-protobuf.git,924d6ef2db02486df4770d5b0c2a64c332644f23,upb/mini_descriptor/decode.c,upb/mini_descriptor/decode.c
C,large,protocolbuffers-protobuf.git,967e8d5d661f426674eea097b3d914dd430d2d48,src/google/protobuf/parse_context.h,src/google/protobuf/parse_context.h
