language,size_bucket,repository,commit,path,old_path
JavaScript,large,Lidarr-Lidarr.git,7b24bc556fa085d7de0ae1b4c2e45db012408078,frontend/src/Settings/MediaManagement/Naming/NamingModal.js,frontend/src/Settings/MediaManagement/Naming/NamingModal.js
JavaScript,large,Lidarr-Lidarr.git,fcfc60a2763bfb4609b04c2da561bc3b7077016a,frontend/src/Components/Page/Sidebar/PageSidebar.js,frontend/src/Components/Page/Sidebar/PageSidebar.js
JavaScript,large,Lidarr-Lidarr.git,fcfc60a2763bfb4609b04c2da561bc3b7077016a,frontend/src/Components/SignalRConnector.js,frontend/src/Components/SignalRConnector.js
JavaScript,large,Lidarr-Lidarr.git,fcfc60a2763bfb4609b04c2da561bc3b7077016a,frontend/src/Store/Actions/systemActions.js,frontend/src/Store/Actions/systemActions.js
JavaScript,large,axios-axios.git,9e705864d2d10e6a25fa641a064f75f70b3167fe,test/unit/adapters/http.js,test/unit/adapters/http.js
JavaScript,large,eslint-eslint.git,1f42bd7876ae4192cf7f7f4faf73b4ef3d2563cb,lib/rules/padding-line-between-statements.js,lib/rules/padding-line-between-statements.js
JavaScript,large,eslint-eslint.git,1f42bd7876ae4192cf7f7f4faf73b4ef3d2563cb,lib/rules/utils/ast-utils.js,lib/rules/utils/ast-utils.js
JavaScript,large,eslint-eslint.git,3ab4d7e244df244102de9d0d250b2ff12456a785,tests/lib/config/flat-config-array.js,tests/lib/config/flat-config-array.js
JavaScript,large,eslint-eslint.git,bbb2c93a2b31bd30924f32fe69a9acf41f9dfe35,tests/lib/rules/no-undef.js,tests/lib/rules/no-undef.js
JavaScript,large,eslint-eslint.git,dbb4c9582a00bac604d5c6ac671bb7111468a846,Makefile.js,Makefile.js
JavaScript,large,facebook-react.git,12ba7d81297abac61012a36f20d4a9d22b9210d9,packages/react-server-dom-webpack/src/__tests__/ReactFlightDOMReply-test.js,packages/react-server-dom-webpack/src/__tests__/ReactFlightDOMReply-test.js
JavaScript,large,facebook-react.git,12ba7d81297abac61012a36f20d4a9d22b9210d9,packages/react-server/src/ReactFlightReplyServer.js,packages/react-server/src/ReactFlightReplyServer.js
JavaScript,large,facebook-react.git,3cb2c42013eda273ac449126ab9fcc115a09d39d,packages/shared/ReactFeatureFlags.js,packages/shared/ReactFeatureFlags.js
JavaScript,large,facebook-react.git,3cb2c42013eda273ac449126ab9fcc115a09d39d,scripts/flags/flags.js,scripts/flags/flags.js
JavaScript,large,facebook-react.git,6a04c369f1b182c6b1d8153f173653c8d59a5965,packages/react-native-renderer/src/ReactFiberConfigFabric.js,packages/react-native-renderer/src/ReactFiberConfigFabric.js
JavaScript,large,facebook-react.git,6a04c369f1b182c6b1d8153f173653c8d59a5965,packages/react-reconciler/src/ReactFiberCommitViewTransitions.js,packages/react-reconciler/src/ReactFiberCommitViewTransitions.js
JavaScript,large,facebook-react.git,7b5b561bd2dda205ed8f397864379003b707d4ae,packages/react-devtools-shared/src/backend/types.js,packages/react-devtools-shared/src/backend/types.js
JavaScript,large,facebook-react.git,8f4150605449efe909822d8b20fe529d85851afe,packages/react-devtools-shared/src/devtools/views/Components/InspectedElementSuspendedBy.js,packages/react-devtools-shared/src/devtools/views/Components/InspectedElementSuspendedBy.js
