language,size_bucket,repository,commit,path,old_path
Kotlin,large,godotengine-godot.git,25a203aa3404238eb5df522ba5936cfe651b0265,platform/android/java/lib/src/main/java/org/godotengine/godot/Godot.kt,platform/android/java/lib/src/main/java/org/godotengine/godot/Godot.kt
Kotlin,large,godotengine-godot.git,2e208489e7bc98d00070e0ed663eb56e3bed8b8c,platform/android/java/lib/src/main/java/org/godotengine/godot/Godot.kt,platform/android/java/lib/src/main/java/org/godotengine/godot/Godot.kt
Kotlin,large,godotengine-godot.git,e2e1c89723dbea93ac81f0903644575acf3be6f8,platform/android/java/editor/src/main/java/org/godotengine/editor/BaseGodotEditor.kt,platform/android/java/editor/src/main/java/org/godotengine/editor/BaseGodotEditor.kt
Kotlin,large,godotengine-godot.git,ef0163ba9ff3ccd8490608afe5bfb344fdc7397b,platform/android/java/editor/src/main/java/org/godotengine/editor/GodotGame.kt,platform/android/java/editor/src/main/java/org/godotengine/editor/GodotGame.kt
Kotlin,large,godotengine-godot.git,ef0163ba9ff3ccd8490608afe5bfb344fdc7397b,platform/android/java/editor/src/main/java/org/godotengine/editor/embed/GameMenuFragment.kt,platform/android/java/editor/src/main/java/org/godotengine/editor/embed/GameMenuFragment.kt
Kotlin,large,godotengine-godot.git,ef0163ba9ff3ccd8490608afe5bfb344fdc7397b,platform/android/java/lib/src/main/java/org/godotengine/godot/Godot.kt,platform/android/java/lib/src/main/java/org/godotengine/godot/Godot.kt
Kotlin,large,godotengine-godot.git,ef0163ba9ff3ccd8490608afe5bfb344fdc7397b,platform/android/java/lib/src/main/java/org/godotengine/godot/GodotActivity.kt,platform/android/java/lib/src/main/java/org/godotengine/godot/GodotActivity.kt
Kotlin,large,immich-app-immich.git,00dae6ac3896f2528a3edac8f489877bd58ceb52,mobile/android/app/src/main/kotlin/app/alextran/immich/images/RemoteImagesImpl.kt,mobile/android/app/src/main/kotlin/app/alextran/immich/images/RemoteImagesImpl.kt
Kotlin,large,immich-app-immich.git,226b9390dbf810d3c0c2961b672383fdb803e7af,mobile/android/app/src/main/kotlin/app/alextran/immich/core/HttpClientManager.kt,mobile/android/app/src/main/kotlin/app/alextran/immich/core/HttpClientManager.kt
Kotlin,large,immich-app-immich.git,6deb97d5bcdb662feb72748de6a73e87b0d265ae,mobile/android/app/src/main/kotlin/app/alextran/immich/sync/MessagesImplBase.kt,mobile/android/app/src/main/kotlin/app/alextran/immich/sync/MessagesImplBase.kt
