language,size_bucket,repository,commit,path,old_path
TypeScript,large,OpenHands-OpenHands.git,abdc58cd281692751d45f1dcdc77f339055eeae3,frontend/src/i18n/declaration.ts,frontend/src/i18n/declaration.ts
TypeScript,large,angular-angular.git,eae8f7e30b9f8bebdcdb535bd86260199c34274b,packages/core/test/acceptance/hmr_spec.ts,packages/core/test/acceptance/hmr_spec.ts
TypeScript,large,angular-angular.git,eae8f7e30b9f8bebdcdb535bd86260199c34274b,packages/core/test/render3/reactivity_spec.ts,packages/core/test/render3/reactivity_spec.ts
TypeScript,large,angular-angular.git,eae8f7e30b9f8bebdcdb535bd86260199c34274b,packages/platform-browser/animations/async/test/animation_renderer_spec.ts,packages/platform-browser/animations/async/test/animation_renderer_spec.ts
TypeScript,large,apache-superset.git,12aca720746d70a13e0f76c24380ef4bdb69118f,superset-frontend/plugins/plugin-chart-echarts/src/Graph/transformProps.ts,superset-frontend/plugins/plugin-chart-echarts/src/Graph/transformProps.ts
TypeScript,large,apache-superset.git,12aca720746d70a13e0f76c24380ef4bdb69118f,superset-frontend/plugins/plugin-chart-echarts/test/MixedTimeseries/transformProps.test.ts,superset-frontend/plugins/plugin-chart-echarts/test/MixedTimeseries/transformProps.test.ts
TypeScript,large,excalidraw-excalidraw.git,987173b52f8a889984c3ff98450f24b9e65c70fa,packages/excalidraw/data/restore.ts,packages/excalidraw/data/restore.ts
TypeScript,large,microsoft-playwright.git,1f2d8798b13178dce3b1841c60fff8b60a77a3db,tests/mcp/http.spec.ts,tests/mcp/http.spec.ts
TypeScript,large,microsoft-playwright.git,56c23302d2617d80cf60871f32cffe0187c4486d,utils/generate_types/overrides-test.d.ts,utils/generate_types/overrides-test.d.ts
TypeScript,large,n8n-io-n8n.git,42843d6c72f9e4c0fc3a3f4ab9d91c0b7d761e29,packages/@n8n/backend-common/src/modules/__tests__/module-registry.test.ts,packages/@n8n/backend-common/src/modules/__tests__/module-registry.test.ts
TypeScript,large,puppeteer-puppeteer.git,6f9d9752207d55be0e3b0d10ba9a416a81af4694,packages/puppeteer-core/src/bidi/Input.ts,packages/puppeteer-core/src/bidi/Input.ts
TypeScript,large,vercel-next.js.git,df88058f5eaee58771385534d10b5f75b8689f7d,test/e2e/app-dir-export/test/utils.ts,test/e2e/app-dir-export/test/utils.ts
TypeScript,medium,angular-angular.git,eae8f7e30b9f8bebdcdb535bd86260199c34274b,integration/platform-server/projects/ngmodule/src/app/http-transferstate-lazy/http-transfer-state.component.ts,integration/platform-server/projects/ngmodule/src/app/http-transferstate-lazy/http-transfer-state.component.ts
